datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,1325.3,1327.8,1307.3,1312.4,235316,3101.45,21066,158901.0,67.53
24-06-2026 00:00,1303.0,1335.9,1294.5,1318.4,494070,6521.05,25124,334852.0,67.77
23-06-2026 00:00,1295.0,1332.6,1285.0,1302.8,627075,8230.9,39205,372095.0,59.34
22-06-2026 00:00,1265.8,1293.2,1261.0,1288.1,431390,5513.19,16036,295998.0,68.61
19-06-2026 00:00,1258.2,1281.0,1255.1,1265.8,161667,2052.85,14442,79128.0,48.95
18-06-2026 00:00,1249.0,1284.0,1245.1,1258.2,396389,5027.97,31583,210933.0,53.21
17-06-2026 00:00,1241.9,1271.9,1236.1,1254.4,362479,4549.65,23526,178514.0,49.25
16-06-2026 00:00,1215.0,1256.0,1214.0,1236.1,633012,7867.27,30855,443558.0,70.07
15-06-2026 00:00,1240.9,1244.8,1208.6,1219.9,199144,2451.91,18556,101876.0,51.16
12-06-2026 00:00,1241.0,1244.7,1216.1,1235.1,247598,3048.07,24478,139376.0,56.29
11-06-2026 00:00,1226.0,1239.0,1212.2,1229.1,124511,1530.08,14468,67025.0,53.83
10-06-2026 00:00,1245.0,1256.2,1215.1,1225.5,90871,1120.82,12620,46508.0,51.18
09-06-2026 00:00,1213.9,1245.8,1212.9,1242.1,344622,4237.01,14832,252449.0,73.25
08-06-2026 00:00,1230.0,1251.7,1206.1,1210.4,284121,3491.6,18079,172992.0,60.89
05-06-2026 00:00,1231.9,1253.3,1228.1,1240.0,310258,3854.93,16281,203013.0,65.43
04-06-2026 00:00,1188.6,1235.8,1188.6,1231.8,140246,1718.98,9551,75669.0,53.95
03-06-2026 00:00,1209.0,1218.3,1195.0,1201.3,406713,4916.82,10189,312233.0,76.77
02-06-2026 00:00,1155.0,1203.0,1153.0,1198.8,106328,1256.3,14554,46335.0,43.58
01-06-2026 00:00,1199.9,1204.9,1164.1,1168.8,119513,1410.0,13213,57854.0,48.41
29-05-2026 00:00,1204.2,1232.9,1170.0,1189.0,161671,1949.23,16221,83349.0,51.55
27-05-2026 00:00,1238.0,1238.0,1202.5,1207.8,149495,1814.11,15058,76495.0,51.17
26-05-2026 00:00,1256.7,1259.0,1223.0,1228.8,221863,2747.0,17422,136746.0,61.64
25-05-2026 00:00,1254.7,1266.5,1236.6,1249.3,128101,1601.03,7590,77846.0,60.77
22-05-2026 00:00,1240.2,1250.0,1231.3,1238.1,75889,940.98,7693,45588.0,60.07
21-05-2026 00:00,1254.5,1255.0,1228.2,1240.2,77180,956.75,9301,37751.0,48.91
20-05-2026 00:00,1244.0,1249.0,1221.3,1240.1,149238,1848.15,18233,90617.0,60.72
19-05-2026 00:00,1240.0,1259.3,1218.1,1240.4,404395,5023.69,24236,240824.0,59.55
18-05-2026 00:00,1242.9,1253.4,1220.2,1239.2,251862,3110.2,24253,142542.0,56.6
15-05-2026 00:00,1234.0,1278.0,1220.9,1242.5,780605,9791.44,36169,431175.0,55.24
14-05-2026 00:00,1201.2,1241.8,1194.4,1211.9,589849,7186.53,33904,372514.0,63.15
13-05-2026 00:00,1187.2,1210.6,1165.3,1196.0,432132,5123.45,25128,328918.0,76.12
12-05-2026 00:00,1239.2,1240.4,1186.4,1193.1,853041,10413.64,36531,631463.0,74.02
11-05-2026 00:00,1194.6,1248.9,1185.2,1239.2,311112,3823.14,22780,174143.0,55.97
08-05-2026 00:00,1213.9,1214.9,1182.8,1200.6,227835,2722.94,36484,138972.0,61.0
07-05-2026 00:00,1185.6,1226.9,1185.6,1206.9,239783,2903.38,20702,123271.0,51.41
06-05-2026 00:00,1185.0,1191.2,1170.2,1181.6,103598,1225.32,14644,52064.0,50.26
05-05-2026 00:00,1169.5,1179.9,1159.2,1170.2,59061,690.4,8788,31140.0,52.73
04-05-2026 00:00,1116.2,1183.1,1112.1,1171.5,431378,5048.21,18050,295520.0,68.51
30-04-2026 00:00,1130.0,1143.05,1112.15,1117.25,276545,3092.59,16772,220478.0,79.73
29-04-2026 00:00,1143.0,1171.45,1132.25,1142.95,117254,1345.64,15632,66663.0,56.85
28-04-2026 00:00,1167.1,1179.0,1132.85,1137.55,131788,1520.21,16265,63004.0,47.81
27-04-2026 00:00,1105.55,1175.0,1102.1,1167.8,219743,2525.98,17071,108426.0,49.34
24-04-2026 00:00,1100.35,1117.75,1095.6,1105.55,76612,847.21,10835,41280.0,53.88
23-04-2026 00:00,1115.0,1129.5,1102.2,1111.35,119931,1339.3,13495,52071.0,43.42
22-04-2026 00:00,1085.0,1114.85,1078.6,1111.85,220362,2433.2,20306,131410.0,59.63
21-04-2026 00:00,1075.9,1092.0,1075.9,1081.3,64070,694.39,6487,29386.0,45.87
20-04-2026 00:00,1089.8,1104.9,1075.0,1079.35,79240,858.27,9363,44340.0,55.96
17-04-2026 00:00,1095.0,1095.0,1068.6,1089.4,184249,1992.16,16925,77071.0,41.83
16-04-2026 00:00,1098.7,1101.85,1077.9,1092.25,242671,2646.17,18005,173537.0,71.51
15-04-2026 00:00,1079.45,1102.35,1066.6,1088.7,370961,4063.11,15984,285055.0,76.84
13-04-2026 00:00,1050.1,1074.75,1027.75,1061.45,123576,1308.72,19329,63063.0,51.03
10-04-2026 00:00,1058.9,1082.75,1053.45,1066.15,131348,1404.68,17952,58370.0,44.44
09-04-2026 00:00,1058.75,1076.0,1040.0,1050.4,140750,1490.47,15021,71587.0,50.86
08-04-2026 00:00,1052.0,1067.0,1045.4,1058.75,149735,1580.11,9075,75269.0,50.27
07-04-2026 00:00,1026.0,1037.4,1013.95,1033.35,82772,851.81,9046,31617.0,38.2
06-04-2026 00:00,1000.0,1035.75,983.5,1032.95,112269,1142.8,11554,50007.0,44.54
02-04-2026 00:00,977.65,1004.9,959.65,1000.4,313277,3074.72,15562,227141.0,72.5
01-04-2026 00:00,976.15,996.15,964.0,989.2,375297,3692.5,17068,273574.0,72.9
30-03-2026 00:00,969.0,978.5,956.0,961.1,256985,2491.58,18507,151770.0,59.06
27-03-2026 00:00,1011.2,1018.3,980.0,985.3,389937,3859.18,24204,252493.0,64.75
25-03-2026 00:00,985.0,1043.9,972.8,1011.3,631507,6413.33,60348,328637.0,52.04
24-03-2026 00:00,999.0,1010.0,971.4,973.8,507029,4988.93,47891,328934.0,64.87
23-03-2026 00:00,997.8,1008.0,965.0,969.6,210705,2062.47,26944,122659.0,58.21
20-03-2026 00:00,1024.0,1030.0,1000.0,1005.7,462887,4673.87,22058,384891.0,83.15
19-03-2026 00:00,1036.9,1039.0,1012.5,1014.6,79061,809.5,8959,46101.0,58.31
18-03-2026 00:00,1042.0,1071.5,1036.1,1044.0,146709,1542.46,15307,93706.0,63.87
17-03-2026 00:00,1040.0,1047.4,1029.0,1036.9,104075,1079.89,12858,49926.0,47.97
16-03-2026 00:00,1075.0,1082.0,1036.0,1040.8,109984,1154.5,13132,54825.0,49.85
13-03-2026 00:00,1090.0,1097.2,1065.0,1072.1,102358,1103.43,9974,63610.0,62.14
12-03-2026 00:00,1090.0,1106.1,1066.1,1103.2,94718,1035.07,16189,51656.0,54.54
11-03-2026 00:00,1105.2,1125.1,1094.9,1101.2,153267,1705.32,16807,94798.0,61.85
10-03-2026 00:00,1095.1,1125.0,1090.1,1105.2,75688,840.92,13349,39702.0,52.45
09-03-2026 00:00,1100.0,1101.0,1078.3,1089.7,227449,2478.47,19998,148566.0,65.32
06-03-2026 00:00,1104.1,1119.0,1101.6,1110.1,47552,528.32,8954,25754.0,54.16
05-03-2026 00:00,1115.5,1125.0,1095.5,1111.7,70821,783.31,10431,33915.0,47.89
04-03-2026 00:00,1103.7,1120.0,1097.0,1109.7,113233,1253.64,14467,63293.0,55.9
02-03-2026 00:00,1100.0,1134.4,1100.0,1130.0,104737,1181.85,20867,56725.0,54.16
27-02-2026 00:00,1168.0,1168.0,1131.0,1138.8,152914,1752.11,20428,105292.0,68.86
26-02-2026 00:00,1155.0,1172.3,1143.5,1161.7,71939,834.07,14991,39343.0,54.69
25-02-2026 00:00,1149.9,1166.0,1138.6,1155.0,234454,2700.11,20059,148480.0,63.33
24-02-2026 00:00,1156.0,1162.9,1140.0,1149.9,102590,1177.12,13624,61230.0,59.68
23-02-2026 00:00,1132.0,1169.9,1131.2,1166.0,158906,1836.83,18734,101393.0,63.81
20-02-2026 00:00,1129.2,1138.9,1104.2,1130.0,179019,2008.85,19895,79618.0,44.47
19-02-2026 00:00,1173.1,1173.1,1134.5,1139.7,96134,1103.87,11369,44377.0,46.16
18-02-2026 00:00,1186.9,1189.7,1157.0,1173.1,96619,1132.54,11684,38027.0,39.36
17-02-2026 00:00,1145.6,1175.0,1139.8,1172.4,87769,1020.99,7981,45455.0,51.79
16-02-2026 00:00,1144.8,1151.7,1129.1,1145.1,83446,952.85,11986,34055.0,40.81
13-02-2026 00:00,1138.7,1147.0,1121.1,1139.1,72969,827.45,12924,29384.0,40.27
12-02-2026 00:00,1146.2,1157.0,1130.5,1148.6,203356,2319.08,22782,140270.0,68.98
11-02-2026 00:00,1149.9,1170.0,1136.6,1146.2,147201,1694.34,18344,75272.0,51.14
10-02-2026 00:00,1161.0,1181.0,1135.0,1139.3,114020,1310.25,16582,58040.0,50.9
09-02-2026 00:00,1145.0,1164.7,1135.1,1160.9,122693,1417.29,15798,66100.0,53.87
06-02-2026 00:00,1102.9,1148.9,1102.8,1142.7,181865,2054.11,20153,67719.0,37.24
05-02-2026 00:00,1090.0,1122.8,1080.0,1107.7,145825,1608.38,12973,63404.0,43.48
04-02-2026 00:00,1113.2,1132.2,1097.3,1122.8,170975,1910.85,15950,68820.0,40.25
03-02-2026 00:00,1151.0,1160.0,1104.0,1113.2,236152,2636.12,23089,106575.0,45.13
02-02-2026 00:00,1115.0,1149.7,1050.1,1140.2,251850,2789.02,26427,91864.0,36.48
01-02-2026 00:00,1062.0,1127.0,1053.0,1120.1,712234,7916.29,45790,243635.0,34.21
30-01-2026 00:00,1034.1,1074.8,1022.9,1053.8,340060,3576.31,31915,188157.0,55.33
29-01-2026 00:00,1049.0,1051.6,1031.1,1034.1,118147,1225.93,15127,76830.0,65.03
28-01-2026 00:00,1042.9,1059.0,1040.0,1049.0,102279,1074.24,13179,57653.0,56.37
27-01-2026 00:00,1030.4,1051.9,1013.4,1042.9,196929,2027.44,23313,98405.0,49.97
23-01-2026 00:00,1076.0,1076.0,1021.8,1030.0,104315,1086.08,12042,54088.0,51.85
22-01-2026 00:00,1059.7,1080.9,1057.5,1064.4,70931,758.45,9073,28776.0,40.57
21-01-2026 00:00,1075.0,1075.7,1041.6,1048.1,327970,3458.64,30118,188908.0,57.6
20-01-2026 00:00,1114.4,1117.0,1061.5,1075.7,227218,2462.02,21048,122566.0,53.94
19-01-2026 00:00,1144.2,1146.9,1110.0,1114.3,128091,1442.37,12425,72189.0,56.36
16-01-2026 00:00,1162.6,1168.0,1140.8,1144.2,92270,1063.13,12919,55260.0,59.89
14-01-2026 00:00,1168.5,1179.0,1159.2,1162.6,71828,840.22,12796,37250.0,51.86
13-01-2026 00:00,1193.9,1203.6,1165.4,1168.3,93864,1106.77,13188,50956.0,54.29
12-01-2026 00:00,1167.2,1197.5,1155.0,1193.8,117209,1385.49,20529,57000.0,48.63
09-01-2026 00:00,1195.0,1215.4,1171.0,1175.4,103530,1231.68,19013,48152.0,46.51
08-01-2026 00:00,1238.0,1238.0,1196.6,1201.0,91106,1105.63,13427,46081.0,50.58
07-01-2026 00:00,1209.3,1241.7,1203.4,1238.5,204252,2517.5,17331,119910.0,58.71
