datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,23.38,23.5,23.22,23.26,3116065,728.39,14003,1825909.0,58.6
24-06-2026 00:00,23.32,23.45,22.73,23.38,1564628,365.49,10304,1188253.0,75.94
23-06-2026 00:00,23.55,23.92,23.27,23.32,2256537,528.67,11123,1530442.0,67.82
22-06-2026 00:00,23.46,23.58,23.46,23.55,2504003,589.24,17457,1840380.0,73.5
19-06-2026 00:00,23.38,23.48,23.19,23.44,1982890,463.39,7581,1479507.0,74.61
18-06-2026 00:00,23.28,23.44,23.27,23.38,1835939,428.45,9170,1562057.0,85.08
17-06-2026 00:00,23.13,23.41,23.13,23.27,1910607,443.89,6904,1457975.0,76.31
16-06-2026 00:00,23.07,23.85,23.03,23.16,1856573,429.36,7282,1218615.0,65.64
15-06-2026 00:00,23.31,23.31,23.01,23.1,2596001,599.97,9639,1967577.0,75.79
12-06-2026 00:00,22.43,22.79,22.4,22.75,1859281,420.03,15928,1331249.0,71.6
11-06-2026 00:00,22.39,22.39,22.15,22.22,1968282,438.3,9390,1250016.0,63.51
10-06-2026 00:00,22.81,22.81,22.35,22.4,1993062,449.88,13003,1437463.0,72.12
09-06-2026 00:00,22.42,22.74,22.42,22.7,1493977,338.28,7882,1173880.0,78.57
08-06-2026 00:00,22.17,22.66,22.17,22.37,2972395,668.59,13890,2197453.0,73.93
05-06-2026 00:00,23.0,23.0,22.65,22.74,1600127,364.9,9412,1188096.0,74.25
04-06-2026 00:00,22.75,22.92,22.11,22.8,1307760,298.54,15792,997989.0,76.31
03-06-2026 00:00,22.9,22.9,22.43,22.68,3556697,804.59,10879,2489253.0,69.99
02-06-2026 00:00,22.78,22.87,22.48,22.79,2340705,530.55,10093,1809304.0,77.3
01-06-2026 00:00,23.05,23.23,22.7,22.78,4268577,976.9,13312,2693549.0,63.1
29-05-2026 00:00,23.96,23.96,23.0,23.04,4296754,997.4,23338,2770521.0,64.48
27-05-2026 00:00,23.18,23.4,23.18,23.38,2065418,482.23,9173,1435872.0,69.52
26-05-2026 00:00,23.19,23.3,22.98,23.24,2791566,648.99,14122,2134411.0,76.46
25-05-2026 00:00,23.44,23.44,23.08,23.18,2372056,549.4,8263,1824717.0,76.93
22-05-2026 00:00,23.4,23.4,22.89,22.98,1781223,409.22,6703,1461745.0,82.06
21-05-2026 00:00,23.12,23.12,22.89,22.95,1764086,406.06,7224,1145588.0,64.94
20-05-2026 00:00,22.8,22.91,22.57,22.89,1321834,301.04,11808,836786.0,63.3
19-05-2026 00:00,22.64,22.96,22.64,22.8,2169607,495.43,6593,1306045.0,60.2
18-05-2026 00:00,22.69,22.7,22.3,22.63,2882613,647.44,10536,1611322.0,55.9
15-05-2026 00:00,22.81,22.9,22.67,22.73,1897002,432.34,10292,1308052.0,68.95
14-05-2026 00:00,22.79,22.87,22.48,22.81,3243356,734.84,6000,1957353.0,60.35
13-05-2026 00:00,22.51,22.7,22.32,22.54,2588722,583.94,9743,1276256.0,49.3
12-05-2026 00:00,23.07,23.08,22.35,22.41,7360543,1666.35,22786,5287016.0,71.83
11-05-2026 00:00,23.29,23.29,22.9,23.0,3186110,733.78,15220,2576668.0,80.87
08-05-2026 00:00,23.29,23.33,23.2,23.27,3002187,698.53,6802,2186793.0,72.84
07-05-2026 00:00,22.47,23.34,22.47,23.29,3324486,772.17,7721,2765039.0,83.17
06-05-2026 00:00,23.16,23.16,22.73,23.05,9704247,2222.34,6744,8079560.0,83.26
05-05-2026 00:00,22.6,22.68,22.49,22.6,5103477,1150.38,9276,3987153.0,78.13
04-05-2026 00:00,22.73,22.73,22.49,22.6,2823681,639.02,10646,1958208.0,69.35
30-04-2026 00:00,22.69,22.7,22.29,22.48,9598931,2157.31,10343,6834447.0,71.2
29-04-2026 00:00,23.21,23.21,22.61,22.66,2772832,631.58,9599,1827598.0,65.91
28-04-2026 00:00,22.66,22.75,22.61,22.65,1946714,441.57,6875,1246357.0,64.02
27-04-2026 00:00,22.34,22.71,22.32,22.63,2671109,604.35,7341,1807716.0,67.68
24-04-2026 00:00,22.75,22.75,22.23,22.34,2690917,601.52,10424,2083485.0,77.43
23-04-2026 00:00,22.75,22.75,21.55,22.54,2548254,575.3,6834,1643363.0,64.49
22-04-2026 00:00,22.55,22.7,22.41,22.64,2342804,530.06,5781,1830274.0,78.12
21-04-2026 00:00,22.59,22.65,22.51,22.55,2150319,485.82,9411,1178416.0,54.8
20-04-2026 00:00,22.42,22.68,22.3,22.46,2930686,659.66,10722,2068477.0,70.58
17-04-2026 00:00,22.25,22.64,22.16,22.52,3669704,823.06,10064,2685888.0,73.19
16-04-2026 00:00,22.1,22.34,22.0,22.24,6179621,1370.66,7068,4993534.0,80.81
15-04-2026 00:00,21.95,22.2,21.8,22.11,5495666,1212.42,10915,4043967.0,73.58
13-04-2026 00:00,22.29,22.29,21.08,21.61,3507119,754.01,9636,2470298.0,70.44
10-04-2026 00:00,21.63,21.77,21.5,21.75,3433083,744.41,7452,2738904.0,79.78
09-04-2026 00:00,21.52,21.52,21.16,21.39,3459356,738.64,8405,2070176.0,59.84
08-04-2026 00:00,21.12,21.41,21.06,21.35,8291452,1765.76,7319,5604990.0,67.6
07-04-2026 00:00,20.39,20.55,20.23,20.51,2819319,576.32,7706,2137223.0,75.81
06-04-2026 00:00,20.2,20.54,19.96,20.52,14069933,2875.02,9778,11995821.0,85.26
02-04-2026 00:00,20.19,20.26,19.6,20.2,7079001,1408.15,12814,5208067.0,73.57
01-04-2026 00:00,20.02,20.55,20.02,20.28,4916406,1001.36,7494,2900740.0,59.0
30-03-2026 00:00,20.33,20.33,19.8,19.82,8470872,1687.25,17955,6236511.0,73.62
27-03-2026 00:00,20.47,20.75,20.31,20.39,13004485,2660.76,16036,10585477.0,81.4
25-03-2026 00:00,20.86,20.98,20.41,20.83,4330485,901.86,6897,3114266.0,71.91
