datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,53.88,53.88,53.16,53.31,30321,16.23,40,15997.0,52.76
24-06-2026 00:00,53.54,53.94,53.3,53.5,14451,7.76,67,7012.0,48.52
23-06-2026 00:00,53.95,54.7,53.68,54.09,6002,3.26,65,4970.0,82.81
22-06-2026 00:00,55.6,55.97,53.69,53.95,122512,66.71,221,12101.0,9.88
19-06-2026 00:00,53.53,54.97,53.53,54.25,15694,8.48,116,7056.0,44.96
18-06-2026 00:00,53.51,53.58,53.32,53.53,2676,1.43,26,2666.0,99.63
17-06-2026 00:00,53.24,53.37,53.17,53.35,22462,11.98,25,21104.0,93.95
16-06-2026 00:00,53.8,53.8,52.52,53.05,8556,4.54,51,5396.0,63.07
15-06-2026 00:00,53.15,53.63,52.55,52.7,7821,4.14,58,4222.0,53.98
12-06-2026 00:00,50.64,52.24,50.64,52.11,7684,3.96,37,3711.0,48.3
11-06-2026 00:00,52.06,52.06,50.49,50.64,34459,17.51,70,3185.0,9.24
10-06-2026 00:00,51.98,51.98,50.96,51.04,3641,1.87,56,2410.0,66.19
09-06-2026 00:00,51.48,51.77,51.33,51.73,3514,1.81,35,1997.0,56.83
08-06-2026 00:00,51.43,51.73,50.7,50.77,6669,3.4,66,3472.0,52.06
05-06-2026 00:00,52.39,52.46,51.54,52.08,4154,2.16,37,3159.0,76.05
04-06-2026 00:00,51.94,52.34,51.73,52.21,1888,0.98,27,1317.0,69.76
03-06-2026 00:00,51.75,51.98,51.08,51.94,3055,1.57,40,1620.0,53.03
02-06-2026 00:00,51.33,51.81,50.91,51.75,10598,5.44,74,6900.0,65.11
01-06-2026 00:00,52.5,52.69,51.15,51.33,29447,15.3,102,15453.0,52.48
29-05-2026 00:00,53.36,54.0,51.7,52.66,5016,2.65,78,4570.0,91.11
27-05-2026 00:00,53.37,53.43,52.97,53.36,6673,3.55,29,3562.0,53.38
26-05-2026 00:00,52.82,52.94,52.6,52.75,3017,1.59,30,2719.0,90.12
25-05-2026 00:00,52.7,52.77,52.19,52.56,18297,9.6,40,13248.0,72.41
22-05-2026 00:00,53.15,53.15,51.65,52.21,4167,2.16,33,3838.0,92.1
21-05-2026 00:00,52.39,53.1,51.73,52.11,4465,2.32,64,3310.0,74.13
20-05-2026 00:00,51.02,52.7,50.86,52.52,1996,1.02,24,1735.0,86.92
19-05-2026 00:00,51.53,51.79,51.26,51.33,15698,8.1,36,10300.0,65.61
18-05-2026 00:00,51.0,51.28,50.67,51.28,4425,2.25,49,3659.0,82.69
15-05-2026 00:00,51.9,51.98,51.6,51.76,3737,1.93,32,2493.0,66.71
14-05-2026 00:00,51.61,51.95,50.99,51.72,4029,2.08,33,2079.0,51.6
13-05-2026 00:00,51.24,51.46,50.77,50.89,1303,0.67,27,1137.0,87.26
12-05-2026 00:00,52.0,52.17,50.54,50.64,9053,4.64,86,5352.0,59.12
11-05-2026 00:00,53.87,53.87,51.79,52.14,7501,3.91,80,4520.0,60.26
08-05-2026 00:00,52.69,52.97,52.62,52.81,7797,4.12,49,7462.0,95.7
07-05-2026 00:00,52.35,52.96,52.33,52.87,13838,7.29,56,10144.0,73.31
06-05-2026 00:00,51.88,52.13,51.56,52.02,5927,3.07,56,3898.0,65.77
05-05-2026 00:00,51.37,51.45,50.71,51.42,3274,1.68,29,2794.0,85.34
04-05-2026 00:00,51.36,51.44,50.87,51.12,4026,2.06,44,3118.0,77.45
30-04-2026 00:00,52.77,52.77,50.03,50.75,2394,1.21,53,1369.0,57.18
29-04-2026 00:00,51.08,51.62,51.07,51.28,12788,6.57,40,12253.0,95.82
28-04-2026 00:00,52.5,52.5,50.79,51.08,4428,2.27,51,2219.0,50.11
27-04-2026 00:00,50.84,53.33,50.66,51.22,24486,12.51,57,20115.0,82.15
24-04-2026 00:00,50.94,50.94,50.28,50.52,14941,7.55,50,11301.0,75.64
23-04-2026 00:00,51.27,51.45,50.58,50.95,3503,1.79,41,1907.0,54.44
22-04-2026 00:00,51.19,51.28,51.11,51.23,2211,1.13,31,1338.0,60.52
21-04-2026 00:00,51.27,51.34,51.03,51.1,3305,1.69,45,2860.0,86.54
20-04-2026 00:00,50.75,51.38,50.54,51.09,27390,13.96,73,15260.0,55.71
17-04-2026 00:00,50.51,50.81,50.21,50.75,25578,12.93,61,24956.0,97.57
16-04-2026 00:00,50.69,50.69,49.86,50.14,12361,6.21,46,11339.0,91.73
15-04-2026 00:00,50.55,50.56,50.04,50.13,4943,2.48,50,4755.0,96.2
13-04-2026 00:00,49.0,49.53,47.99,49.36,8786,4.26,61,6908.0,78.63
10-04-2026 00:00,49.4,49.75,49.06,49.73,11657,5.74,48,9233.0,79.21
09-04-2026 00:00,48.7,49.85,48.3,48.67,22391,10.84,57,20672.0,92.32
08-04-2026 00:00,47.95,48.57,47.9,48.48,21136,10.21,70,19374.0,91.66
07-04-2026 00:00,45.74,46.21,45.74,46.19,4351,2.0,38,4281.0,98.39
06-04-2026 00:00,44.9,46.29,44.9,46.27,16493,7.54,54,10728.0,65.05
02-04-2026 00:00,45.8,45.8,44.0,45.12,6473,2.87,84,5458.0,84.32
01-04-2026 00:00,45.66,46.33,45.47,45.58,2760,1.26,33,2235.0,80.98
30-03-2026 00:00,46.37,46.5,42.1,44.45,70919,31.25,222,53543.0,75.5
27-03-2026 00:00,47.49,47.49,45.05,46.14,58480,26.95,123,46341.0,79.24
25-03-2026 00:00,46.55,47.51,46.55,47.26,27278,12.88,69,25229.0,92.49
24-03-2026 00:00,45.72,45.91,44.83,45.76,5820,2.65,45,5289.0,90.88
23-03-2026 00:00,47.61,47.61,44.35,44.79,16757,7.51,128,16306.0,97.31
20-03-2026 00:00,46.83,47.17,46.56,46.67,2834,1.33,18,2230.0,78.69
19-03-2026 00:00,47.2,47.59,46.45,46.56,27772,13.01,68,22670.0,81.63
18-03-2026 00:00,48.59,48.59,47.8,47.81,4958,2.38,35,1521.0,30.68
17-03-2026 00:00,46.81,47.47,46.81,47.39,7087,3.35,39,4885.0,68.93
16-03-2026 00:00,46.68,49.5,45.99,47.1,3501,1.63,64,2816.0,80.43
13-03-2026 00:00,47.6,47.6,45.65,46.3,10754,5.02,95,6418.0,59.68
12-03-2026 00:00,47.48,47.99,47.18,47.8,7691,3.67,56,6667.0,86.69
11-03-2026 00:00,49.39,49.5,48.0,48.18,3416,1.66,70,2381.0,69.7
10-03-2026 00:00,48.91,49.18,48.46,49.13,51284,25.12,57,26164.0,51.02
09-03-2026 00:00,49.18,49.18,47.05,48.16,6459,3.06,88,5286.0,81.84
