datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,32.29,32.29,31.29,31.5,230625,73.13,351,199010.0,86.29
24-06-2026 00:00,31.6,31.71,31.17,31.51,31000,9.75,145,16240.0,52.39
23-06-2026 00:00,31.98,31.98,31.37,31.47,142742,45.02,245,72596.0,50.86
22-06-2026 00:00,31.57,31.89,30.94,31.67,29735,9.41,245,17707.0,59.55
19-06-2026 00:00,30.81,31.75,30.81,31.57,109397,34.45,298,67622.0,61.81
18-06-2026 00:00,31.5,31.73,31.5,31.6,429545,135.42,200,422884.0,98.45
17-06-2026 00:00,30.85,31.76,30.85,31.41,61896,19.47,194,52053.0,84.1
16-06-2026 00:00,31.9,31.9,31.28,31.45,28480,8.97,180,23325.0,81.9
15-06-2026 00:00,29.97,31.62,29.97,31.52,192701,60.54,407,145116.0,75.31
12-06-2026 00:00,29.5,30.8,29.5,30.74,48001,14.65,204,26703.0,55.63
11-06-2026 00:00,30.03,30.16,29.81,29.85,18844,5.64,217,9651.0,51.22
10-06-2026 00:00,30.3,30.58,30.05,30.17,23377,7.1,265,15429.0,66.0
09-06-2026 00:00,30.28,30.53,30.11,30.52,22712,6.89,161,15025.0,66.15
08-06-2026 00:00,30.2,30.25,29.9,29.98,68463,20.63,420,52699.0,76.97
05-06-2026 00:00,30.39,30.75,30.26,30.42,60425,18.43,313,46239.0,76.52
04-06-2026 00:00,30.11,30.56,30.02,30.39,38229,11.63,200,31661.0,82.82
03-06-2026 00:00,30.35,30.96,29.76,30.11,65851,19.9,313,37638.0,57.16
02-06-2026 00:00,30.4,30.55,30.02,30.4,93977,28.42,449,56505.0,60.13
01-06-2026 00:00,31.2,31.44,30.36,30.55,301349,92.35,1130,232425.0,77.13
29-05-2026 00:00,31.0,31.93,30.73,31.6,53811,16.9,351,40021.0,74.37
27-05-2026 00:00,31.37,31.38,31.2,31.29,13166,4.12,134,9084.0,69.0
26-05-2026 00:00,31.13,31.36,31.08,31.21,157279,49.15,203,119586.0,76.03
25-05-2026 00:00,30.79,31.19,30.79,31.13,148971,46.29,319,105150.0,70.58
22-05-2026 00:00,29.55,31.0,29.55,30.66,18308,5.6,162,16093.0,87.9
21-05-2026 00:00,30.41,30.77,30.18,30.31,20802,6.35,182,12204.0,58.67
20-05-2026 00:00,30.14,30.57,30.09,30.41,45007,13.66,218,23593.0,52.42
19-05-2026 00:00,30.38,30.52,30.2,30.29,21003,6.38,172,12414.0,59.11
18-05-2026 00:00,30.51,30.6,29.92,30.38,83405,25.18,324,54888.0,65.81
15-05-2026 00:00,30.62,30.89,30.37,30.51,81237,24.84,306,67875.0,83.55
14-05-2026 00:00,30.34,31.04,30.16,30.87,95297,29.34,188,56701.0,59.5
13-05-2026 00:00,29.53,30.58,29.53,30.34,60856,18.43,233,52989.0,87.07
12-05-2026 00:00,30.91,30.91,30.19,30.29,82619,25.23,367,41942.0,50.77
11-05-2026 00:00,31.7,31.7,30.8,30.93,148800,46.17,667,118823.0,79.85
08-05-2026 00:00,31.86,32.52,31.44,31.74,350505,110.74,354,215209.0,61.4
07-05-2026 00:00,31.5,31.82,31.46,31.77,590967,186.57,265,471324.0,79.75
06-05-2026 00:00,30.96,31.42,30.95,31.37,74280,23.16,255,57089.0,76.86
05-05-2026 00:00,30.61,30.99,30.52,30.96,25118,7.7,156,23064.0,91.82
04-05-2026 00:00,30.07,31.09,30.07,30.77,39869,12.3,336,31107.0,78.02
30-04-2026 00:00,30.62,31.44,30.26,30.64,94818,28.89,296,56964.0,60.08
29-04-2026 00:00,30.63,31.17,30.63,30.75,152512,47.11,224,112810.0,73.97
28-04-2026 00:00,30.92,31.07,30.51,30.63,27589,8.47,261,18557.0,67.26
27-04-2026 00:00,31.11,31.11,30.5,30.96,29603,9.14,328,22033.0,74.43
24-04-2026 00:00,30.99,30.99,30.53,30.7,34383,10.54,264,20999.0,61.07
23-04-2026 00:00,31.06,31.15,30.73,30.8,65601,20.3,371,51802.0,78.97
22-04-2026 00:00,31.33,31.44,31.19,31.27,44058,13.78,255,35217.0,79.93
21-04-2026 00:00,31.67,31.67,31.2,31.34,22245,6.98,194,14164.0,63.67
20-04-2026 00:00,31.37,31.46,30.87,31.28,128019,40.0,333,101974.0,79.66
17-04-2026 00:00,30.82,31.5,30.71,31.28,113293,35.14,279,87399.0,77.14
16-04-2026 00:00,30.92,31.17,30.62,30.73,269023,82.81,327,170224.0,63.27
15-04-2026 00:00,30.98,31.13,30.6,30.77,97806,30.19,325,78806.0,80.57
13-04-2026 00:00,30.03,30.9,29.97,30.29,123162,37.29,444,71362.0,57.94
10-04-2026 00:00,30.18,30.94,30.18,30.81,233279,71.47,338,204034.0,87.46
09-04-2026 00:00,30.29,30.39,29.85,30.17,54051,16.34,336,30322.0,56.1
08-04-2026 00:00,29.04,30.43,29.03,30.35,116306,34.96,431,88539.0,76.13
07-04-2026 00:00,28.73,29.44,28.18,28.7,29987,8.53,259,19533.0,65.14
06-04-2026 00:00,28.18,29.0,27.83,28.5,126982,35.88,425,53328.0,42.0
02-04-2026 00:00,28.29,29.46,27.22,28.04,96997,26.73,467,70094.0,72.26
01-04-2026 00:00,27.5,29.59,27.5,28.34,36939,10.44,396,20696.0,56.03
30-03-2026 00:00,28.29,28.3,27.05,27.38,126953,35.03,807,92139.0,72.58
27-03-2026 00:00,28.26,28.84,28.16,28.26,51726,14.68,445,30384.0,58.74
25-03-2026 00:00,28.72,29.3,28.63,28.99,171299,49.64,295,147853.0,86.31
24-03-2026 00:00,28.47,28.52,27.8,28.24,118363,33.25,345,87509.0,73.93
