datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,325.82,325.82,325.82,325.82,234856,765.21,1380,234856.0,100.0
24-06-2026 00:00,334.7,336.3,333.5,336.3,915832,3079.15,10647,824141.0,89.99
23-06-2026 00:00,332.58,335.89,332.58,333.5,1579121,5297.01,16188,1361938.0,86.25
22-06-2026 00:00,332.32,335.94,332.32,335.94,254575,855.05,12301,240947.0,94.65
19-06-2026 00:00,328.41,328.41,328.41,328.41,201525,661.83,1346,201525.0,100.0
18-06-2026 00:00,331.83,331.83,328.04,331.76,1198098,3964.93,20761,738100.0,61.61
17-06-2026 00:00,338.7,338.7,333.02,333.31,1660908,5579.42,31086,1318217.0,79.37
16-06-2026 00:00,330.07,330.07,330.07,330.07,234114,772.74,1094,234114.0,100.0
15-06-2026 00:00,330.19,330.19,330.19,330.19,506488,1672.37,5048,503155.0,99.34
12-06-2026 00:00,318.03,318.03,318.03,318.03,575233,1829.41,1715,575233.0,100.0
11-06-2026 00:00,324.75,324.75,316.69,321.64,1132666,3635.35,27809,649170.0,57.31
10-06-2026 00:00,329.67,329.67,323.66,324.4,1687625,5537.94,34516,1262696.0,74.82
09-06-2026 00:00,321.98,321.98,321.98,321.98,465060,1497.4,2393,465060.0,100.0
08-06-2026 00:00,339.75,341.0,315.55,330.89,3628862,12078.12,86918,2031067.0,55.97
05-06-2026 00:00,342.55,342.55,342.01,342.55,1075827,3685.24,17356,1065213.0,99.01
04-06-2026 00:00,341.98,341.98,330.87,341.98,608997,2082.61,6010,607749.0,99.8
03-06-2026 00:00,339.36,339.36,339.36,339.36,704780,2391.74,2427,440968.0,62.57
02-06-2026 00:00,337.4,337.4,337.4,337.4,292414,986.6,1298,292413.0,100.0
01-06-2026 00:00,335.83,335.83,335.83,335.83,228292,766.67,4072,227698.0,99.74
29-05-2026 00:00,335.82,336.1,333.5,336.1,512620,1722.7,11806,494927.0,96.55
27-05-2026 00:00,328.74,328.74,328.74,328.74,480322,1579.01,1483,480322.0,100.0
26-05-2026 00:00,330.34,330.34,330.34,330.34,1397307,4615.86,14908,1281188.0,91.69
25-05-2026 00:00,330.7,330.7,330.7,330.7,161912,535.44,1525,160825.0,99.33
22-05-2026 00:00,332.13,332.13,332.05,332.13,747968,2484.23,13545,728063.0,97.34
21-05-2026 00:00,325.74,325.74,325.74,325.74,368534,1200.46,1898,368534.0,100.0
20-05-2026 00:00,327.09,327.09,327.09,327.09,740068,2420.69,11932,737052.0,99.59
19-05-2026 00:00,326.82,327.27,326.82,327.27,300004,981.82,1937,300004.0,100.0
18-05-2026 00:00,331.62,331.62,322.0,331.62,1445568,4793.66,14916,1438824.0,99.53
15-05-2026 00:00,329.04,329.04,329.04,329.04,232391,764.66,1642,232391.0,100.0
14-05-2026 00:00,325.39,325.39,325.39,325.39,454937,1480.32,1805,454937.0,100.0
13-05-2026 00:00,327.16,327.16,320.0,327.16,1400312,4581.17,10968,1365804.0,97.54
12-05-2026 00:00,323.37,323.37,323.37,323.37,533551,1725.34,2871,527826.0,98.93
11-05-2026 00:00,315.16,315.16,315.16,315.16,407502,1284.28,2675,407502.0,100.0
08-05-2026 00:00,316.77,316.77,314.43,316.77,1264135,4004.23,16881,1230279.0,97.32
07-05-2026 00:00,307.82,312.5,298.59,312.5,247441,773.25,3880,244503.0,98.81
06-05-2026 00:00,307.82,307.82,307.82,307.82,950488,2925.79,10909,939555.0,98.85
05-05-2026 00:00,305.04,305.04,305.04,305.04,332623,1014.63,4352,325852.0,97.96
04-05-2026 00:00,301.87,301.87,301.87,301.87,395230,1193.08,2558,395224.0,100.0
30-04-2026 00:00,299.17,299.17,298.01,299.17,606398,1814.11,11547,533138.0,87.92
29-04-2026 00:00,301.11,301.11,297.02,301.1,612187,1842.54,13014,559589.0,91.41
28-04-2026 00:00,297.3,301.29,297.3,301.29,734236,2210.91,12999,651291.0,88.7
27-04-2026 00:00,294.95,295.1,294.15,295.1,443444,1308.52,2601,439786.0,99.18
24-04-2026 00:00,295.83,295.83,284.05,293.13,1741682,5111.61,23870,1042623.0,59.86
23-04-2026 00:00,289.77,289.89,288.14,289.89,712824,2065.25,9549,628059.0,88.11
22-04-2026 00:00,289.75,289.77,287.16,289.77,458052,1327.07,9641,425559.0,92.91
21-04-2026 00:00,289.45,290.01,285.04,289.22,1393017,4008.38,20190,767902.0,55.13
20-04-2026 00:00,286.2,287.47,279.03,285.16,1514974,4326.94,29571,1015309.0,67.02
17-04-2026 00:00,284.44,286.78,277.51,286.78,1249508,3581.04,17409,1085061.0,86.84
