datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,143.78,143.78,143.78,143.78,32439,46.64,180,32439.0,100.0
24-06-2026 00:00,146.1,146.16,145.0,146.16,421624,616.03,4632,378482.0,89.77
23-06-2026 00:00,144.54,144.54,144.54,144.54,179835,259.93,226,178882.0,99.47
22-06-2026 00:00,144.56,144.56,144.56,144.56,21759,31.45,194,21759.0,100.0
19-06-2026 00:00,142.29,142.29,142.29,142.29,36314,51.67,135,36314.0,100.0
18-06-2026 00:00,142.81,142.81,142.81,142.81,29471,42.09,134,29471.0,100.0
17-06-2026 00:00,144.7,144.7,142.93,144.7,349633,505.91,3435,326210.0,93.3
16-06-2026 00:00,142.93,142.93,142.93,142.93,64121,91.65,144,64121.0,100.0
15-06-2026 00:00,144.27,144.27,144.02,144.27,78610,113.41,1158,78290.0,99.59
12-06-2026 00:00,137.28,137.28,137.28,137.28,42703,58.62,214,42703.0,100.0
11-06-2026 00:00,140.6,140.6,140.6,140.6,45090,63.4,1222,44823.0,99.41
10-06-2026 00:00,141.0,141.0,141.0,141.0,100410,141.58,703,100329.0,99.92
09-06-2026 00:00,139.21,139.21,139.21,139.21,73930,102.92,283,73930.0,100.0
08-06-2026 00:00,147.03,147.03,141.0,147.03,473303,693.54,5063,418157.0,88.35
05-06-2026 00:00,146.58,146.58,146.58,146.58,17428,25.55,126,17428.0,100.0
04-06-2026 00:00,146.35,146.35,146.35,146.35,14779,21.63,226,14779.0,100.0
03-06-2026 00:00,144.93,144.93,144.93,144.93,8682,12.58,143,8682.0,100.0
02-06-2026 00:00,144.02,144.02,144.02,144.02,43643,62.85,190,43643.0,100.0
01-06-2026 00:00,141.2,141.2,141.2,141.2,13217,18.66,147,13217.0,100.0
29-05-2026 00:00,141.51,141.51,141.51,141.51,17729,25.09,243,17729.0,100.0
27-05-2026 00:00,137.96,137.96,137.96,137.96,24652,34.01,134,24652.0,100.0
26-05-2026 00:00,138.63,138.63,138.63,138.63,20094,27.86,164,20094.0,100.0
25-05-2026 00:00,137.07,137.07,137.07,137.07,33723,46.22,188,33723.0,100.0
22-05-2026 00:00,135.64,135.64,135.64,135.64,33710,45.72,220,33710.0,100.0
21-05-2026 00:00,131.08,131.08,131.08,131.08,32214,42.23,176,32214.0,100.0
20-05-2026 00:00,131.2,131.2,131.2,131.2,30789,40.4,213,30789.0,100.0
19-05-2026 00:00,132.54,132.54,132.54,132.54,26365,34.94,272,26265.0,99.62
18-05-2026 00:00,135.01,135.01,135.01,135.01,40834,55.13,619,40616.0,99.47
