datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,145.03,155.25,144.02,151.71,74519440,113064.18,259878,24760427.0,33.23
24-06-2026 00:00,143.0,145.16,142.07,144.58,11314629,16328.1,44549,5141146.0,45.44
23-06-2026 00:00,145.85,146.14,141.76,143.61,15408718,22192.07,76320,9024684.0,58.57
22-06-2026 00:00,145.54,146.46,143.3,145.85,14978250,21765.04,88501,8618039.0,57.54
19-06-2026 00:00,144.5,146.05,143.02,145.54,20254043,29380.14,55004,11241467.0,55.5
18-06-2026 00:00,145.1,145.46,142.61,144.68,15847981,22841.94,53932,8785506.0,55.44
17-06-2026 00:00,147.51,147.59,142.63,145.1,20551699,29821.28,91470,10221697.0,49.74
16-06-2026 00:00,148.1,149.08,147.02,147.6,10550367,15604.59,42682,5840589.0,55.36
15-06-2026 00:00,146.1,149.9,146.1,148.12,21819103,32363.5,78361,11678334.0,53.52
12-06-2026 00:00,142.52,145.44,141.25,143.4,12743045,18225.86,47587,5818976.0,45.66
11-06-2026 00:00,141.1,141.4,139.27,140.74,15466606,21732.54,68105,8568537.0,55.4
10-06-2026 00:00,144.52,144.52,140.72,142.21,18703442,26654.74,60441,9680881.0,51.76
09-06-2026 00:00,141.7,144.4,140.5,144.06,19014375,27150.49,101630,9174694.0,48.25
08-06-2026 00:00,142.0,142.85,138.03,139.01,13205674,18498.62,81004,6750591.0,51.12
05-06-2026 00:00,144.65,146.15,143.0,143.56,13743288,19814.86,57577,5283433.0,38.44
04-06-2026 00:00,144.88,147.4,143.64,144.31,17953489,26116.58,78448,7593091.0,42.29
03-06-2026 00:00,144.68,146.25,141.75,145.61,19595325,28254.04,68205,6606964.0,33.72
02-06-2026 00:00,141.4,145.33,140.56,144.89,25070101,35855.22,113502,10723258.0,42.77
01-06-2026 00:00,146.01,146.8,141.13,141.77,38855400,55798.33,149164,18023216.0,46.39
29-05-2026 00:00,144.46,151.77,140.08,145.74,84670792,122596.52,276464,53796986.0,63.54
27-05-2026 00:00,136.0,146.7,134.65,142.41,50082550,69862.17,204060,29768796.0,59.44
26-05-2026 00:00,136.49,137.65,134.85,135.82,13243802,17998.5,78124,6048162.0,45.67
25-05-2026 00:00,137.5,138.75,135.11,135.91,15957403,21775.5,80363,7247474.0,45.42
22-05-2026 00:00,137.3,139.01,134.3,136.18,34327232,46755.12,123212,14570424.0,42.45
21-05-2026 00:00,136.02,138.4,133.36,137.0,65674007,89568.64,236599,17340937.0,26.4
20-05-2026 00:00,130.25,136.0,129.51,132.17,56355040,74989.37,209057,16199951.0,28.75
19-05-2026 00:00,130.84,132.7,129.02,131.49,24014703,31481.0,247929,12500831.0,52.05
18-05-2026 00:00,128.95,129.09,125.15,128.75,19541162,24948.14,100315,7940608.0,40.64
15-05-2026 00:00,126.5,131.61,125.58,129.92,21324325,27650.26,117157,7728807.0,36.24
14-05-2026 00:00,127.0,128.0,125.24,126.11,8977945,11344.09,55435,3734730.0,41.6
13-05-2026 00:00,124.0,127.53,123.83,126.32,15031563,18960.15,80060,6795283.0,45.21
12-05-2026 00:00,130.0,130.66,123.55,124.26,20474526,25871.25,96070,9181088.0,44.84
11-05-2026 00:00,130.58,131.39,128.94,130.3,10995210,14348.19,68911,4945427.0,44.98
08-05-2026 00:00,130.99,132.76,130.52,132.03,17361170,22912.95,167837,7128079.0,41.06
07-05-2026 00:00,128.31,131.4,126.8,130.43,38333083,49576.76,185201,18827571.0,49.12
06-05-2026 00:00,121.81,128.0,121.51,127.41,22449919,28071.71,121640,9429734.0,42.0
05-05-2026 00:00,120.21,121.11,118.41,120.24,10287116,12366.03,58129,4443892.0,43.2
04-05-2026 00:00,121.99,123.43,119.59,120.21,9964145,12109.18,73793,4480954.0,44.97
30-04-2026 00:00,123.24,123.25,119.12,121.21,17371847,20969.24,71966,7126387.0,41.02
29-04-2026 00:00,125.97,126.98,122.96,123.24,14894309,18576.64,64852,7687531.0,51.61
28-04-2026 00:00,128.0,128.8,124.82,125.22,15569483,19639.03,41259,9041583.0,58.07
27-04-2026 00:00,126.13,128.54,125.44,127.93,11628991,14787.56,38692,4911897.0,42.24
