datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,936.0,955.0,933.4,946.15,1203387,11381.55,25093,554138.0,46.05
24-06-2026 00:00,936.15,945.2,928.1,935.15,488783,4578.55,17587,185242.0,37.9
23-06-2026 00:00,949.0,954.85,934.0,936.15,556685,5243.55,17885,237763.0,42.71
22-06-2026 00:00,953.5,961.9,939.2,948.8,639562,6061.96,18380,341900.0,53.46
19-06-2026 00:00,948.15,958.95,940.55,953.45,836211,7965.48,28018,410496.0,49.09
18-06-2026 00:00,942.9,961.7,942.9,948.15,938542,8937.66,27427,345021.0,36.76
17-06-2026 00:00,946.55,960.0,940.0,942.85,1087078,10349.22,30339,370572.0,34.09
16-06-2026 00:00,948.95,949.3,929.3,944.25,986688,9275.58,33361,373136.0,37.82
15-06-2026 00:00,904.95,945.55,903.0,939.45,2438845,22741.8,66059,758664.0,31.11
12-06-2026 00:00,854.7,890.6,854.45,888.45,3169428,27753.65,75255,502817.0,15.86
11-06-2026 00:00,843.8,843.8,829.0,831.6,379205,3168.85,22132,117657.0,31.03
10-06-2026 00:00,862.0,863.45,838.0,841.0,468100,3986.42,19868,201317.0,43.01
09-06-2026 00:00,826.15,868.8,826.15,864.3,1784522,15234.63,52150,331943.0,18.6
08-06-2026 00:00,847.5,850.9,812.25,821.15,829029,6897.05,34456,419565.0,50.61
05-06-2026 00:00,865.0,874.0,847.0,855.35,583710,5026.55,21065,151609.0,25.97
04-06-2026 00:00,855.0,866.8,850.1,861.2,493417,4243.9,14655,188806.0,38.26
03-06-2026 00:00,868.8,869.8,838.4,855.55,566985,4827.06,21410,200593.0,35.38
02-06-2026 00:00,841.0,872.0,841.0,865.95,904092,7747.0,29685,335282.0,37.08
01-06-2026 00:00,884.0,889.0,848.1,851.7,940608,8140.31,29544,437011.0,46.46
29-05-2026 00:00,901.0,903.3,875.5,879.5,696554,6194.46,23723,272522.0,39.12
27-05-2026 00:00,873.95,909.0,872.8,894.1,1740516,15588.9,33778,769738.0,44.22
26-05-2026 00:00,871.95,894.0,864.2,870.55,1411325,12395.93,30799,578474.0,40.99
25-05-2026 00:00,857.95,873.6,851.0,870.3,768532,6650.28,24013,329017.0,42.81
