datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,130990.0,131795.0,129205.0,129550.0,4800,6266.54,3518,1882.0,39.21
24-06-2026 00:00,131350.0,131750.0,129800.0,130120.0,5739,7480.3,4222,2747.0,47.87
23-06-2026 00:00,131560.0,132885.0,131000.0,131350.0,7614,10050.16,4638,3446.0,45.26
22-06-2026 00:00,128645.0,132040.0,128645.0,131560.0,11184,14657.39,7235,5716.0,51.11
19-06-2026 00:00,130310.0,130485.0,128380.0,128645.0,6602,8521.02,4965,3630.0,54.98
18-06-2026 00:00,129250.0,131000.0,128905.0,130085.0,4351,5643.7,3027,2214.0,50.88
17-06-2026 00:00,128940.0,129590.0,128205.0,129245.0,6926,8936.36,4953,3508.0,50.65
16-06-2026 00:00,129500.0,129930.0,127800.0,128470.0,6791,8737.02,5112,3182.0,46.86
15-06-2026 00:00,127005.0,131795.0,127005.0,128540.0,17752,23024.13,12016,7239.0,40.78
12-06-2026 00:00,123590.0,125700.0,123540.0,125515.0,4679,5839.97,3293,2261.0,48.32
11-06-2026 00:00,122550.0,123500.0,122050.0,122935.0,4096,5035.14,3024,2256.0,55.08
10-06-2026 00:00,123000.0,123300.0,122140.0,122595.0,4721,5800.07,3826,2532.0,53.63
09-06-2026 00:00,123390.0,123680.0,122595.0,122750.0,4774,5871.64,3359,2736.0,57.31
08-06-2026 00:00,123500.0,123940.0,122205.0,122820.0,4228,5203.08,3167,1925.0,45.53
05-06-2026 00:00,125950.0,125950.0,123350.0,123505.0,7169,8882.56,5110,3765.0,52.52
04-06-2026 00:00,124800.0,125500.0,124300.0,124715.0,3345,4179.52,2457,1653.0,49.42
03-06-2026 00:00,124950.0,125395.0,124075.0,124790.0,3216,4017.05,2422,1468.0,45.65
02-06-2026 00:00,123805.0,125620.0,123430.0,124695.0,4336,5407.67,3491,2076.0,47.88
01-06-2026 00:00,125275.0,125275.0,123800.0,124425.0,5787,7202.89,4649,2154.0,37.22
29-05-2026 00:00,127040.0,127590.0,122000.0,123420.0,17159,21351.72,13000,11866.0,69.15
27-05-2026 00:00,127700.0,127760.0,126900.0,127040.0,2911,3704.13,2182,1120.0,38.47
26-05-2026 00:00,129000.0,129200.0,127000.0,127160.0,5582,7129.9,4035,2254.0,40.38
25-05-2026 00:00,128220.0,129390.0,127175.0,128655.0,6716,8629.63,5082,2823.0,42.03
22-05-2026 00:00,126790.0,127330.0,125800.0,126785.0,5408,6847.67,4088,1900.0,35.13
21-05-2026 00:00,127660.0,127990.0,125630.0,126070.0,5263,6677.24,3917,2547.0,48.39
20-05-2026 00:00,126700.0,127790.0,125410.0,127125.0,4993,6324.29,3908,1685.0,33.75
19-05-2026 00:00,128550.0,129500.0,126200.0,126730.0,7011,8941.99,5302,3447.0,49.17
18-05-2026 00:00,127500.0,129365.0,126520.0,129110.0,5290,6787.18,4073,1782.0,33.69
15-05-2026 00:00,127030.0,128910.0,126500.0,128640.0,5420,6931.18,3974,1764.0,32.55
