datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,157.0,157.0,153.0,153.93,2722969,4213.45,18736,884803.0,32.49
24-06-2026 00:00,153.3,157.4,152.61,156.23,3577474,5555.01,23555,910110.0,25.44
23-06-2026 00:00,155.15,157.5,152.72,153.29,4959383,7689.39,39362,1617464.0,32.61
22-06-2026 00:00,155.0,156.17,153.8,154.37,3354706,5188.46,20977,1260027.0,37.56
19-06-2026 00:00,158.8,158.93,153.61,154.19,5718000,8874.67,40131,2611777.0,45.68
18-06-2026 00:00,160.55,162.48,157.66,159.07,5740039,9149.16,35895,2142946.0,37.33
17-06-2026 00:00,166.51,168.91,160.1,161.07,5885464,9614.53,36931,2456021.0,41.73
16-06-2026 00:00,170.8,170.8,164.0,165.52,6434625,10679.01,38299,1945937.0,30.24
15-06-2026 00:00,164.7,171.25,164.11,168.95,14440254,24489.29,76260,4616322.0,31.97
12-06-2026 00:00,158.4,162.7,155.72,161.01,7838745,12492.35,58239,1900196.0,24.24
11-06-2026 00:00,162.95,162.95,155.11,155.7,6935374,10941.07,47865,2201259.0,31.74
10-06-2026 00:00,160.81,169.82,160.02,163.62,28549878,47510.5,143794,5523599.0,19.35
09-06-2026 00:00,152.5,161.45,150.81,160.34,11033411,17405.02,62652,3556572.0,32.23
08-06-2026 00:00,153.25,155.99,150.65,151.55,4172375,6405.64,30817,1324216.0,31.74
05-06-2026 00:00,157.22,158.5,154.05,154.9,3985931,6215.53,30581,1286623.0,32.28
04-06-2026 00:00,154.15,158.85,153.59,156.59,8323023,13068.93,51094,2252080.0,27.06
03-06-2026 00:00,147.0,157.5,147.0,154.16,26026182,40064.36,143508,3321175.0,12.76
02-06-2026 00:00,145.0,148.79,144.1,147.02,2897334,4246.43,25704,796586.0,27.49
01-06-2026 00:00,146.0,149.15,145.01,147.07,4415461,6507.41,41770,1058938.0,23.98
29-05-2026 00:00,150.7,151.37,143.5,144.96,2928626,4322.65,26885,1335926.0,45.62
27-05-2026 00:00,151.2,152.1,148.51,150.41,3381631,5089.57,25439,976692.0,28.88
26-05-2026 00:00,150.9,152.49,150.17,151.2,1749063,2646.89,14332,542127.0,31.0
25-05-2026 00:00,151.95,153.59,150.9,151.84,3291635,5011.05,21509,954809.0,29.01
22-05-2026 00:00,151.0,151.29,148.1,148.98,2213859,3299.57,20056,684260.0,30.91
21-05-2026 00:00,150.5,152.8,148.7,150.17,4607443,6954.44,34687,1261438.0,27.38
20-05-2026 00:00,145.0,150.5,143.12,148.13,6333859,9371.18,41342,1057706.0,16.7
19-05-2026 00:00,149.41,150.99,144.35,145.57,4371977,6426.9,32289,1685945.0,38.56
18-05-2026 00:00,148.49,149.19,145.05,148.24,2922232,4292.29,25058,816430.0,27.94
15-05-2026 00:00,154.62,155.34,149.28,150.32,3613519,5490.0,26081,1319834.0,36.52
14-05-2026 00:00,157.0,158.5,151.77,153.63,4661669,7171.79,37302,1120875.0,24.04
13-05-2026 00:00,154.0,157.0,151.71,155.63,6273437,9715.99,44925,1398570.0,22.29
12-05-2026 00:00,161.58,161.58,153.25,154.12,4827424,7557.25,36045,1369094.0,28.36
11-05-2026 00:00,167.02,167.1,159.56,160.33,8330207,13435.79,57185,2418886.0,29.04
08-05-2026 00:00,157.0,169.9,156.9,167.94,66142408,110331.66,308248,8876573.0,13.42
07-05-2026 00:00,158.0,160.99,154.69,155.35,6319868,9879.44,45149,2178241.0,34.47
06-05-2026 00:00,157.29,158.55,152.2,156.78,8666745,13436.09,56331,2510184.0,28.96
05-05-2026 00:00,160.14,161.07,155.5,155.74,6990399,10995.63,41950,2362521.0,33.8
04-05-2026 00:00,169.0,169.9,158.59,159.47,7989173,12927.82,55083,2991423.0,37.44
30-04-2026 00:00,174.11,175.55,166.2,167.55,6996938,11840.52,38055,2267634.0,32.41
29-04-2026 00:00,175.45,177.15,172.41,173.28,7564837,13218.04,40762,1963693.0,25.96
28-04-2026 00:00,173.3,178.15,171.8,173.72,14192932,24809.16,74165,3378918.0,23.81
27-04-2026 00:00,177.62,180.0,170.37,172.1,16906664,29409.31,99804,6141750.0,36.33
