datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,38.0,42.0,38.0,41.26,227891559,93370.33,351705,30732153.0,13.49
24-06-2026 00:00,37.85,38.48,37.51,37.82,8236086,3131.69,57591,3587212.0,43.55
23-06-2026 00:00,38.25,38.4,37.5,37.81,5408094,2047.81,24297,2797111.0,51.72
22-06-2026 00:00,38.5,38.59,38.05,38.39,10997565,4206.3,36310,6700321.0,60.93
19-06-2026 00:00,37.65,38.6,37.42,38.03,12257716,4639.44,55868,8098661.0,66.07
18-06-2026 00:00,37.56,37.81,37.32,37.75,8051573,3029.0,32870,4333000.0,53.82
17-06-2026 00:00,37.7,38.04,36.96,37.17,21459638,8001.39,47216,13668040.0,63.69
16-06-2026 00:00,38.04,38.3,37.26,37.59,9212911,3465.1,33934,5148663.0,55.89
15-06-2026 00:00,37.65,38.63,37.65,37.87,16522859,6312.32,47536,8801103.0,53.27
12-06-2026 00:00,36.66,37.54,36.44,36.84,27650685,10172.45,55916,18946768.0,68.52
11-06-2026 00:00,37.34,37.34,36.32,36.38,12335148,4527.87,42051,8087583.0,65.57
10-06-2026 00:00,38.2,38.26,37.27,37.38,5530609,2079.63,29715,3526670.0,63.77
09-06-2026 00:00,38.0,38.28,37.6,38.16,13389537,5091.29,33797,8751240.0,65.36
08-06-2026 00:00,38.58,38.58,37.3,37.47,6234072,2353.09,38836,3437489.0,55.14
05-06-2026 00:00,38.3,38.7,38.21,38.58,7754395,2986.36,35689,4945229.0,63.77
04-06-2026 00:00,38.1,38.85,37.88,38.3,5337219,2047.61,20295,2658259.0,49.81
03-06-2026 00:00,38.29,38.68,37.75,38.18,6828863,2605.58,28632,3618135.0,52.98
02-06-2026 00:00,37.5,38.37,37.18,38.2,5477804,2083.56,33752,3010335.0,54.96
01-06-2026 00:00,39.01,39.38,37.5,37.65,10915672,4153.02,53267,6824096.0,62.52
29-05-2026 00:00,39.8,39.94,38.78,38.97,9818726,3859.3,47654,5960724.0,60.71
27-05-2026 00:00,39.39,39.91,39.11,39.7,5736830,2261.68,25118,2512013.0,43.79
26-05-2026 00:00,39.34,40.01,39.08,39.23,4806920,1900.05,30599,2469693.0,51.38
25-05-2026 00:00,40.0,40.72,39.25,39.32,6636708,2639.85,27913,3242661.0,48.86
22-05-2026 00:00,40.26,40.3,39.58,39.66,2756164,1098.88,14607,1202534.0,43.63
21-05-2026 00:00,39.9,40.45,39.5,39.9,3744828,1500.02,19555,1363648.0,36.41
20-05-2026 00:00,39.0,39.86,38.63,39.72,5687175,2238.65,33356,2561653.0,45.04
19-05-2026 00:00,39.4,39.82,39.24,39.39,4625083,1826.49,34140,2154012.0,46.57
18-05-2026 00:00,39.87,39.87,38.8,39.23,5315174,2079.57,31317,2313590.0,43.53
15-05-2026 00:00,39.82,40.78,39.82,40.07,3645302,1468.86,18743,1540190.0,42.25
14-05-2026 00:00,40.1,40.41,39.41,40.04,3227888,1288.43,28732,1224049.0,37.92
