datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,1148.3,1186.0,1133.8,1139.0,599710,6891.92,24948,269218.0,44.89
24-06-2026 00:00,1167.1,1174.4,1150.0,1157.4,687792,7986.94,37033,364444.0,52.99
23-06-2026 00:00,1188.0,1193.6,1161.0,1168.6,534528,6295.16,33553,217341.0,40.66
22-06-2026 00:00,1194.0,1194.0,1180.0,1188.4,495189,5871.08,16156,215071.0,43.43
19-06-2026 00:00,1175.0,1191.3,1157.8,1186.9,1616527,19013.7,34708,967698.0,59.86
18-06-2026 00:00,1151.5,1172.3,1138.3,1167.4,1039718,12016.3,31797,501602.0,48.24
17-06-2026 00:00,1146.8,1155.9,1136.2,1153.7,419629,4820.97,17696,150137.0,35.78
16-06-2026 00:00,1145.8,1158.5,1137.6,1142.4,522862,5987.86,21291,172503.0,32.99
15-06-2026 00:00,1100.0,1151.0,1099.9,1140.1,1550884,17503.44,43553,640707.0,41.31
12-06-2026 00:00,1064.8,1094.7,1048.5,1089.1,889666,9529.06,28371,400844.0,45.06
11-06-2026 00:00,1055.1,1061.3,1037.9,1041.6,505732,5292.61,18927,262614.0,51.93
10-06-2026 00:00,1084.7,1092.0,1058.1,1061.5,1489745,15930.77,44720,687291.0,46.13
09-06-2026 00:00,1055.2,1088.6,1055.2,1084.8,1593023,17059.76,41431,752435.0,47.23
08-06-2026 00:00,1085.1,1102.0,1045.1,1055.2,1689243,18184.7,43957,764000.0,45.23
05-06-2026 00:00,1134.7,1144.4,1099.0,1113.1,765915,8575.84,32588,218736.0,28.56
04-06-2026 00:00,1055.0,1143.0,1055.0,1129.1,2576570,28772.74,72035,942045.0,36.56
03-06-2026 00:00,1094.3,1094.3,1045.3,1077.8,973915,10405.37,42529,261265.0,26.83
02-06-2026 00:00,1086.0,1097.0,1061.6,1089.9,1153544,12452.8,58352,555478.0,48.15
01-06-2026 00:00,1100.0,1111.5,1076.0,1092.9,1051194,11525.5,55601,539529.0,51.33
29-05-2026 00:00,1090.8,1122.0,1075.7,1100.2,2331691,25656.36,68157,1572495.0,67.44
27-05-2026 00:00,1090.0,1105.0,1085.0,1088.9,538446,5883.36,30735,204385.0,37.96
26-05-2026 00:00,1100.0,1117.7,1085.0,1095.7,979273,10798.02,48372,420505.0,42.94
25-05-2026 00:00,1095.2,1105.0,1090.5,1100.1,555837,6104.31,25505,225238.0,40.52
22-05-2026 00:00,1089.0,1089.0,1064.5,1080.4,888517,9553.71,36891,402271.0,45.27
21-05-2026 00:00,1110.0,1125.0,1074.1,1078.8,920224,10065.99,43128,397420.0,43.19
20-05-2026 00:00,1076.9,1108.8,1065.0,1103.0,767567,8349.84,36652,338369.0,44.08
19-05-2026 00:00,1083.0,1098.5,1060.8,1082.2,1212511,13111.85,39390,599302.0,49.43
18-05-2026 00:00,1091.0,1114.0,1074.2,1083.0,1108946,12105.3,58688,469022.0,42.29
15-05-2026 00:00,1095.0,1105.7,1081.1,1100.6,843168,9263.88,49660,453142.0,53.74
14-05-2026 00:00,1063.3,1095.5,1060.1,1092.3,1308254,14120.63,57719,577297.0,44.13
13-05-2026 00:00,1040.0,1071.7,1034.2,1059.6,1591692,16853.7,80475,912163.0,57.31
12-05-2026 00:00,1065.0,1069.4,1029.0,1038.1,1018963,10636.78,47059,482890.0,47.39
11-05-2026 00:00,1093.3,1096.9,1062.2,1065.6,976945,10480.58,45985,470972.0,48.21
08-05-2026 00:00,1107.4,1117.9,1095.0,1103.4,803299,8884.47,33460,460466.0,57.32
07-05-2026 00:00,1097.5,1110.9,1086.0,1107.4,1006079,11065.61,36820,527558.0,52.44
06-05-2026 00:00,1065.0,1100.2,1058.0,1094.2,1616228,17519.67,50254,772111.0,47.77
05-05-2026 00:00,1019.0,1058.5,1005.2,1052.8,1093839,11384.76,50959,361842.0,33.08
04-05-2026 00:00,1025.0,1040.0,1012.0,1019.3,848414,8697.03,33863,344836.0,40.64
30-04-2026 00:00,1017.0,1040.0,984.8,1009.95,1856773,18652.03,95296,966859.0,52.07
29-04-2026 00:00,1038.0,1059.85,1020.1,1028.9,1019935,10571.0,35711,419757.0,41.16
28-04-2026 00:00,1016.95,1065.0,1016.95,1023.25,4148259,43132.78,121875,847778.0,20.44
27-04-2026 00:00,996.0,999.75,982.1,989.7,744155,7372.47,38371,227932.0,30.63
24-04-2026 00:00,1038.0,1046.55,972.1,979.35,1787464,17786.82,64805,866141.0,48.46
