datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,77.64,77.64,75.49,76.12,1864408,1422.55,4622,1618585.0,86.81
24-06-2026 00:00,75.96,76.2,75.15,75.75,837809,634.82,3813,641538.0,76.57
23-06-2026 00:00,76.75,77.13,75.6,75.76,824771,627.91,7006,468952.0,56.86
22-06-2026 00:00,76.94,76.94,76.12,76.75,970302,743.14,5933,706471.0,72.81
19-06-2026 00:00,75.31,76.94,75.31,76.38,3734820,2853.75,6022,3286880.0,88.01
18-06-2026 00:00,77.0,77.48,76.0,76.6,6838191,5229.69,6147,6140517.0,89.8
17-06-2026 00:00,75.44,76.5,75.44,76.24,1343705,1021.15,4090,1162841.0,86.54
16-06-2026 00:00,75.9,76.0,75.31,75.76,677728,512.06,4007,472157.0,69.67
15-06-2026 00:00,75.66,75.88,73.85,75.48,883708,665.97,6722,491062.0,55.57
12-06-2026 00:00,73.6,73.99,72.15,73.82,560006,410.34,4136,368196.0,65.75
11-06-2026 00:00,72.98,72.98,72.03,72.15,829277,600.29,6000,477810.0,57.62
10-06-2026 00:00,73.99,73.99,72.8,72.98,417825,306.92,4877,231996.0,55.52
09-06-2026 00:00,73.37,73.79,73.12,73.72,386744,284.04,4273,208483.0,53.91
08-06-2026 00:00,75.96,75.96,72.51,72.79,3386281,2485.53,11306,3137045.0,92.64
05-06-2026 00:00,73.94,74.5,73.6,74.11,1153527,855.34,5301,964544.0,83.62
04-06-2026 00:00,73.72,74.3,73.01,73.94,564452,417.75,4173,400239.0,70.91
03-06-2026 00:00,74.25,74.25,72.9,73.74,2105858,1540.12,8472,1194419.0,56.72
02-06-2026 00:00,73.57,76.0,73.0,74.25,2302508,1693.81,7114,1969829.0,85.55
01-06-2026 00:00,74.98,75.6,73.52,73.78,1062318,789.68,9845,641484.0,60.39
29-05-2026 00:00,77.61,77.61,74.75,74.99,1006610,760.9,7671,541544.0,53.8
27-05-2026 00:00,74.98,75.87,74.83,75.72,972275,732.78,4709,792737.0,81.53
26-05-2026 00:00,75.14,75.14,74.39,74.81,804690,602.07,3943,604591.0,75.13
25-05-2026 00:00,74.0,74.82,73.85,74.7,880184,655.94,5700,609318.0,69.23
22-05-2026 00:00,73.69,73.7,73.07,73.56,343816,252.53,3786,181503.0,52.79
21-05-2026 00:00,73.13,73.91,73.05,73.24,335097,246.26,3715,188374.0,56.21
20-05-2026 00:00,72.51,73.3,71.92,73.13,405871,294.57,4639,228913.0,56.4
