datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,190.29,193.02,183.26,184.63,4204537,7841.69,32551,611521.0,14.54
24-06-2026 00:00,196.0,196.0,187.5,188.51,7723296,14665.58,51600,899153.0,11.64
23-06-2026 00:00,211.71,211.91,192.62,195.1,20861758,41797.23,138827,3214662.0,15.41
22-06-2026 00:00,205.5,218.0,205.5,212.11,80921087,172385.13,429168,4360880.0,5.39
19-06-2026 00:00,180.0,206.6,179.41,202.31,119622490,236638.34,569236,5301415.0,4.43
18-06-2026 00:00,168.0,188.5,167.74,178.67,86100480,158198.2,455645,3846425.0,4.47
17-06-2026 00:00,161.76,168.69,160.96,165.46,2002095,3313.45,28487,651737.0,32.55
16-06-2026 00:00,160.9,164.9,159.46,161.76,1166395,1898.11,17948,329132.0,28.22
15-06-2026 00:00,154.9,164.2,154.5,160.37,2158579,3466.86,28066,617181.0,28.59
12-06-2026 00:00,148.0,153.5,147.7,152.8,637119,964.93,7892,210965.0,33.11
11-06-2026 00:00,149.85,149.85,146.41,146.93,296423,437.88,8681,130564.0,44.05
10-06-2026 00:00,151.0,153.27,149.32,150.19,366042,554.82,7191,124238.0,33.94
09-06-2026 00:00,149.1,151.66,149.01,150.9,306662,461.32,5058,125533.0,40.94
08-06-2026 00:00,149.0,151.55,148.0,149.54,281750,421.43,6604,90233.0,32.03
05-06-2026 00:00,151.69,153.45,150.51,151.51,462350,702.28,8740,106584.0,23.05
04-06-2026 00:00,145.5,155.0,145.5,151.69,1584786,2394.4,24968,249050.0,15.72
03-06-2026 00:00,148.25,149.57,145.58,147.18,715611,1052.8,15972,216758.0,30.29
02-06-2026 00:00,155.06,156.67,146.6,149.32,1848048,2768.74,26873,593288.0,32.1
01-06-2026 00:00,157.75,159.74,154.26,157.01,389741,611.45,8814,104402.0,26.79
29-05-2026 00:00,161.3,161.58,156.56,157.42,541498,859.51,7975,246413.0,45.51
27-05-2026 00:00,162.79,163.9,160.02,160.56,603901,973.81,7656,231174.0,38.28
26-05-2026 00:00,166.37,167.78,162.16,162.76,687695,1134.21,8033,256498.0,37.3
25-05-2026 00:00,165.0,168.5,164.23,166.2,841058,1398.94,11004,220197.0,26.18
22-05-2026 00:00,165.54,166.45,163.55,164.64,385898,636.54,6766,128350.0,33.26
21-05-2026 00:00,163.1,169.6,162.4,166.08,1066435,1772.13,15686,308693.0,28.95
20-05-2026 00:00,162.51,163.8,161.35,163.1,416938,678.2,7718,108300.0,25.98
19-05-2026 00:00,160.95,169.01,160.94,164.57,1246074,2061.2,18176,168331.0,13.51
