datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,274.5,274.5,271.8,272.14,768902,2098.02,9917,421422.0,54.81
24-06-2026 00:00,266.0,272.25,266.0,271.5,814945,2208.63,10761,412011.0,50.56
23-06-2026 00:00,272.5,272.77,268.95,269.65,776573,2102.38,10974,542040.0,69.8
22-06-2026 00:00,271.75,275.0,271.75,272.38,724303,1973.4,19920,485292.0,67.0
19-06-2026 00:00,272.2,272.2,270.55,271.56,948430,2570.54,13244,567213.0,59.81
18-06-2026 00:00,275.5,275.5,270.66,272.57,1583935,4310.85,15520,497100.0,31.38
17-06-2026 00:00,270.15,273.0,270.15,271.61,1328562,3603.74,14279,850688.0,64.03
16-06-2026 00:00,273.2,273.2,269.16,270.34,645692,1743.55,14751,449319.0,69.59
15-06-2026 00:00,269.75,273.13,268.8,269.18,1105266,2981.26,28284,715768.0,64.76
12-06-2026 00:00,266.14,266.81,262.9,266.47,567210,1502.23,10736,292865.0,51.63
11-06-2026 00:00,261.28,262.94,260.51,261.36,394460,1031.41,11329,238558.0,60.48
10-06-2026 00:00,263.99,264.0,261.45,261.75,834514,2196.75,13276,456414.0,54.69
09-06-2026 00:00,264.31,264.31,260.89,262.52,523071,1370.65,12294,252111.0,48.2
08-06-2026 00:00,260.0,262.74,260.0,261.2,1064457,2785.46,30646,562173.0,52.81
05-06-2026 00:00,263.8,266.09,263.04,263.99,470216,1242.55,8670,281034.0,59.77
04-06-2026 00:00,257.65,264.75,257.65,264.01,602124,1590.02,10077,299925.0,49.81
03-06-2026 00:00,265.38,265.38,261.55,264.26,1425271,3752.57,12305,751678.0,52.74
02-06-2026 00:00,263.72,265.43,262.2,264.46,935029,2466.49,22850,676269.0,72.33
01-06-2026 00:00,268.46,269.86,263.88,264.14,980393,2603.36,26579,502460.0,51.25
29-05-2026 00:00,270.0,270.62,265.35,266.01,1884776,5026.38,9932,1315048.0,69.77
27-05-2026 00:00,269.01,270.25,268.32,269.51,252172,679.65,8746,129090.0,51.19
26-05-2026 00:00,272.01,272.01,269.11,269.34,583105,1576.84,15993,317736.0,54.49
25-05-2026 00:00,274.44,274.44,268.77,270.88,1004121,2714.57,22557,759288.0,75.62
22-05-2026 00:00,266.79,268.68,266.79,267.75,319790,856.88,10726,147380.0,46.09
21-05-2026 00:00,268.01,269.49,266.05,266.79,434383,1160.19,12616,239529.0,55.14
20-05-2026 00:00,264.76,267.09,263.87,266.82,458791,1218.5,8856,236232.0,51.49
19-05-2026 00:00,267.14,267.94,265.55,266.0,442699,1182.1,9963,153955.0,34.78
18-05-2026 00:00,265.89,266.86,263.16,266.19,837463,2216.74,21046,316808.0,37.83
15-05-2026 00:00,265.86,268.29,265.86,266.28,777542,2077.97,11213,365867.0,47.05
14-05-2026 00:00,265.34,267.4,263.95,267.02,779086,2074.33,10856,415408.0,53.32
13-05-2026 00:00,263.48,265.9,262.07,264.02,855103,2257.92,12882,466219.0,54.52
12-05-2026 00:00,265.0,268.29,263.0,263.48,1536516,4074.39,18688,1128574.0,73.45
11-05-2026 00:00,265.5,279.12,265.5,268.79,1285458,3462.62,30184,974745.0,75.83
08-05-2026 00:00,273.94,273.94,271.9,272.31,836019,2277.89,13891,464541.0,55.57
07-05-2026 00:00,276.31,276.31,273.21,273.82,1037500,2844.58,14000,535664.0,51.63
06-05-2026 00:00,279.15,279.15,270.61,274.17,1204976,3282.86,16985,494067.0,41.0
05-05-2026 00:00,272.37,272.37,269.29,271.02,768994,2078.75,12560,328504.0,42.72
04-05-2026 00:00,270.69,273.58,270.69,271.77,536973,1462.03,25034,280613.0,52.26
30-04-2026 00:00,271.8,271.8,268.28,270.69,745453,2009.49,21138,382589.0,51.32
29-04-2026 00:00,272.44,273.59,269.98,271.81,457550,1246.32,9170,257293.0,56.23
28-04-2026 00:00,271.87,271.9,269.69,269.99,689006,1864.92,7418,518421.0,75.24
27-04-2026 00:00,269.61,271.63,269.61,271.37,419838,1137.85,19940,224023.0,53.36
24-04-2026 00:00,272.99,272.99,268.78,269.61,1044126,2818.35,12830,744264.0,71.28
23-04-2026 00:00,273.8,273.8,272.07,272.45,602023,1641.7,11180,407441.0,67.68
22-04-2026 00:00,273.66,276.22,273.66,274.41,627873,1726.4,15885,372421.0,59.31
21-04-2026 00:00,275.73,276.55,267.24,276.23,709863,1959.15,14644,430701.0,60.67
20-04-2026 00:00,274.39,275.38,273.06,274.1,668508,1834.92,21983,389861.0,58.32
17-04-2026 00:00,273.13,274.98,271.58,274.39,919871,2515.78,15329,509935.0,55.44
16-04-2026 00:00,274.98,274.98,271.77,272.67,907497,2478.16,17660,588309.0,64.83
15-04-2026 00:00,269.99,273.57,269.99,273.3,1323716,3610.93,19297,722992.0,54.62
13-04-2026 00:00,267.0,269.46,265.75,268.65,1020671,2733.81,27152,553368.0,54.22
10-04-2026 00:00,267.46,271.19,267.46,270.83,956414,2583.8,17211,705599.0,73.78
09-04-2026 00:00,267.9,270.26,267.0,268.06,1092905,2934.5,14767,699640.0,64.02
08-04-2026 00:00,268.26,270.86,267.01,270.6,2524332,6808.93,14565,1676598.0,66.42
07-04-2026 00:00,265.72,265.72,256.08,260.45,907332,2346.46,15835,539900.0,59.5
06-04-2026 00:00,258.88,259.43,254.25,259.24,1805413,4639.87,31211,1271649.0,70.44
02-04-2026 00:00,263.66,263.66,250.4,256.19,1719012,4336.75,19507,1088323.0,63.31
01-04-2026 00:00,259.58,259.58,255.12,255.98,1433058,3681.28,29122,763962.0,53.31
30-03-2026 00:00,257.05,257.05,251.26,252.02,2722023,6898.16,21654,1639627.0,60.24
27-03-2026 00:00,262.59,262.59,257.21,257.51,1651898,4275.66,22174,1264486.0,76.55
25-03-2026 00:00,259.7,264.51,258.67,262.64,1620655,4268.02,18350,1059655.0,65.38
24-03-2026 00:00,260.56,260.56,255.14,258.44,2193805,5663.79,18007,1680335.0,76.59
23-03-2026 00:00,260.01,260.01,253.5,253.91,3035353,7737.25,38638,2188547.0,72.1
20-03-2026 00:00,263.0,263.1,260.26,260.69,1502201,3932.45,12160,801841.0,53.38
19-03-2026 00:00,266.79,266.79,259.2,260.22,3745483,9806.58,26639,2698687.0,72.05
18-03-2026 00:00,268.02,268.8,265.38,267.97,1020790,2734.23,14864,658332.0,64.49
17-03-2026 00:00,263.77,266.69,263.13,265.84,928559,2460.74,13036,561253.0,60.44
16-03-2026 00:00,261.66,264.72,258.81,263.77,1528674,3993.07,28257,884029.0,57.83
13-03-2026 00:00,266.56,266.56,260.58,261.28,3029983,7959.09,26809,2314733.0,76.39
12-03-2026 00:00,267.5,268.75,264.3,266.56,1767134,4716.64,18943,1272282.0,72.0
11-03-2026 00:00,280.36,280.36,268.8,269.26,1221052,3304.97,19684,1014367.0,83.07
10-03-2026 00:00,278.0,278.0,271.2,273.53,1098529,2997.04,17765,671400.0,61.12
09-03-2026 00:00,273.31,273.31,267.35,271.14,3097033,8333.63,37086,2432764.0,78.55
06-03-2026 00:00,276.13,279.07,275.26,275.74,1142626,3165.71,18370,757402.0,66.29
05-03-2026 00:00,276.21,279.94,276.21,278.9,1231933,3418.74,15075,697898.0,56.65
04-03-2026 00:00,279.3,279.3,274.06,275.85,1972869,5429.54,23917,1397234.0,70.82
02-03-2026 00:00,279.0,282.62,277.6,280.48,2643523,7401.73,41948,1947700.0,73.68
27-02-2026 00:00,287.23,287.57,283.58,284.15,849656,2422.14,16169,728435.0,85.73
26-02-2026 00:00,288.65,295.87,286.41,287.23,507508,1457.47,11208,284734.0,56.1
25-02-2026 00:00,288.28,288.7,286.5,287.25,410260,1180.0,12145,279770.0,68.19
24-02-2026 00:00,288.0,289.04,285.6,286.5,706699,2025.69,14181,485412.0,68.69
23-02-2026 00:00,288.19,290.3,288.14,289.05,486272,1405.46,27794,323215.0,66.47
20-02-2026 00:00,289.89,289.89,286.15,287.97,452021,1301.73,14835,289524.0,64.05
19-02-2026 00:00,290.87,298.14,286.3,287.25,836052,2413.12,15971,586443.0,70.14
18-02-2026 00:00,291.19,291.19,289.12,290.87,769086,2230.51,10967,512157.0,66.59
17-02-2026 00:00,289.5,290.42,287.74,290.03,490265,1420.13,12044,312694.0,63.78
16-02-2026 00:00,287.39,294.57,285.86,289.5,634545,1826.59,23788,419430.0,66.1
13-02-2026 00:00,289.61,289.61,287.0,287.39,944340,2719.93,13750,685745.0,72.62
12-02-2026 00:00,290.71,292.85,290.34,290.83,805555,2346.33,13307,656498.0,81.5
11-02-2026 00:00,293.7,293.7,291.81,292.53,430282,1258.06,11894,241986.0,56.24
10-02-2026 00:00,291.34,292.59,291.19,292.15,727694,2124.49,15416,434329.0,59.69
09-02-2026 00:00,292.0,292.48,290.32,291.19,602407,1753.11,26667,368467.0,61.17
06-02-2026 00:00,289.25,289.68,285.82,289.36,640310,1845.93,15217,369156.0,57.65
05-02-2026 00:00,289.97,290.56,288.23,288.82,530936,1533.88,11819,408126.0,76.87
04-02-2026 00:00,289.7,290.56,288.06,289.97,437924,1269.2,12228,259664.0,59.29
03-02-2026 00:00,293.16,298.86,288.0,289.59,2025266,5874.97,20684,1214616.0,59.97
02-02-2026 00:00,289.63,289.63,278.5,282.31,1249663,3503.42,17921,671622.0,53.74
01-02-2026 00:00,286.3,286.82,278.51,281.19,1066322,3016.86,25422,644282.0,60.42
30-01-2026 00:00,294.36,294.36,283.8,285.33,869205,2477.14,6632,650526.0,74.84
29-01-2026 00:00,282.0,286.19,282.0,285.79,461364,1313.21,8021,197368.0,42.78
28-01-2026 00:00,283.34,285.29,283.31,285.07,589957,1678.22,8923,294558.0,49.93
27-01-2026 00:00,283.41,284.29,281.05,283.29,1320192,3730.39,22110,874390.0,66.23
23-01-2026 00:00,286.55,286.55,282.16,282.49,935125,2651.26,12333,578255.0,61.84
22-01-2026 00:00,282.11,286.5,282.11,285.06,1174379,3344.04,14962,825233.0,70.27
21-01-2026 00:00,284.35,285.18,280.9,283.53,1055417,2991.29,17376,544167.0,51.56
20-01-2026 00:00,288.12,288.88,284.0,284.55,983283,2813.84,14589,621975.0,63.25
19-01-2026 00:00,291.21,291.21,287.26,288.12,751501,2163.14,20537,502779.0,66.9
16-01-2026 00:00,296.33,296.33,288.99,289.71,709323,2058.41,17865,348913.0,49.19
14-01-2026 00:00,290.53,290.53,288.24,289.11,946309,2739.85,13429,619609.0,65.48
13-01-2026 00:00,292.47,292.47,288.35,289.67,788960,2284.58,11048,497805.0,63.1
12-01-2026 00:00,289.33,290.75,286.99,290.47,1153557,3331.22,26902,745511.0,64.63
09-01-2026 00:00,298.7,298.7,288.69,289.33,987935,2865.38,14982,703420.0,71.2
08-01-2026 00:00,292.67,296.38,291.25,291.42,1048158,3064.34,14925,858323.0,81.89
07-01-2026 00:00,303.52,303.52,293.54,294.38,717203,2109.15,11940,552155.0,76.99
06-01-2026 00:00,304.14,304.14,294.2,294.68,1088310,3207.48,12655,881998.0,81.04
05-01-2026 00:00,296.93,296.93,294.76,295.28,814423,2408.2,18647,526716.0,64.67
02-01-2026 00:00,302.74,302.74,293.92,295.98,774806,2291.65,11398,587537.0,75.83
01-01-2026 00:00,294.84,294.84,293.55,293.92,404454,1189.78,12627,316181.0,78.17
31-12-2025 00:00,293.5,294.7,292.03,294.06,1084717,3189.58,13258,677053.0,62.42
30-12-2025 00:00,294.36,294.36,290.91,292.04,400329,1167.98,8291,344484.0,86.05
29-12-2025 00:00,292.23,294.08,291.31,291.74,1039570,3035.38,14766,749767.0,72.12
26-12-2025 00:00,294.0,294.0,292.71,293.01,338029,990.99,12397,249926.0,73.94
24-12-2025 00:00,293.26,295.73,293.26,294.03,363775,1070.75,6865,255647.0,70.28
23-12-2025 00:00,294.09,294.84,293.75,294.17,268393,790.09,7211,194164.0,72.34
22-12-2025 00:00,300.79,300.79,290.0,294.1,368598,1082.88,17616,254661.0,69.09
19-12-2025 00:00,288.5,292.09,288.5,292.03,340480,993.58,7768,200726.0,58.95
18-12-2025 00:00,290.6,291.29,289.5,290.32,440083,1277.5,8382,262963.0,59.75
17-12-2025 00:00,292.6,292.6,290.02,290.37,472396,1372.81,8292,297966.0,63.08
16-12-2025 00:00,292.8,293.4,291.01,291.19,735423,2144.42,8630,481521.0,65.48
15-12-2025 00:00,285.79,295.5,285.79,293.11,544147,1592.58,17634,403483.0,74.15
12-12-2025 00:00,298.81,298.81,288.53,293.12,460617,1348.55,8408,308235.0,66.92
11-12-2025 00:00,288.72,291.69,288.72,291.53,394775,1146.99,8800,213823.0,54.16
10-12-2025 00:00,291.7,292.02,289.81,290.05,774792,2252.85,10775,566130.0,73.07
09-12-2025 00:00,291.98,291.98,289.75,290.98,1370432,3985.94,13376,1020543.0,74.47
08-12-2025 00:00,303.77,303.77,291.51,292.25,930863,2728.89,23745,599575.0,64.41
05-12-2025 00:00,296.14,296.14,291.7,294.92,626839,1845.56,8649,473920.0,75.6
04-12-2025 00:00,293.26,293.54,291.8,293.14,963647,2821.64,11730,717659.0,74.47
03-12-2025 00:00,293.5,293.5,291.37,292.44,1515561,4425.77,13201,1163720.0,76.78
02-12-2025 00:00,297.89,297.89,292.79,293.06,983796,2887.37,9065,649634.0,66.03
01-12-2025 00:00,295.07,296.6,292.07,294.89,664459,1960.18,20702,411816.0,61.98
