datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,85.9,86.25,84.48,84.94,22750846,19347.1,49986,12223326.0,53.73
24-06-2026 00:00,85.26,86.76,84.0,85.7,36638678,31333.22,93364,19642717.0,53.61
23-06-2026 00:00,88.0,88.17,84.07,85.26,49914855,42794.18,91407,24404729.0,48.89
22-06-2026 00:00,88.85,89.1,87.76,88.19,17362832,15358.46,46795,8936141.0,51.47
19-06-2026 00:00,88.5,89.25,88.08,88.42,20685578,18335.13,53170,11888145.0,57.47
18-06-2026 00:00,88.09,89.17,87.92,88.53,14118728,12490.1,45149,6562085.0,46.48
17-06-2026 00:00,88.15,88.75,87.46,88.0,15439175,13597.77,55547,6756761.0,43.76
16-06-2026 00:00,88.47,88.85,87.09,88.09,23070064,20286.79,69998,11217772.0,48.62
15-06-2026 00:00,91.96,91.97,88.2,88.47,28942335,26025.18,83848,15154909.0,52.36
12-06-2026 00:00,90.0,91.3,89.62,90.93,17620294,15947.12,45518,7004779.0,39.75
11-06-2026 00:00,87.86,88.99,87.45,88.47,20240371,17877.3,60171,7794203.0,38.51
10-06-2026 00:00,90.0,90.25,87.91,88.45,29633090,26346.4,67315,11804640.0,39.84
09-06-2026 00:00,90.18,90.77,89.2,90.04,32876138,29556.2,64478,16639455.0,50.61
08-06-2026 00:00,91.15,92.01,89.01,89.59,25424714,23039.66,85054,10591488.0,41.66
05-06-2026 00:00,94.99,95.01,91.61,92.9,40684291,37846.63,101290,17991059.0,44.22
04-06-2026 00:00,95.81,97.35,94.34,94.7,30790125,29436.44,73424,11489522.0,37.32
03-06-2026 00:00,96.1,97.49,95.07,96.04,48441070,46621.21,105736,15515893.0,32.03
02-06-2026 00:00,92.79,97.24,92.3,95.31,102137637,97685.48,244905,24240181.0,23.73
01-06-2026 00:00,89.1,93.7,87.5,92.37,73822842,66950.05,130941,19901524.0,26.96
29-05-2026 00:00,93.0,93.05,87.39,87.99,50736815,45324.6,114880,31254027.0,61.6
27-05-2026 00:00,91.25,92.78,91.13,92.28,24144878,22238.64,65291,8461138.0,35.04
26-05-2026 00:00,90.5,91.06,89.58,90.67,17202008,15531.16,55918,6594723.0,38.34
25-05-2026 00:00,88.51,90.43,88.51,90.19,15033928,13489.18,43966,7516782.0,50.0
22-05-2026 00:00,88.49,88.49,87.29,87.85,15440319,13550.23,51743,8566654.0,55.48
21-05-2026 00:00,89.2,89.65,87.9,88.16,11605971,10293.62,45611,5553821.0,47.85
20-05-2026 00:00,88.5,89.24,86.69,88.48,18893927,16589.84,92008,7187454.0,38.04
19-05-2026 00:00,90.29,90.55,88.76,89.02,14073570,12589.02,45964,6722848.0,47.77
18-05-2026 00:00,90.87,90.87,88.28,90.14,14568803,13025.95,68891,5321903.0,36.53
15-05-2026 00:00,93.62,94.25,91.14,91.41,23322409,21612.11,74867,8485346.0,36.38
14-05-2026 00:00,92.0,93.78,91.63,93.21,39823561,36967.23,107187,13851849.0,34.78
13-05-2026 00:00,86.5,91.8,86.42,91.11,42008503,37859.0,112945,19122127.0,45.52
12-05-2026 00:00,86.62,88.47,86.38,86.62,14380728,12551.5,58930,6640651.0,46.18
