datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,416.3,418.45,404.1,406.8,6484082,26576.11,69427,3501836.0,54.01
24-06-2026 00:00,416.4,419.25,413.2,418.05,3290379,13726.07,30070,1610742.0,48.95
23-06-2026 00:00,422.55,422.7,414.2,416.35,3498544,14588.73,31918,1931997.0,55.22
22-06-2026 00:00,422.5,425.0,416.6,422.55,2611490,10972.5,35184,1024894.0,39.25
19-06-2026 00:00,420.5,420.55,415.6,418.15,2283403,9545.2,28695,1232698.0,53.99
18-06-2026 00:00,416.9,422.8,414.45,420.6,3552710,14893.89,37068,1898158.0,53.43
17-06-2026 00:00,419.0,419.6,412.5,417.05,2796268,11622.48,47265,983965.0,35.19
16-06-2026 00:00,416.65,421.85,414.7,419.65,2109450,8845.57,35894,982616.0,46.58
15-06-2026 00:00,418.8,419.8,410.5,417.2,4886356,20351.06,81907,1970529.0,40.33
12-06-2026 00:00,426.85,426.95,414.5,417.8,6568325,27517.57,74206,2415547.0,36.78
11-06-2026 00:00,429.65,438.0,426.15,429.35,9429122,40644.87,104343,2992217.0,31.73
10-06-2026 00:00,467.0,467.6,422.55,427.35,18169302,79995.53,161564,7157943.0,39.4
09-06-2026 00:00,483.0,483.45,469.15,475.95,2629524,12485.93,26134,1168134.0,44.42
08-06-2026 00:00,484.95,493.7,478.45,481.0,4230036,20604.75,51598,975378.0,23.06
05-06-2026 00:00,491.8,494.95,482.0,483.35,2550336,12409.8,52908,1281344.0,50.24
04-06-2026 00:00,489.05,492.9,487.5,488.9,1691179,8283.87,24580,936506.0,55.38
03-06-2026 00:00,487.35,495.4,485.8,490.95,3895881,19157.94,51862,1452389.0,37.28
02-06-2026 00:00,482.0,489.5,476.9,484.1,3518603,17020.3,40872,2182350.0,62.02
01-06-2026 00:00,479.75,484.95,476.25,482.75,2081113,10008.25,36862,993232.0,47.73
29-05-2026 00:00,487.55,487.65,472.3,476.15,9869236,47063.77,52144,6734573.0,68.24
27-05-2026 00:00,491.3,491.3,484.5,488.0,1177761,5740.24,17632,475410.0,40.37
26-05-2026 00:00,484.9,496.45,483.2,492.1,3000663,14759.4,35621,1188412.0,39.6
25-05-2026 00:00,492.5,493.9,481.0,482.55,3887162,18910.0,49332,1832835.0,47.15
22-05-2026 00:00,503.0,507.0,498.4,499.75,1951342,9787.82,20650,987238.0,50.59
21-05-2026 00:00,502.0,507.0,499.3,503.5,2749706,13846.76,41555,1845096.0,67.1
20-05-2026 00:00,502.6,511.95,498.75,504.4,2349833,11886.74,39297,692007.0,29.45
19-05-2026 00:00,504.0,507.95,500.8,501.7,1657578,8339.68,34370,779826.0,47.05
18-05-2026 00:00,519.8,520.55,504.45,506.05,3375155,17242.75,51896,1590666.0,47.13
15-05-2026 00:00,524.0,525.0,513.7,518.3,3826324,19861.92,58293,1652808.0,43.2
14-05-2026 00:00,525.4,531.0,514.6,517.55,15476909,80788.19,179377,4577884.0,29.58
13-05-2026 00:00,493.45,511.45,491.0,507.1,10297489,51825.96,126997,2708382.0,26.3
12-05-2026 00:00,472.0,499.4,471.65,490.95,31731906,155541.47,267225,7964594.0,25.1
11-05-2026 00:00,457.0,460.75,454.0,456.0,2727627,12483.66,30234,805918.0,29.55
08-05-2026 00:00,455.05,456.8,451.7,454.2,2276506,10338.37,24456,998195.0,43.85
07-05-2026 00:00,454.0,457.15,450.5,452.85,6169301,28026.53,70242,3381604.0,54.81
06-05-2026 00:00,473.4,476.45,448.15,450.25,9679898,44416.51,121388,5109649.0,52.79
05-05-2026 00:00,479.95,482.4,463.7,476.5,4775898,22577.73,66158,1702892.0,35.66
04-05-2026 00:00,487.0,490.8,472.6,475.1,6718867,32099.24,80966,3163171.0,47.08
30-04-2026 00:00,502.05,504.0,485.4,490.8,4736274,23274.86,52771,1552668.0,32.78
29-04-2026 00:00,500.0,504.3,491.3,492.85,4351303,21667.59,53372,1361251.0,31.28
28-04-2026 00:00,479.8,501.0,478.3,497.2,10897762,53827.84,95681,4212078.0,38.65
27-04-2026 00:00,475.0,478.45,470.55,476.2,2981521,14148.83,27087,1254075.0,42.06
24-04-2026 00:00,477.0,485.9,470.0,473.7,5542670,26532.8,61394,1872019.0,33.77
23-04-2026 00:00,472.95,481.85,470.3,473.9,4874766,23168.83,45184,1885283.0,38.67
22-04-2026 00:00,468.0,470.65,463.05,469.75,5819012,27130.1,53852,3416233.0,58.71
21-04-2026 00:00,473.9,473.9,464.0,465.15,2658587,12417.12,27709,1483889.0,55.81
20-04-2026 00:00,473.4,475.0,466.85,471.7,3431487,16191.39,33557,1885952.0,54.96
17-04-2026 00:00,464.1,471.25,462.1,470.1,3551921,16601.19,29255,1869528.0,52.63
16-04-2026 00:00,465.85,466.9,461.15,462.4,3612628,16729.41,32829,1292948.0,35.79
15-04-2026 00:00,472.95,473.7,461.5,463.25,7533552,34995.0,56083,3423661.0,45.45
13-04-2026 00:00,475.0,481.95,467.25,477.15,7253346,34501.65,62215,1646540.0,22.7
10-04-2026 00:00,471.95,475.0,467.35,471.3,2352183,11087.56,36919,831346.0,35.34
09-04-2026 00:00,459.0,472.0,456.4,470.75,10892953,50470.44,72325,5344020.0,49.06
08-04-2026 00:00,476.05,476.85,457.5,458.95,16422905,76118.63,158802,8897101.0,54.17
07-04-2026 00:00,472.65,489.0,468.0,481.9,6217264,29965.25,72515,2240150.0,36.03
06-04-2026 00:00,481.15,484.85,470.05,472.2,3159564,15073.13,41197,1314703.0,41.61
02-04-2026 00:00,478.0,483.0,463.2,480.15,5921901,28047.18,66160,1504301.0,25.4
01-04-2026 00:00,480.0,482.3,471.8,473.4,3482577,16562.41,41570,1198818.0,34.42
30-03-2026 00:00,478.0,492.5,470.0,475.45,6521652,31539.34,75016,1804050.0,27.66
27-03-2026 00:00,473.7,490.0,462.05,478.0,9323712,44457.98,104480,2598952.0,27.87
25-03-2026 00:00,476.75,477.0,467.15,471.4,4996363,23570.28,54595,1897737.0,37.98
24-03-2026 00:00,461.85,485.6,461.15,477.95,3724100,17717.4,41177,1139447.0,30.6
23-03-2026 00:00,475.75,480.6,462.85,464.65,3239580,15221.78,40061,1054176.0,32.54
20-03-2026 00:00,476.0,485.9,472.0,475.5,4106460,19644.54,42453,1732071.0,42.18
19-03-2026 00:00,471.95,483.0,465.4,477.05,7842725,37351.25,73341,1396893.0,17.81
18-03-2026 00:00,474.6,476.55,465.8,470.45,2642495,12428.27,42556,1083368.0,41.0
17-03-2026 00:00,460.3,475.0,456.4,473.75,3362643,15760.11,40697,1138699.0,33.86
16-03-2026 00:00,471.0,473.7,454.4,460.1,4235090,19537.89,52908,1776341.0,41.94
13-03-2026 00:00,481.0,483.35,467.35,470.55,4296456,20377.98,59391,1636326.0,38.09
