datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,240.8,240.8,232.1,233.1,36085563,84918.21,277040,24090724.0,66.76
24-06-2026 00:00,244.35,245.8,239.5,240.0,10278033,24840.77,77138,5704712.0,55.5
23-06-2026 00:00,245.4,246.2,243.55,244.35,7400255,18121.07,63027,4132486.0,55.84
22-06-2026 00:00,244.95,247.75,243.8,245.45,7334095,18034.82,81103,3522439.0,48.03
19-06-2026 00:00,245.3,246.7,243.3,246.25,7609532,18652.27,66961,4258180.0,55.96
18-06-2026 00:00,245.95,246.85,243.0,245.3,13816485,33810.73,77693,8274052.0,59.89
17-06-2026 00:00,246.0,247.75,244.0,245.0,12816262,31447.83,88956,6595382.0,51.46
16-06-2026 00:00,244.15,248.8,243.5,248.2,17468010,43065.35,118010,10758929.0,61.59
15-06-2026 00:00,248.05,248.3,242.8,243.65,25211118,61584.14,156431,15526574.0,61.59
12-06-2026 00:00,250.3,250.85,243.35,246.2,31112657,76471.69,159198,16224897.0,52.15
11-06-2026 00:00,252.95,256.5,250.05,252.6,13516341,34232.1,103992,5589002.0,41.35
10-06-2026 00:00,259.0,261.85,251.35,251.9,10176332,26033.97,86004,3885974.0,38.19
09-06-2026 00:00,264.15,265.5,258.3,259.0,10796349,28185.37,97690,5583848.0,51.72
08-06-2026 00:00,264.15,266.25,262.7,264.65,6974540,18456.57,79314,3314899.0,47.53
05-06-2026 00:00,267.8,268.45,263.7,264.75,7493239,19864.78,59130,4265798.0,56.93
04-06-2026 00:00,266.7,271.15,265.9,267.55,15217360,40700.97,63353,8862169.0,58.24
03-06-2026 00:00,265.15,268.7,264.3,267.75,14618721,39037.34,77949,7412658.0,50.71
02-06-2026 00:00,263.15,266.2,261.05,265.05,16831714,44434.93,108455,9466722.0,56.24
01-06-2026 00:00,266.55,268.3,263.25,264.3,9095622,24064.99,68796,4946802.0,54.39
29-05-2026 00:00,275.95,276.05,261.55,265.4,74403401,198217.41,200611,51989539.0,69.88
27-05-2026 00:00,284.2,284.2,272.45,274.05,29178516,80780.93,196532,14288740.0,48.97
26-05-2026 00:00,285.1,289.65,284.0,287.5,10629491,30542.38,86988,4647813.0,43.73
25-05-2026 00:00,289.95,289.95,284.3,284.95,12837047,36692.1,73726,5236503.0,40.79
22-05-2026 00:00,295.8,296.8,289.4,290.0,11563330,33710.96,66416,6924850.0,59.89
21-05-2026 00:00,296.65,299.6,294.15,295.85,14084672,41724.55,78644,8638635.0,61.33
20-05-2026 00:00,294.8,301.75,293.85,298.3,12258794,36652.54,107478,5651742.0,46.1
19-05-2026 00:00,295.1,298.5,293.65,296.5,9565497,28350.33,101853,4954086.0,51.79
18-05-2026 00:00,299.35,300.7,295.1,297.2,10521642,31287.13,97090,5540742.0,52.66
15-05-2026 00:00,303.0,304.95,298.55,299.35,13695307,41169.08,95233,7477833.0,54.6
14-05-2026 00:00,300.0,303.7,298.7,300.9,22660293,68385.89,140849,12545102.0,55.36
13-05-2026 00:00,297.0,300.2,294.1,297.15,24381295,72448.67,294457,12439592.0,51.02
12-05-2026 00:00,286.9,299.9,286.85,294.5,52080828,154014.31,429134,13961700.0,26.81
11-05-2026 00:00,280.7,281.8,277.65,281.0,6948202,19460.32,80693,2456936.0,35.36
08-05-2026 00:00,283.6,284.0,278.6,279.2,9290168,26041.41,73595,4504834.0,48.49
07-05-2026 00:00,282.0,285.2,279.7,283.9,15608370,44234.23,144696,8165266.0,52.31
06-05-2026 00:00,289.95,290.25,280.0,280.8,22858013,64871.85,137409,13304586.0,58.21
05-05-2026 00:00,294.35,295.9,287.0,289.95,10750753,31189.25,106178,3815846.0,35.49
04-05-2026 00:00,298.4,299.9,292.35,292.9,15468437,45480.86,140563,9150497.0,59.16
30-04-2026 00:00,304.9,307.45,296.9,299.55,17490096,52616.4,114645,7356474.0,42.06
29-04-2026 00:00,303.9,307.5,299.75,301.4,27267649,82890.38,133071,13044787.0,47.84
28-04-2026 00:00,286.25,302.4,286.0,301.3,51575179,153153.01,266487,26753437.0,51.87
27-04-2026 00:00,286.0,286.7,284.2,285.9,6497916,18549.5,69566,3695722.0,56.88
24-04-2026 00:00,288.8,288.8,283.9,284.8,11789941,33731.99,88597,6557805.0,55.62
23-04-2026 00:00,284.85,289.8,284.05,286.25,13525025,38773.63,80322,6399615.0,47.32
22-04-2026 00:00,283.1,285.05,282.6,283.65,7395183,20971.9,60605,3988361.0,53.93
21-04-2026 00:00,283.15,284.85,282.4,283.1,13645673,38673.77,74662,9496283.0,69.59
20-04-2026 00:00,284.0,285.2,282.5,283.35,11057036,31383.53,81811,6944739.0,62.81
17-04-2026 00:00,283.4,285.5,282.2,284.05,17846605,50686.07,74850,11880902.0,66.57
16-04-2026 00:00,288.0,288.1,282.0,282.75,13626398,38708.51,86804,6808493.0,49.97
15-04-2026 00:00,284.05,289.8,283.35,287.6,16529148,47524.6,122177,8002627.0,48.42
13-04-2026 00:00,287.2,290.3,281.0,287.55,23986567,68560.71,144104,5675269.0,23.66
10-04-2026 00:00,288.6,291.85,284.55,286.5,12889209,37136.69,100435,5642038.0,43.77
09-04-2026 00:00,284.9,289.8,284.9,288.6,13585661,39149.36,99343,5630807.0,41.45
08-04-2026 00:00,280.0,287.85,274.75,285.5,42071040,118233.69,246322,16785519.0,39.9
07-04-2026 00:00,281.85,287.55,280.0,286.65,22891122,65320.45,129686,10657834.0,46.56
06-04-2026 00:00,287.3,288.5,280.45,281.85,24449779,69140.84,154053,12744615.0,52.13
02-04-2026 00:00,288.5,288.8,283.5,287.2,20935809,59868.23,131728,9623341.0,45.97
01-04-2026 00:00,290.0,293.0,282.8,288.05,31626297,91175.86,189679,15038216.0,47.55
30-03-2026 00:00,282.75,288.35,281.95,284.65,44866906,128149.04,271255,18030219.0,40.19
27-03-2026 00:00,270.5,285.0,269.7,281.95,60048871,168420.88,380215,21445042.0,35.71
25-03-2026 00:00,267.35,271.5,266.4,270.2,13380625,36097.46,111925,8541599.0,63.84
24-03-2026 00:00,268.55,273.3,266.85,268.05,18567283,50143.14,140733,8348299.0,44.96
23-03-2026 00:00,267.3,269.7,263.9,265.45,23991581,64015.73,181852,8380056.0,34.93
20-03-2026 00:00,269.0,273.05,264.0,265.4,19436124,52066.19,149956,9944872.0,51.17
19-03-2026 00:00,265.0,271.5,262.5,269.1,28685305,77053.73,192492,8903046.0,31.04
18-03-2026 00:00,265.15,266.65,263.0,265.0,8780857,23250.59,79493,4415366.0,50.28
17-03-2026 00:00,260.65,265.4,259.15,264.75,15662659,41048.52,217323,8009070.0,51.13
16-03-2026 00:00,264.05,266.0,258.35,260.45,21725887,56691.99,130681,10939101.0,50.35
13-03-2026 00:00,270.55,271.3,263.45,264.1,18411729,48916.7,115374,11017456.0,59.84
12-03-2026 00:00,271.6,273.0,267.75,270.55,20059801,54285.08,201578,9227301.0,46.0
11-03-2026 00:00,268.0,272.4,268.0,270.75,16130216,43698.57,327726,8655622.0,53.66
10-03-2026 00:00,270.85,270.9,265.35,269.2,18476370,49632.97,172911,8341388.0,45.15
09-03-2026 00:00,289.0,289.0,267.6,270.8,56512457,155389.37,487759,23037906.0,40.77
06-03-2026 00:00,279.95,280.95,271.15,278.95,30725344,85123.8,183148,12828189.0,41.75
05-03-2026 00:00,278.0,287.65,275.35,276.35,40569479,114337.01,373121,17303699.0,42.65
04-03-2026 00:00,287.0,288.35,275.1,276.95,53722773,151029.71,384825,28205309.0,52.5
02-03-2026 00:00,288.0,293.0,277.65,282.2,65843426,186195.02,636194,25018065.0,38.0
27-02-2026 00:00,278.5,282.5,277.0,279.7,18554482,52019.94,104599,10236545.0,55.17
26-02-2026 00:00,277.4,281.05,275.6,280.1,13301761,37052.85,170193,8077496.0,60.73
25-02-2026 00:00,276.5,278.95,274.0,277.45,7573116,20955.73,140253,3498880.0,46.2
24-02-2026 00:00,275.65,278.15,273.3,276.5,16311581,44952.56,171159,8250819.0,50.58
23-02-2026 00:00,279.9,279.9,272.2,275.65,13113050,35916.97,115401,6003737.0,45.78
20-02-2026 00:00,277.4,280.8,274.35,278.65,31971956,88872.08,191769,13992510.0,43.76
19-02-2026 00:00,270.3,276.45,267.85,274.65,37728943,102833.33,407485,16339900.0,43.31
18-02-2026 00:00,265.0,266.1,262.55,264.6,11621040,30693.38,208148,6100437.0,52.49
17-02-2026 00:00,273.0,273.0,268.1,271.85,21292868,57613.94,262323,13913965.0,65.35
16-02-2026 00:00,267.65,272.2,265.65,271.55,13247757,35888.09,186392,6934377.0,52.34
13-02-2026 00:00,270.0,271.35,266.0,267.4,20748628,55623.34,256384,12011351.0,57.89
12-02-2026 00:00,276.0,280.3,273.45,276.35,22753270,62984.89,202920,9223711.0,40.54
