datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,253.8,254.9,248.1,248.95,85852,214.8,2257,38204.0,44.5
24-06-2026 00:00,252.0,254.85,248.8,251.9,68812,173.05,2233,26840.0,39.0
23-06-2026 00:00,260.75,260.75,250.0,251.0,134819,341.75,3202,62057.0,46.03
22-06-2026 00:00,254.7,260.95,254.05,257.25,82414,212.56,2226,38132.0,46.27
19-06-2026 00:00,258.2,258.35,252.3,254.7,101319,258.08,3222,40394.0,39.87
18-06-2026 00:00,260.0,264.8,256.2,258.2,128653,332.82,2698,65434.0,50.86
17-06-2026 00:00,262.0,265.8,260.0,260.7,82993,217.5,2232,32077.0,38.65
16-06-2026 00:00,262.0,263.0,257.8,261.25,95451,248.56,2419,40658.0,42.6
15-06-2026 00:00,257.0,263.5,257.0,259.75,130608,340.64,3130,50278.0,38.5
12-06-2026 00:00,246.9,254.9,246.9,253.35,73002,183.29,2135,30996.0,42.46
11-06-2026 00:00,249.0,249.0,242.1,245.1,91841,224.37,3165,34425.0,37.48
10-06-2026 00:00,255.1,256.95,248.0,249.15,97985,246.22,2608,51013.0,52.06
09-06-2026 00:00,254.85,258.95,250.0,255.35,171496,433.34,3731,69222.0,40.36
08-06-2026 00:00,261.9,261.9,253.35,254.85,120727,310.86,3319,53836.0,44.59
05-06-2026 00:00,264.0,268.7,261.5,263.05,82468,217.5,2082,39211.0,47.55
04-06-2026 00:00,261.25,268.95,261.25,263.75,116562,308.87,3244,55161.0,47.32
03-06-2026 00:00,268.95,269.2,263.1,265.35,93783,248.79,2750,41105.0,43.83
02-06-2026 00:00,266.2,273.8,264.2,269.25,155734,420.84,3893,52894.0,33.96
01-06-2026 00:00,264.1,272.0,264.0,265.7,153654,412.22,4021,64803.0,42.17
29-05-2026 00:00,267.25,271.9,265.0,266.75,368436,988.83,8304,186175.0,50.53
27-05-2026 00:00,287.0,290.8,280.2,282.75,179718,512.67,4799,66818.0,37.18
26-05-2026 00:00,279.8,296.0,277.55,286.5,300757,863.7,8206,94745.0,31.5
25-05-2026 00:00,278.0,282.5,275.0,278.35,161628,451.15,4273,76074.0,47.07
22-05-2026 00:00,274.0,281.7,266.7,272.8,169820,464.78,5537,60844.0,35.83
21-05-2026 00:00,274.8,276.9,270.6,271.95,112796,309.3,3711,48890.0,43.34
20-05-2026 00:00,265.0,271.65,262.8,269.85,106824,287.18,3049,29458.0,27.58
19-05-2026 00:00,264.15,275.4,264.15,267.7,178864,484.38,7842,53253.0,29.77
18-05-2026 00:00,274.05,274.05,260.5,265.05,213028,563.31,7032,91161.0,42.79
15-05-2026 00:00,272.0,280.0,272.0,275.7,209795,576.45,6078,78438.0,37.39
14-05-2026 00:00,282.95,284.95,270.5,272.55,240753,661.08,6578,109633.0,45.54
13-05-2026 00:00,284.0,288.25,278.3,280.7,224681,636.07,5983,75663.0,33.68
12-05-2026 00:00,307.55,307.55,281.1,284.0,364737,1063.09,8337,167704.0,45.98
11-05-2026 00:00,315.8,315.8,305.15,307.6,293457,907.77,7007,107182.0,36.52
08-05-2026 00:00,318.95,322.85,311.2,316.65,677435,2147.52,11591,217451.0,32.1
07-05-2026 00:00,293.0,332.8,290.95,311.85,3933310,12490.38,53480,549338.0,13.97
06-05-2026 00:00,275.9,286.9,275.9,284.95,245973,692.04,5754,112012.0,45.54
05-05-2026 00:00,273.0,281.7,270.3,273.65,136853,375.6,4143,37927.0,27.71
04-05-2026 00:00,277.05,277.9,272.0,273.2,114144,312.85,2806,37253.0,32.64
30-04-2026 00:00,277.31,284.89,271.0,272.98,211927,584.3,5442,82784.0,39.06
29-04-2026 00:00,283.55,285.32,274.31,275.12,120435,336.34,3123,57912.0,48.09
28-04-2026 00:00,286.26,289.95,280.0,281.32,114112,323.81,2986,48085.0,42.14
27-04-2026 00:00,282.74,287.99,278.2,286.26,123278,350.12,3811,53635.0,43.51
24-04-2026 00:00,279.99,284.92,271.8,278.2,341750,951.31,7316,124721.0,36.49
23-04-2026 00:00,286.77,290.22,276.9,278.02,170856,481.86,3558,84781.0,49.62
22-04-2026 00:00,287.0,291.82,286.0,287.85,118857,343.13,3494,39946.0,33.61
21-04-2026 00:00,287.0,292.0,286.0,289.09,117966,341.83,3747,41274.0,34.99
20-04-2026 00:00,295.0,296.49,285.05,287.3,189364,548.2,5850,77588.0,40.97
17-04-2026 00:00,286.61,297.96,284.5,294.77,340160,988.69,7287,155135.0,45.61
16-04-2026 00:00,285.46,293.36,282.08,285.2,331461,951.98,7796,105256.0,31.76
15-04-2026 00:00,280.3,287.97,276.21,284.17,289834,819.86,7648,115991.0,40.02
13-04-2026 00:00,267.39,279.31,258.61,273.41,280504,764.18,8427,102959.0,36.71
10-04-2026 00:00,273.91,278.0,271.0,274.58,213111,585.05,5079,65226.0,30.61
09-04-2026 00:00,273.99,278.0,265.0,268.84,263225,709.65,6019,92039.0,34.97
08-04-2026 00:00,270.3,274.45,265.7,271.64,401923,1085.94,7282,157242.0,39.12
07-04-2026 00:00,254.4,260.98,252.54,254.58,229048,587.15,5590,81705.0,35.67
06-04-2026 00:00,254.89,257.0,248.62,254.3,251501,636.81,9643,62561.0,24.88
02-04-2026 00:00,250.0,258.88,242.77,254.06,380380,950.16,12615,69081.0,18.16
01-04-2026 00:00,248.99,262.4,234.57,255.55,1778488,4502.53,37447,141088.0,7.93
30-03-2026 00:00,236.25,242.65,220.8,224.0,369366,855.01,9847,143440.0,38.83
27-03-2026 00:00,258.9,258.9,238.75,240.25,363295,895.08,8884,163357.0,44.97
25-03-2026 00:00,254.0,261.75,252.3,258.25,220153,569.11,4474,91014.0,41.34
24-03-2026 00:00,259.95,259.95,248.65,250.35,219799,557.46,4792,78468.0,35.7
23-03-2026 00:00,258.1,262.8,246.45,247.85,218273,550.2,6497,86876.0,39.8
20-03-2026 00:00,264.85,272.9,260.8,262.95,216711,577.27,5501,57768.0,26.66
19-03-2026 00:00,262.2,273.35,261.6,263.6,205377,547.54,5336,73485.0,35.78
18-03-2026 00:00,267.5,273.95,264.7,269.55,270419,730.5,6216,69117.0,25.56
17-03-2026 00:00,265.75,268.0,260.5,263.55,153418,404.63,4182,46710.0,30.45
16-03-2026 00:00,276.65,276.65,257.6,264.15,318617,838.84,8534,81734.0,25.65
13-03-2026 00:00,260.0,287.7,260.0,272.55,1651950,4529.4,37531,135264.0,8.19
12-03-2026 00:00,265.8,270.45,260.5,263.35,217412,574.43,4882,83577.0,38.44
11-03-2026 00:00,272.95,276.6,266.15,268.95,188653,511.75,4847,66040.0,35.01
10-03-2026 00:00,268.0,272.65,260.9,270.25,273344,725.74,7022,83892.0,30.69
09-03-2026 00:00,260.1,263.95,254.0,258.95,234830,604.35,8105,76749.0,32.68
06-03-2026 00:00,267.65,274.0,265.55,269.8,353292,954.95,7193,117978.0,33.39
05-03-2026 00:00,275.0,278.95,256.8,267.55,542502,1443.04,13029,172846.0,31.86
04-03-2026 00:00,275.75,280.05,267.25,269.55,572143,1556.16,11833,214173.0,37.43
02-03-2026 00:00,285.2,292.4,282.0,285.8,332317,952.44,9107,126001.0,37.92
27-02-2026 00:00,301.25,307.4,295.5,297.0,254455,763.56,5998,105045.0,41.28
26-02-2026 00:00,300.0,310.0,299.5,305.85,299368,908.21,6037,80192.0,26.79
25-02-2026 00:00,303.85,306.3,298.2,298.75,216332,651.45,5030,80586.0,37.25
24-02-2026 00:00,306.0,306.0,298.05,303.2,264681,799.82,6536,67546.0,25.52
23-02-2026 00:00,315.0,315.0,303.45,306.15,316053,970.5,7810,70112.0,22.18
20-02-2026 00:00,320.0,320.0,308.0,311.6,345979,1086.27,8978,81208.0,23.47
19-02-2026 00:00,322.3,334.1,316.25,322.2,1106531,3578.89,23228,153639.0,13.88
18-02-2026 00:00,295.0,327.65,288.65,316.85,2346025,7386.92,50818,280077.0,11.94
17-02-2026 00:00,300.0,307.95,292.0,293.75,769686,2301.24,15944,183174.0,23.8
16-02-2026 00:00,293.0,306.8,286.0,295.75,1588184,4758.42,30843,416794.0,26.24
13-02-2026 00:00,332.0,339.0,326.6,335.35,353058,1182.03,8885,116431.0,32.98
12-02-2026 00:00,348.1,348.55,333.0,335.15,268281,907.33,6588,107113.0,39.93
11-02-2026 00:00,350.15,351.7,342.8,345.35,255792,886.76,5708,102054.0,39.9
10-02-2026 00:00,357.3,364.0,347.85,350.15,306026,1087.09,7703,101814.0,33.27
09-02-2026 00:00,337.95,360.0,337.0,356.8,735636,2587.32,15191,229644.0,31.22
06-02-2026 00:00,334.5,338.55,327.1,335.75,306570,1021.11,7169,66341.0,21.64
05-02-2026 00:00,343.5,345.0,334.35,336.15,241015,813.62,5370,83091.0,34.48
04-02-2026 00:00,342.5,348.65,337.5,343.5,382568,1314.8,7222,126447.0,33.05
03-02-2026 00:00,358.05,359.0,340.15,343.85,564236,1965.57,11185,185807.0,32.93
02-02-2026 00:00,351.0,353.8,330.0,342.05,831343,2848.69,18647,169744.0,20.42
01-02-2026 00:00,327.2,361.65,323.6,349.7,945332,3270.56,18930,198791.0,21.03
30-01-2026 00:00,323.0,333.95,318.15,328.8,503382,1647.19,8988,86229.0,17.13
29-01-2026 00:00,333.0,337.85,321.0,322.7,463000,1514.0,8224,147246.0,31.8
28-01-2026 00:00,328.0,335.9,328.0,333.5,342517,1133.33,5625,92818.0,27.1
27-01-2026 00:00,326.6,334.55,320.8,325.2,710847,2325.84,13938,142917.0,20.11
23-01-2026 00:00,338.05,339.65,325.05,326.6,343113,1135.22,7090,113945.0,33.21
22-01-2026 00:00,342.4,351.95,335.1,338.9,595342,2045.04,11228,90642.0,15.23
21-01-2026 00:00,340.3,349.35,330.3,340.25,957146,3250.02,13801,148002.0,15.46
20-01-2026 00:00,355.05,359.9,339.0,341.7,846006,2952.45,12072,151353.0,17.89
19-01-2026 00:00,370.0,375.95,352.2,356.6,820721,2979.74,11633,130999.0,15.96
16-01-2026 00:00,370.0,381.0,365.2,368.75,1252360,4676.87,14898,182223.0,14.55
14-01-2026 00:00,371.6,379.5,365.75,368.5,1700434,6336.71,18395,216801.0,12.75
13-01-2026 00:00,382.05,393.95,360.3,373.45,4401423,16704.24,56597,345341.0,7.85
