datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,4507.3,4530.0,4445.1,4460.7,16342,732.29,3441,8475.0,51.86
24-06-2026 00:00,4513.9,4539.6,4495.2,4507.2,12825,579.26,3811,6106.0,47.61
23-06-2026 00:00,4489.9,4569.7,4471.9,4497.0,30897,1395.04,10060,14120.0,45.7
22-06-2026 00:00,4533.7,4566.5,4431.0,4463.3,58116,2602.46,12890,34998.0,60.22
19-06-2026 00:00,4528.0,4560.0,4503.0,4533.7,20700,937.7,5118,10406.0,50.27
18-06-2026 00:00,4506.5,4548.9,4501.6,4539.3,20496,927.76,4083,11686.0,57.02
17-06-2026 00:00,4505.0,4544.7,4480.0,4493.5,15078,679.8,4553,8255.0,54.75
16-06-2026 00:00,4548.0,4554.0,4481.6,4503.1,18797,847.74,4697,10046.0,53.44
15-06-2026 00:00,4548.9,4577.9,4511.0,4518.0,13432,609.57,5185,7548.0,56.19
12-06-2026 00:00,4555.0,4578.1,4501.0,4509.2,16661,753.54,3370,9063.0,54.4
11-06-2026 00:00,4537.8,4610.2,4445.0,4572.9,40742,1844.39,13519,18118.0,44.47
10-06-2026 00:00,4600.0,4600.0,4527.5,4537.8,13983,636.5,4126,6586.0,47.1
09-06-2026 00:00,4527.9,4648.9,4510.0,4592.5,21357,977.66,5648,9505.0,44.51
08-06-2026 00:00,4459.4,4708.1,4450.0,4527.9,208702,9602.17,34264,24167.0,11.58
05-06-2026 00:00,4444.5,4478.4,4396.7,4456.3,28646,1272.17,5225,19319.0,67.44
04-06-2026 00:00,4470.9,4498.0,4415.0,4422.4,22580,1003.74,3892,15706.0,69.56
03-06-2026 00:00,4501.6,4510.4,4449.2,4465.5,18017,806.85,3686,12422.0,68.95
02-06-2026 00:00,4515.2,4545.0,4480.0,4514.5,11328,512.06,2895,6666.0,58.85
01-06-2026 00:00,4580.0,4598.0,4500.1,4515.3,17966,814.8,4204,9297.0,51.75
29-05-2026 00:00,4622.6,4671.7,4570.0,4598.5,16273,751.99,3815,11250.0,69.13
27-05-2026 00:00,4669.0,4689.2,4610.9,4622.6,12918,599.51,2858,6992.0,54.13
26-05-2026 00:00,4699.0,4700.0,4626.0,4641.8,13609,632.11,4712,8492.0,62.4
25-05-2026 00:00,4689.9,4720.0,4658.3,4689.2,11559,541.76,3038,5583.0,48.3
22-05-2026 00:00,4689.9,4755.0,4638.8,4670.8,20733,969.36,4438,13309.0,64.19
21-05-2026 00:00,4748.0,4748.0,4609.8,4651.3,28668,1332.01,6423,14728.0,51.37
20-05-2026 00:00,4808.9,4816.2,4656.0,4687.6,36554,1713.81,7966,17894.0,48.95
19-05-2026 00:00,4894.0,4924.0,4760.0,4785.4,18413,883.95,4643,9390.0,51.0
18-05-2026 00:00,4969.0,5035.4,4813.9,4859.3,43148,2116.73,10468,12334.0,28.59
15-05-2026 00:00,4689.0,5004.9,4602.0,4954.7,96077,4649.66,18851,41187.0,42.87
14-05-2026 00:00,4669.3,4710.0,4552.0,4681.1,20294,939.2,5679,10586.0,52.16
13-05-2026 00:00,4651.7,4750.0,4521.0,4613.5,33132,1535.05,6033,16422.0,49.57
12-05-2026 00:00,4852.6,4900.0,4705.1,4725.9,23483,1123.05,5828,11263.0,47.96
11-05-2026 00:00,4895.3,4905.0,4790.8,4875.4,23896,1162.83,6924,12698.0,53.14
08-05-2026 00:00,4772.2,4850.0,4756.3,4818.8,17742,855.63,4669,9111.0,51.35
07-05-2026 00:00,4790.0,4802.3,4717.0,4750.6,13600,646.77,4236,7608.0,55.94
06-05-2026 00:00,4747.2,4797.0,4736.0,4783.2,13243,633.04,5356,7178.0,54.2
05-05-2026 00:00,4679.0,4734.0,4658.2,4698.0,12930,607.38,4061,6678.0,51.65
04-05-2026 00:00,4701.1,4780.6,4660.0,4679.0,18924,889.01,5693,11759.0,62.14
30-04-2026 00:00,4752.0,4789.0,4700.0,4710.6,7333,346.02,2573,3865.0,52.71
29-04-2026 00:00,4825.0,4825.0,4752.0,4763.0,7599,363.14,1992,4966.0,65.35
28-04-2026 00:00,4810.0,4838.7,4774.7,4820.1,17537,844.85,4606,10762.0,61.37
27-04-2026 00:00,4764.0,4840.0,4752.0,4791.4,13125,627.74,3728,7076.0,53.91
24-04-2026 00:00,4783.2,4811.0,4648.0,4733.2,54923,2585.73,8461,24661.0,44.9
23-04-2026 00:00,4764.1,4824.4,4740.0,4783.2,11254,538.62,4251,5831.0,51.81
22-04-2026 00:00,4858.0,4858.0,4752.3,4764.1,20125,966.64,5997,12760.0,63.4
21-04-2026 00:00,4913.0,4917.2,4806.1,4816.5,11536,559.35,3536,7567.0,65.59
20-04-2026 00:00,4995.0,5045.0,4865.0,4894.7,18563,919.38,4107,7426.0,40.0
17-04-2026 00:00,4864.9,4972.0,4864.8,4960.7,9491,468.51,2798,5593.0,58.93
16-04-2026 00:00,4950.0,4994.0,4836.4,4859.2,21545,1056.07,4880,10020.0,46.51
15-04-2026 00:00,4870.0,4963.8,4859.4,4895.4,16169,793.52,6459,8745.0,54.08
13-04-2026 00:00,4820.0,4883.2,4750.0,4851.8,9289,449.37,3088,3290.0,35.42
10-04-2026 00:00,4750.0,4876.0,4750.0,4868.6,10376,501.35,3421,5896.0,56.82
09-04-2026 00:00,4860.0,4860.0,4725.0,4749.1,12053,574.2,4010,5759.0,47.78
08-04-2026 00:00,4845.0,4866.4,4785.0,4835.7,15557,752.71,4032,9483.0,60.96
07-04-2026 00:00,4839.9,4839.9,4764.0,4779.2,9011,430.99,2864,4113.0,45.64
06-04-2026 00:00,4870.0,4871.0,4777.0,4839.9,7683,370.49,2713,2919.0,37.99
02-04-2026 00:00,4845.0,4909.4,4740.1,4887.1,28263,1365.72,9600,14257.0,50.44
01-04-2026 00:00,4746.1,4870.0,4737.5,4853.0,14960,721.76,6118,8243.0,55.1
30-03-2026 00:00,4640.0,4749.0,4611.0,4720.5,18230,856.42,5296,11046.0,60.59
27-03-2026 00:00,4707.0,4766.0,4645.0,4692.0,23978,1126.34,7129,12068.0,50.33
25-03-2026 00:00,4674.0,4767.0,4673.5,4709.5,10486,496.3,3220,5551.0,52.94
24-03-2026 00:00,4626.0,4707.0,4574.5,4659.5,17917,832.97,5151,8522.0,47.56
23-03-2026 00:00,4770.0,4770.0,4522.0,4560.0,14382,661.64,4067,8908.0,61.94
