datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,1596.0,1620.7,1590.5,1597.0,1399828,22490.01,93592,829700.0,59.27
24-06-2026 00:00,1570.0,1585.0,1563.2,1579.0,779349,12273.52,52271,425159.0,54.55
23-06-2026 00:00,1565.0,1599.3,1562.7,1566.7,817811,12898.06,47956,506956.0,61.99
22-06-2026 00:00,1580.0,1582.8,1555.0,1572.2,775668,12164.55,33792,452430.0,58.33
19-06-2026 00:00,1572.0,1595.0,1565.0,1579.9,847276,13393.2,34422,451260.0,53.26
18-06-2026 00:00,1575.0,1586.2,1568.0,1581.1,759760,11972.08,32522,510727.0,67.22
17-06-2026 00:00,1575.1,1584.5,1567.6,1578.2,651610,10273.81,45254,396286.0,60.82
16-06-2026 00:00,1587.0,1587.0,1552.6,1571.2,382140,5983.48,32702,196618.0,51.45
15-06-2026 00:00,1568.8,1582.7,1555.8,1571.0,1848652,29053.91,117441,1206413.0,65.26
12-06-2026 00:00,1518.0,1553.9,1515.1,1535.5,1254231,19260.25,56760,624163.0,49.76
11-06-2026 00:00,1505.7,1508.7,1490.0,1498.8,613282,9202.71,39583,331746.0,54.09
10-06-2026 00:00,1485.0,1535.8,1482.9,1506.5,1866212,28282.04,77508,778626.0,41.72
09-06-2026 00:00,1466.4,1488.8,1465.0,1481.8,536175,7935.29,35193,337507.0,62.95
08-06-2026 00:00,1450.1,1478.0,1447.5,1459.8,417045,6100.83,24716,222403.0,53.33
05-06-2026 00:00,1475.0,1485.5,1466.3,1476.6,489330,7230.24,20565,304089.0,62.14
04-06-2026 00:00,1457.4,1478.6,1457.2,1471.1,646986,9520.74,21164,416146.0,64.32
03-06-2026 00:00,1450.0,1473.2,1444.5,1469.2,836338,12237.45,25322,459093.0,54.89
02-06-2026 00:00,1430.0,1463.9,1430.0,1454.6,948386,13728.61,47110,597813.0,63.03
01-06-2026 00:00,1482.8,1485.9,1450.3,1457.2,690657,10106.73,39547,369549.0,53.51
29-05-2026 00:00,1474.2,1500.7,1466.5,1482.8,4438929,65736.13,78156,3148877.0,70.94
27-05-2026 00:00,1473.1,1486.0,1472.4,1480.7,323780,4793.03,33603,219799.0,67.89
26-05-2026 00:00,1477.2,1483.0,1467.0,1478.5,454638,6706.21,19639,259960.0,57.18
25-05-2026 00:00,1500.0,1508.4,1473.1,1477.2,593426,8859.18,19680,278882.0,47.0
22-05-2026 00:00,1474.1,1484.0,1459.0,1478.4,533048,7855.67,28230,307092.0,57.61
21-05-2026 00:00,1471.0,1478.4,1465.8,1472.8,465411,6852.6,24472,272354.0,58.52
20-05-2026 00:00,1440.0,1465.0,1431.4,1455.6,356329,5172.62,25405,188399.0,52.87
