datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,9700.0,9753.5,9516.5,9531.0,407574,39175.28,58451,222419.0,54.57
24-06-2026 00:00,9900.0,9939.5,9675.0,9692.5,338045,33007.25,49626,201280.0,59.54
23-06-2026 00:00,10022.5,10075.0,9891.5,9920.5,260444,25939.47,43275,138133.0,53.04
22-06-2026 00:00,10090.0,10126.0,9992.0,10022.5,157543,15824.71,19882,70566.0,44.79
19-06-2026 00:00,9900.0,10120.0,9831.0,10083.0,470348,47115.48,46185,272822.0,58.0
18-06-2026 00:00,9949.0,10014.0,9905.0,9952.5,264707,26357.9,34719,134255.0,50.72
17-06-2026 00:00,9600.0,9987.5,9600.0,9926.5,591839,58362.1,79337,235059.0,39.72
16-06-2026 00:00,9600.0,9671.0,9475.0,9591.5,339718,32556.62,50849,161245.0,47.46
15-06-2026 00:00,9679.5,9681.0,9540.0,9556.0,197986,18992.61,37876,102964.0,52.01
12-06-2026 00:00,9480.0,9576.0,9383.0,9554.0,162406,15421.4,26850,62508.0,38.49
11-06-2026 00:00,9480.0,9525.0,9352.5,9372.0,187312,17658.98,29268,79714.0,42.56
10-06-2026 00:00,9621.0,9684.5,9478.5,9523.5,391667,37441.37,45886,235226.0,60.06
09-06-2026 00:00,9502.0,9698.0,9423.5,9615.5,232863,22394.97,40017,84497.0,36.29
08-06-2026 00:00,9590.5,9699.0,9432.5,9495.0,199100,19082.86,36550,81860.0,41.12
05-06-2026 00:00,9755.0,9833.0,9656.0,9699.0,256030,24899.33,39280,115656.0,45.17
04-06-2026 00:00,9565.0,9774.5,9532.5,9717.5,259390,25218.16,37246,103523.0,39.91
03-06-2026 00:00,9525.0,9640.0,9479.5,9571.5,162922,15574.7,30471,62934.0,38.63
02-06-2026 00:00,9420.0,9555.5,9320.5,9531.5,256995,24323.46,38865,123651.0,48.11
01-06-2026 00:00,9501.0,9599.0,9383.0,9480.5,216109,20512.91,40519,99549.0,46.06
29-05-2026 00:00,9700.0,9747.0,9426.0,9477.5,496089,47423.36,54798,307977.0,62.08
27-05-2026 00:00,9613.5,9696.0,9561.0,9664.0,219320,21119.15,31473,86432.0,39.41
26-05-2026 00:00,9369.5,9669.5,9358.0,9613.5,424144,40413.62,48749,192651.0,45.42
25-05-2026 00:00,9320.0,9424.0,9296.0,9398.5,252126,23639.48,36094,113801.0,45.14
22-05-2026 00:00,9227.5,9316.5,9194.0,9263.5,177024,16409.35,26940,78899.0,44.57
21-05-2026 00:00,9235.0,9309.5,9176.0,9193.5,231631,21379.51,33331,86478.0,37.33
20-05-2026 00:00,9068.0,9238.0,9016.5,9199.0,320359,29367.21,41464,161162.0,50.31
19-05-2026 00:00,9171.0,9293.5,9090.0,9162.5,337327,31069.81,46820,149479.0,44.31
18-05-2026 00:00,9100.0,9170.0,8943.5,9151.0,295160,26789.4,37586,130756.0,44.3
15-05-2026 00:00,9262.5,9267.5,9100.0,9152.5,202982,18607.27,33388,66083.0,32.56
14-05-2026 00:00,8948.0,9239.0,8925.5,9217.5,360127,32740.52,42247,136273.0,37.84
13-05-2026 00:00,8991.0,9072.5,8865.0,8887.5,423358,37897.71,59775,190976.0,45.11
12-05-2026 00:00,9115.0,9220.0,8979.0,9021.5,617924,56442.53,77677,305034.0,49.36
11-05-2026 00:00,9004.5,9136.0,8963.0,9065.5,261216,23700.79,38186,102060.0,39.07
08-05-2026 00:00,9030.0,9159.0,8952.5,9083.0,613457,55850.38,67875,238719.0,38.91
07-05-2026 00:00,8499.0,9050.0,8450.0,9003.0,1837111,163265.14,162725,660324.0,35.94
06-05-2026 00:00,8400.0,8525.0,8355.5,8415.5,1084637,91532.64,73442,501030.0,46.19
05-05-2026 00:00,8347.5,8374.0,8154.0,8337.0,462166,38221.17,54695,191710.0,41.48
04-05-2026 00:00,8110.5,8363.0,8062.5,8344.5,435059,35893.15,41775,218010.0,50.11
