datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,349.7,351.55,344.0,348.65,671485,2337.21,19081,372204.0,55.43
24-06-2026 00:00,342.95,351.0,338.1,348.05,985688,3417.66,27530,433738.0,44.0
23-06-2026 00:00,342.55,348.5,339.5,342.95,802356,2759.29,18658,345628.0,43.08
22-06-2026 00:00,342.0,346.7,339.05,341.55,1145196,3916.07,27377,488658.0,42.67
19-06-2026 00:00,343.0,343.0,337.5,340.5,488816,1660.12,12795,200654.0,41.05
18-06-2026 00:00,341.0,344.75,339.1,343.15,674276,2308.22,16828,280071.0,41.54
17-06-2026 00:00,343.0,344.0,335.55,340.05,705471,2393.44,17787,319732.0,45.32
16-06-2026 00:00,338.8,343.0,334.8,341.4,896092,3046.57,25681,361367.0,40.33
15-06-2026 00:00,347.0,350.9,333.3,336.95,2157767,7375.44,45154,693414.0,32.14
12-06-2026 00:00,336.0,336.0,324.1,332.1,1149143,3788.68,30360,435591.0,37.91
11-06-2026 00:00,345.5,350.55,326.0,328.5,2064744,6949.34,47250,751596.0,36.4
10-06-2026 00:00,356.9,360.0,341.1,343.75,640405,2239.69,16698,260400.0,40.66
09-06-2026 00:00,358.6,361.9,355.0,356.25,463340,1657.49,14248,170613.0,36.82
08-06-2026 00:00,350.0,365.9,345.05,358.1,2037148,7337.34,45509,599420.0,29.42
05-06-2026 00:00,351.15,362.2,350.3,353.45,1379926,4914.7,30908,551506.0,39.97
04-06-2026 00:00,344.55,350.55,344.55,349.9,663023,2309.09,17887,246105.0,37.12
03-06-2026 00:00,349.5,350.75,340.2,344.55,548847,1883.63,14646,170243.0,31.02
02-06-2026 00:00,335.0,351.6,332.1,348.55,1484190,5117.05,32147,393386.0,26.51
01-06-2026 00:00,354.45,358.9,335.2,338.25,1684978,5764.4,41634,743490.0,44.12
29-05-2026 00:00,359.0,374.85,350.1,352.3,2584090,9340.22,59317,1133682.0,43.87
27-05-2026 00:00,395.0,395.5,380.55,383.8,578060,2233.17,17899,285707.0,49.43
26-05-2026 00:00,395.0,400.2,390.95,393.85,732517,2904.65,24918,326442.0,44.56
25-05-2026 00:00,392.4,395.55,384.05,393.65,1085515,4252.75,30263,501319.0,46.18
22-05-2026 00:00,390.0,391.1,383.75,390.25,574665,2232.59,16633,240129.0,41.79
21-05-2026 00:00,389.05,396.55,385.85,390.45,1169092,4571.38,21011,629095.0,53.81
20-05-2026 00:00,386.0,394.05,382.45,386.8,1094608,4258.59,26343,419181.0,38.3
19-05-2026 00:00,364.1,388.85,363.95,386.05,1615601,6160.21,35731,483723.0,29.94
18-05-2026 00:00,367.0,367.65,356.5,364.7,1193887,4314.66,26183,482299.0,40.4
15-05-2026 00:00,374.95,378.4,367.0,370.5,797479,2975.17,26487,299747.0,37.59
14-05-2026 00:00,379.5,383.3,363.1,372.15,1452914,5394.43,33498,455109.0,31.32
13-05-2026 00:00,392.0,402.0,378.0,379.3,2373304,9225.33,52750,1229252.0,51.79
12-05-2026 00:00,399.0,404.0,388.55,391.7,1236118,4890.22,33907,476196.0,38.52
11-05-2026 00:00,402.45,409.65,393.6,398.2,1384313,5560.43,30225,452918.0,32.72
08-05-2026 00:00,405.9,406.7,399.0,403.45,852339,3428.54,16325,306374.0,35.95
07-05-2026 00:00,403.05,408.8,402.25,403.6,822907,3336.1,18170,316649.0,38.48
06-05-2026 00:00,421.0,422.5,398.25,401.8,1334235,5445.49,29234,630346.0,47.24
05-05-2026 00:00,411.95,417.9,408.3,415.5,1462377,6041.17,28887,435935.0,29.81
04-05-2026 00:00,412.4,422.85,410.65,412.2,1975928,8225.88,32420,674253.0,34.12
30-04-2026 00:00,401.0,423.0,397.5,408.35,5618619,23141.95,95619,1195616.0,21.28
29-04-2026 00:00,401.05,408.95,398.2,400.65,1827502,7366.23,35681,560357.0,30.66
28-04-2026 00:00,403.35,403.4,393.55,395.1,1196296,4743.98,21327,511080.0,42.72
27-04-2026 00:00,402.0,410.5,395.9,403.35,1800027,7262.02,40088,489117.0,27.17
24-04-2026 00:00,415.0,416.6,388.15,398.45,4205851,16782.37,65239,1233392.0,29.33
23-04-2026 00:00,386.1,427.65,386.1,410.05,21020317,86405.23,242037,2852453.0,13.57
22-04-2026 00:00,368.95,389.8,366.5,382.8,6935179,26436.66,90932,1565965.0,22.58
21-04-2026 00:00,357.2,368.0,356.55,364.2,2160209,7859.5,35895,1000854.0,46.33
20-04-2026 00:00,352.2,361.7,343.1,356.5,2606969,9254.81,43134,859975.0,32.99
17-04-2026 00:00,350.05,355.2,350.05,350.9,1031011,3632.33,18563,517127.0,50.16
16-04-2026 00:00,355.0,357.0,346.05,349.25,1728366,6042.37,28189,867640.0,50.2
15-04-2026 00:00,346.9,353.85,342.8,352.45,2814393,9817.66,37112,1118711.0,39.75
13-04-2026 00:00,332.55,349.85,328.05,343.15,2184579,7506.1,33295,825916.0,37.81
10-04-2026 00:00,338.0,342.4,336.6,338.15,800570,2719.09,16780,319830.0,39.95
09-04-2026 00:00,342.8,349.45,335.1,336.6,1540703,5271.81,29215,515932.0,33.49
08-04-2026 00:00,349.0,349.0,337.5,342.4,1685244,5767.04,34105,567957.0,33.7
