datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,25.1,25.16,24.56,24.63,1286639,319.52,3544,570967.0,44.38
24-06-2026 00:00,24.84,25.22,24.56,25.01,1235781,308.17,4897,364310.0,29.48
23-06-2026 00:00,25.1,25.22,24.42,24.84,1801892,446.58,6641,801517.0,44.48
22-06-2026 00:00,25.85,25.85,25.0,25.07,2081153,525.1,6288,1000854.0,48.09
19-06-2026 00:00,25.1,25.25,24.85,25.09,1900659,476.0,5971,853923.0,44.93
18-06-2026 00:00,25.7,25.8,25.01,25.15,2736841,693.11,6504,1566507.0,57.24
17-06-2026 00:00,24.09,25.94,24.01,25.48,12334921,3117.68,21343,4023583.0,32.62
16-06-2026 00:00,24.2,24.34,23.89,24.0,1255331,302.49,3391,612499.0,48.79
15-06-2026 00:00,24.4,24.7,23.85,24.01,1938035,471.42,5278,1048448.0,54.1
12-06-2026 00:00,23.8,24.19,23.42,24.02,2147540,510.53,5867,942169.0,43.87
11-06-2026 00:00,23.74,23.89,23.24,23.4,1722233,404.4,5088,702609.0,40.8
10-06-2026 00:00,24.25,24.54,23.61,23.74,1786629,432.35,7506,880789.0,49.3
09-06-2026 00:00,23.2,24.42,23.2,24.21,2287112,547.58,8610,1134189.0,49.59
08-06-2026 00:00,23.22,23.98,23.0,23.19,1254728,294.38,5462,487683.0,38.87
05-06-2026 00:00,23.3,23.82,23.3,23.68,1580403,374.05,5558,677141.0,42.85
04-06-2026 00:00,23.41,23.68,23.25,23.29,1249161,292.13,4792,693313.0,55.5
03-06-2026 00:00,23.68,23.7,23.33,23.41,1487512,348.54,3596,868455.0,58.38
02-06-2026 00:00,23.57,23.79,23.33,23.68,855117,201.31,4954,443645.0,51.88
01-06-2026 00:00,24.28,24.34,23.53,23.72,832411,199.1,2953,482824.0,58.0
29-05-2026 00:00,24.1,24.6,23.68,23.98,1374057,332.04,3787,701593.0,51.06
27-05-2026 00:00,24.49,24.49,24.1,24.28,1008838,244.84,5071,428598.0,42.48
26-05-2026 00:00,24.04,24.36,23.91,24.19,1640676,396.45,3951,812593.0,49.53
25-05-2026 00:00,23.8,24.11,23.76,24.05,853908,204.25,3471,481271.0,56.36
22-05-2026 00:00,23.72,23.75,23.47,23.64,938939,221.52,3920,445131.0,47.41
21-05-2026 00:00,23.87,23.93,23.61,23.69,749260,178.05,4124,406462.0,54.25
20-05-2026 00:00,23.55,23.6,23.15,23.54,826589,193.59,3614,264229.0,31.97
19-05-2026 00:00,23.39,23.69,23.37,23.51,526704,124.12,2923,297651.0,56.51
18-05-2026 00:00,23.5,23.5,23.2,23.41,852500,198.91,4299,401019.0,47.04
15-05-2026 00:00,24.1,24.24,23.6,23.67,938860,224.31,2900,395663.0,42.14
14-05-2026 00:00,24.1,24.36,23.81,24.08,959123,230.82,4107,354858.0,37.0
13-05-2026 00:00,23.79,24.2,23.64,23.95,1416386,339.65,4686,538664.0,38.03
12-05-2026 00:00,24.65,24.87,23.7,23.79,1818362,439.74,6465,1040563.0,57.23
11-05-2026 00:00,25.06,25.08,24.54,24.87,1269556,315.42,6240,592459.0,46.67
08-05-2026 00:00,26.19,26.33,25.0,25.06,5012580,1265.32,9336,3023877.0,60.33
07-05-2026 00:00,25.82,26.3,25.61,26.01,3100893,805.68,7032,1507209.0,48.61
06-05-2026 00:00,25.0,25.62,25.0,25.52,2052134,520.58,4505,1127080.0,54.92
05-05-2026 00:00,24.89,25.15,24.77,24.93,781864,195.06,4192,304857.0,38.99
04-05-2026 00:00,25.0,25.25,24.8,24.84,805014,201.28,5001,401468.0,49.87
30-04-2026 00:00,25.25,25.25,24.76,24.93,1129996,282.38,4796,523376.0,46.32
29-04-2026 00:00,25.2,25.59,24.99,25.03,1997151,504.48,6607,756361.0,37.87
28-04-2026 00:00,25.73,26.0,25.0,25.08,4144134,1047.4,10737,1889581.0,45.6
27-04-2026 00:00,25.2,25.83,24.93,25.7,2156943,548.09,5447,1190772.0,55.21
24-04-2026 00:00,25.04,25.17,24.6,24.84,1677752,416.55,4801,718878.0,42.85
23-04-2026 00:00,25.42,25.52,24.9,25.01,1171960,295.16,4744,640091.0,54.62
22-04-2026 00:00,25.11,25.7,25.11,25.55,1440746,368.0,4339,714253.0,49.58
21-04-2026 00:00,25.2,25.62,25.1,25.26,1305169,331.21,4003,656530.0,50.3
20-04-2026 00:00,25.34,25.39,24.87,25.06,1277769,321.53,4171,513758.0,40.21
17-04-2026 00:00,25.11,25.34,25.03,25.24,1328488,334.9,3752,658387.0,49.56
16-04-2026 00:00,25.0,25.29,24.85,25.11,1305883,327.54,4508,654970.0,50.16
15-04-2026 00:00,24.86,24.99,24.66,24.87,1629476,404.6,3981,829447.0,50.9
13-04-2026 00:00,24.1,24.49,23.67,24.26,1797750,434.71,6329,645766.0,35.92
10-04-2026 00:00,24.23,24.83,24.23,24.59,1473994,362.49,4436,612529.0,41.56
09-04-2026 00:00,24.6,24.65,24.06,24.16,1437827,349.58,5076,674707.0,46.93
08-04-2026 00:00,24.0,24.5,23.81,24.44,2771909,671.11,7261,1169443.0,42.19
07-04-2026 00:00,22.9,23.1,22.63,23.0,975874,223.78,4866,401500.0,41.14
06-04-2026 00:00,22.7,23.04,22.22,22.96,2769218,628.24,9801,808518.0,29.2
02-04-2026 00:00,21.73,22.43,21.24,22.36,1767940,386.16,6082,508046.0,28.74
01-04-2026 00:00,21.25,22.2,21.2,22.03,2768489,601.89,8540,856573.0,30.94
30-03-2026 00:00,21.61,21.7,20.5,20.66,3176497,668.82,11354,1779962.0,56.04
27-03-2026 00:00,22.76,22.77,21.75,21.93,3163238,696.83,10923,1742643.0,55.09
25-03-2026 00:00,22.13,23.06,22.13,22.76,2278735,519.38,6587,1359231.0,59.65
24-03-2026 00:00,22.0,22.3,21.63,22.13,1864780,410.31,6728,829273.0,44.47
23-03-2026 00:00,22.77,22.77,21.11,21.51,2647311,579.49,9654,1304173.0,49.26
20-03-2026 00:00,22.9,23.56,22.82,22.96,2014782,466.23,6892,717869.0,35.63
