datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,97.02,97.02,97.02,97.02,63642,61.75,1010,,
24-06-2026 00:00,102.12,102.12,102.12,102.12,308698,315.24,1776,,
23-06-2026 00:00,107.49,107.49,107.49,107.49,191562,205.91,1404,,
22-06-2026 00:00,102.38,102.38,102.38,102.38,307736,315.06,2028,,
19-06-2026 00:00,97.51,97.51,97.51,97.51,208037,202.86,1052,,
18-06-2026 00:00,92.87,92.87,92.0,92.87,1399385,1299.55,3570,,
17-06-2026 00:00,88.45,88.45,86.51,88.45,716670,633.13,2144,,
16-06-2026 00:00,82.8,84.24,82.65,84.24,1557976,1308.92,5484,,
15-06-2026 00:00,72.63,80.23,72.63,80.23,1310895,1001.55,5350,,
12-06-2026 00:00,76.41,76.41,76.41,76.41,1445658,1104.63,4216,,
11-06-2026 00:00,80.43,80.43,80.43,80.43,109725,88.25,1451,,
10-06-2026 00:00,84.66,84.66,84.66,84.66,117590,99.55,1309,,
09-06-2026 00:00,89.11,89.11,89.11,89.11,78805,70.22,1445,,
08-06-2026 00:00,93.8,93.8,93.8,93.8,95498,89.58,1557,,
05-06-2026 00:00,98.73,98.73,98.73,98.73,145945,144.09,2258,,
04-06-2026 00:00,103.92,103.92,103.92,103.92,147955,153.75,1758,,
03-06-2026 00:00,102.5,110.4,102.5,109.38,198748,209.29,2443,,
02-06-2026 00:00,107.0,110.42,106.8,106.8,155716,166.46,1761,,
01-06-2026 00:00,117.4,117.4,112.42,112.42,103097,116.29,1003,,
29-05-2026 00:00,120.51,122.1,117.14,118.33,199578,241.07,1735,,
27-05-2026 00:00,122.39,123.0,116.0,122.12,193997,234.85,2419,,
26-05-2026 00:00,117.65,118.45,114.4,118.45,125108,147.83,1210,,
25-05-2026 00:00,109.85,112.81,107.9,112.81,131033,145.99,1358,,
22-05-2026 00:00,108.0,108.97,105.8,107.44,101211,108.84,954,,
21-05-2026 00:00,106.3,108.9,106.0,107.39,110514,118.69,1735,,
20-05-2026 00:00,110.88,110.88,105.81,108.68,50108,54.3,1278,,
19-05-2026 00:00,107.79,108.7,105.64,108.4,59839,64.47,958,,
18-05-2026 00:00,106.2,109.0,104.32,105.64,102428,108.69,1591,,
15-05-2026 00:00,108.25,111.0,108.25,109.77,83761,92.07,1030,,
14-05-2026 00:00,111.65,114.98,108.2,109.11,105045,115.41,1702,,
13-05-2026 00:00,107.2,116.0,106.2,111.69,143989,160.62,3200,,
12-05-2026 00:00,116.8,116.8,110.5,111.26,188218,210.63,5223,,
11-05-2026 00:00,117.0,120.97,115.9,116.25,187840,220.43,3979,,
08-05-2026 00:00,123.87,124.0,121.0,121.99,77574,94.93,1462,,
07-05-2026 00:00,124.78,126.0,121.6,122.24,149448,184.59,1672,,
06-05-2026 00:00,119.45,121.74,119.0,120.74,112716,136.31,2113,,
05-05-2026 00:00,118.01,119.7,117.15,119.17,81656,96.69,1554,,
04-05-2026 00:00,121.0,122.58,118.0,119.77,81359,98.09,1821,,
30-04-2026 00:00,124.85,124.85,118.66,119.2,219018,263.62,2475,,
29-04-2026 00:00,128.2,130.49,123.0,124.9,118505,149.83,1498,,
28-04-2026 00:00,129.99,131.99,125.0,127.07,110453,141.51,1607,,
27-04-2026 00:00,125.0,130.5,124.03,128.35,190104,245.34,2943,,
24-04-2026 00:00,129.0,129.8,122.8,126.81,280950,353.85,3094,,
23-04-2026 00:00,126.4,128.69,125.03,128.69,302786,388.27,2830,,
22-04-2026 00:00,112.4,122.57,112.4,122.57,139416,168.25,1702,,
21-04-2026 00:00,121.6,121.6,116.55,116.74,256466,301.68,3643,,
20-04-2026 00:00,126.25,126.25,120.6,122.59,234921,289.8,2731,,
17-04-2026 00:00,132.9,132.95,123.0,126.31,875896,1126.19,7696,,
16-04-2026 00:00,127.0,127.05,125.0,127.05,174986,222.27,1312,,
15-04-2026 00:00,121.0,121.0,121.0,121.0,183954,222.58,1357,,
13-04-2026 00:00,115.0,115.24,104.6,115.24,337860,383.02,2023,,
10-04-2026 00:00,109.7,109.76,106.5,109.76,375648,410.9,2204,,
09-04-2026 00:00,104.0,105.99,96.5,104.54,476397,489.79,4105,,
08-04-2026 00:00,100.98,100.98,100.0,100.97,777906,785.35,4870,,
07-04-2026 00:00,91.79,96.2,89.06,96.18,522824,500.4,3958,,
06-04-2026 00:00,85.0,91.64,82.92,91.62,353127,316.56,3657,,
02-04-2026 00:00,83.26,87.42,81.0,87.28,273884,233.41,3459,,
01-04-2026 00:00,80.41,84.39,80.41,83.26,361005,302.17,4482,,
30-03-2026 00:00,82.0,83.0,80.38,80.38,233133,187.61,2823,,
27-03-2026 00:00,89.05,89.05,84.61,84.61,243692,207.05,4012,,
25-03-2026 00:00,83.45,89.09,81.6,89.06,548821,482.84,10188,,
24-03-2026 00:00,85.2,89.31,84.85,84.85,420401,358.63,10278,,
23-03-2026 00:00,89.35,91.98,89.31,89.31,196886,176.01,3043,,
20-03-2026 00:00,99.99,101.5,93.82,94.01,800420,761.41,12903,,
19-03-2026 00:00,100.5,103.5,98.3,98.75,317142,317.5,10621,,
18-03-2026 00:00,103.5,106.2,102.1,103.4,335822,347.57,8828,,
17-03-2026 00:00,104.05,105.0,100.0,103.05,316227,321.01,6559,,
16-03-2026 00:00,110.0,110.0,104.56,105.06,301709,317.56,8944,,
13-03-2026 00:00,114.99,114.99,109.4,110.06,205657,226.62,10883,,
12-03-2026 00:00,111.64,115.99,108.85,113.94,477386,528.09,16049,,
11-03-2026 00:00,110.0,114.64,110.0,114.57,309585,352.99,6971,,
10-03-2026 00:00,108.1,113.8,107.6,109.19,517081,566.31,11848,,
09-03-2026 00:00,114.9,114.9,112.95,112.95,193871,219.14,2745,,
06-03-2026 00:00,122.11,125.11,118.86,118.89,680776,813.19,22640,,
05-03-2026 00:00,130.2,135.0,125.11,125.11,417635,529.69,17848,,
04-03-2026 00:00,136.62,137.23,131.69,131.69,327761,433.49,15068,,
02-03-2026 00:00,136.62,140.94,136.62,138.62,464528,637.69,9635,,
27-02-2026 00:00,150.0,153.0,143.45,143.81,1683693,2430.62,18030,,
26-02-2026 00:00,152.15,155.0,149.15,150.99,211270,317.9,7153,,
25-02-2026 00:00,156.2,159.18,152.0,152.23,200901,309.13,10752,,
24-02-2026 00:00,156.15,158.2,155.0,155.76,119784,186.54,4659,,
23-02-2026 00:00,165.0,165.0,156.01,158.2,187162,295.82,7928,,
20-02-2026 00:00,160.5,164.8,157.39,157.91,221136,350.98,11023,,
19-02-2026 00:00,165.0,169.8,160.75,162.34,198307,322.65,5825,,
18-02-2026 00:00,164.0,171.0,164.0,165.69,291000,482.98,8214,,
17-02-2026 00:00,168.0,170.0,161.15,166.61,188924,312.66,7044,,
16-02-2026 00:00,172.89,177.91,169.03,169.03,180689,307.02,9222,,
13-02-2026 00:00,182.0,182.95,177.0,177.92,109897,196.46,3725,,
12-02-2026 00:00,186.0,189.9,182.5,184.64,91259,169.24,2357,,
11-02-2026 00:00,192.4,192.4,182.5,190.0,166777,312.95,2325,,
10-02-2026 00:00,187.0,189.0,181.0,188.63,190334,355.05,3376,,
09-02-2026 00:00,179.0,181.35,177.2,181.22,178953,322.65,3027,,
06-02-2026 00:00,177.26,177.4,171.52,172.72,95791,165.36,2010,,
05-02-2026 00:00,180.0,181.69,177.0,180.54,167282,300.41,2708,,
04-02-2026 00:00,177.77,177.97,175.0,177.97,206378,364.91,3920,,
03-02-2026 00:00,169.5,169.5,169.5,169.5,127675,216.41,1535,,
02-02-2026 00:00,164.6,164.6,156.55,161.43,89777,143.91,2555,,
01-02-2026 00:00,159.99,164.95,157.51,163.87,70620,114.21,1173,,
30-01-2026 00:00,162.2,167.1,157.51,162.36,167742,271.68,4274,,
29-01-2026 00:00,166.0,167.99,158.0,162.23,71096,115.65,1454,,
28-01-2026 00:00,164.0,167.0,159.0,165.69,124823,204.21,2364,,
27-01-2026 00:00,164.95,165.69,159.7,160.87,70602,114.1,2332,,
23-01-2026 00:00,164.9,168.3,160.55,163.18,70947,116.74,1129,,
22-01-2026 00:00,161.5,165.3,161.5,164.43,119131,195.37,3498,,
