datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,443.0,446.0,432.0,433.5,62122,271.32,2567,39957.0,64.32
24-06-2026 00:00,452.15,452.95,440.05,443.5,30349,134.95,2105,15891.0,52.36
23-06-2026 00:00,464.85,469.1,447.1,449.95,41657,189.1,2048,25267.0,60.65
22-06-2026 00:00,459.6,470.0,451.85,464.0,102964,478.28,4036,58788.0,57.1
19-06-2026 00:00,454.5,459.25,446.25,448.6,54525,245.83,2824,30695.0,56.3
18-06-2026 00:00,454.7,461.0,451.05,454.6,34882,158.86,2071,15461.0,44.32
17-06-2026 00:00,452.7,460.0,452.0,453.95,29279,133.6,1690,14554.0,49.71
16-06-2026 00:00,456.9,462.95,448.0,452.7,56406,255.16,2423,29886.0,52.98
15-06-2026 00:00,465.0,468.95,453.65,455.85,63168,289.68,3179,38059.0,60.25
12-06-2026 00:00,436.0,465.9,436.0,459.2,155486,711.51,5933,80640.0,51.86
11-06-2026 00:00,440.7,448.3,435.0,437.5,64454,284.21,3274,27012.0,41.91
10-06-2026 00:00,446.1,473.95,434.5,441.45,160653,729.48,6577,63754.0,39.68
09-06-2026 00:00,432.55,448.5,426.55,445.6,105839,467.22,5299,60895.0,57.54
08-06-2026 00:00,416.0,438.4,416.0,427.45,62595,267.22,4518,26516.0,42.36
05-06-2026 00:00,434.0,443.95,429.15,432.15,81406,355.5,3473,38856.0,47.73
04-06-2026 00:00,410.0,435.0,410.0,428.15,74362,316.5,3040,42040.0,56.53
03-06-2026 00:00,411.15,419.3,406.2,412.65,24070,99.79,1807,12673.0,52.65
02-06-2026 00:00,411.5,416.5,408.55,415.3,18755,77.72,1192,10023.0,53.44
01-06-2026 00:00,410.85,418.9,410.05,413.9,33423,138.84,2913,17279.0,51.7
29-05-2026 00:00,425.0,425.0,405.05,410.75,48852,202.11,2435,21316.0,43.63
27-05-2026 00:00,418.0,425.5,415.25,420.95,45067,189.46,1913,16591.0,36.81
26-05-2026 00:00,423.25,428.2,413.1,415.1,45430,191.0,2097,19374.0,42.65
25-05-2026 00:00,421.85,426.0,414.6,423.25,58188,245.15,3020,26913.0,46.25
22-05-2026 00:00,414.0,415.35,408.0,411.15,42141,172.96,2257,22154.0,52.57
21-05-2026 00:00,412.3,419.0,408.2,410.9,57418,237.98,4039,30365.0,52.88
20-05-2026 00:00,406.0,416.5,405.1,410.2,51595,211.88,4417,27336.0,52.98
19-05-2026 00:00,401.3,411.9,398.7,410.1,61177,249.04,5403,29649.0,48.46
18-05-2026 00:00,406.0,407.05,395.0,398.4,95825,383.9,5030,54491.0,56.87
15-05-2026 00:00,415.2,423.55,408.25,413.1,51419,214.09,2601,22933.0,44.6
14-05-2026 00:00,418.0,421.25,409.6,411.1,41499,171.63,2259,21135.0,50.93
13-05-2026 00:00,411.6,419.85,405.0,416.1,41253,171.08,2738,16498.0,39.99
12-05-2026 00:00,423.0,433.2,403.0,406.05,122957,509.88,4552,64333.0,52.32
11-05-2026 00:00,446.2,446.25,424.1,427.6,83644,361.91,4177,49099.0,58.7
08-05-2026 00:00,455.0,460.8,445.0,446.2,64197,289.91,3409,32986.0,51.38
07-05-2026 00:00,449.0,464.75,445.4,451.7,114199,520.0,4097,55666.0,48.74
06-05-2026 00:00,448.0,449.35,439.4,447.3,47927,213.3,2349,24065.0,50.21
05-05-2026 00:00,447.65,452.4,441.95,445.15,48655,217.79,2117,19718.0,40.53
04-05-2026 00:00,446.7,452.0,443.75,447.65,68281,306.15,2583,36281.0,53.13
30-04-2026 00:00,437.5,445.5,429.25,444.35,70444,308.94,3074,28851.0,40.96
29-04-2026 00:00,445.0,449.8,435.1,438.45,76290,339.05,3323,39632.0,51.95
28-04-2026 00:00,438.0,455.0,435.75,439.5,152273,679.34,4944,73929.0,48.55
27-04-2026 00:00,418.0,442.0,418.0,437.45,139254,605.23,4136,72131.0,51.8
24-04-2026 00:00,425.0,429.7,403.65,419.05,175743,734.27,6768,67091.0,38.18
23-04-2026 00:00,418.0,424.6,411.0,420.35,153313,640.32,5368,71778.0,46.82
22-04-2026 00:00,412.0,428.95,401.55,416.55,482376,1998.97,13811,171274.0,35.51
21-04-2026 00:00,444.0,450.0,436.0,438.95,240781,1064.98,7387,106554.0,44.25
20-04-2026 00:00,434.95,449.9,426.05,435.45,167806,738.12,6287,80359.0,47.89
17-04-2026 00:00,420.0,436.9,417.0,429.4,118118,505.74,3195,61586.0,52.14
16-04-2026 00:00,422.9,426.1,414.5,422.1,66985,281.38,3255,35434.0,52.9
15-04-2026 00:00,413.0,424.0,412.0,419.9,82586,344.91,3248,44441.0,53.81
13-04-2026 00:00,387.0,411.9,385.0,404.7,78922,317.63,2875,27965.0,35.43
10-04-2026 00:00,390.15,416.0,390.15,400.75,140525,569.17,4184,65788.0,46.82
09-04-2026 00:00,391.6,402.0,386.0,388.25,51968,205.49,2792,24123.0,46.42
08-04-2026 00:00,400.95,400.95,381.0,391.6,82540,321.51,2625,32331.0,39.17
07-04-2026 00:00,373.0,381.0,367.3,369.95,58327,217.2,2580,17412.0,29.85
06-04-2026 00:00,365.0,375.6,365.0,369.8,80121,296.24,4428,28597.0,35.69
02-04-2026 00:00,365.9,374.4,350.05,371.35,87712,318.68,4181,31991.0,36.47
01-04-2026 00:00,343.0,370.65,340.0,362.55,101141,363.4,4145,34700.0,34.31
30-03-2026 00:00,344.05,348.4,323.9,329.85,138540,468.28,6820,69845.0,50.42
27-03-2026 00:00,363.85,368.1,345.0,348.6,175440,618.32,5688,124841.0,71.16
25-03-2026 00:00,354.0,381.3,354.0,369.65,98851,369.05,4741,38622.0,39.07
24-03-2026 00:00,359.9,360.9,348.5,356.15,70822,252.61,2884,41006.0,57.9
23-03-2026 00:00,365.0,365.0,341.6,347.2,80002,281.65,4765,43308.0,54.13
20-03-2026 00:00,373.9,385.0,369.75,370.65,53092,199.16,3014,30580.0,57.6
19-03-2026 00:00,380.0,383.5,366.0,370.3,58004,217.5,2873,35031.0,60.39
18-03-2026 00:00,370.15,399.15,370.15,388.3,109502,423.48,5557,48776.0,44.54
17-03-2026 00:00,368.0,378.25,363.0,375.05,66045,245.78,3277,31566.0,47.79
16-03-2026 00:00,368.0,378.65,351.1,367.15,108799,397.79,5342,41048.0,37.73
13-03-2026 00:00,385.7,385.7,362.7,367.65,123647,458.65,5167,60230.0,48.71
12-03-2026 00:00,386.2,392.2,376.35,386.45,55378,212.45,3387,27567.0,49.78
11-03-2026 00:00,396.0,401.7,388.0,389.1,45071,177.16,2606,25127.0,55.75
10-03-2026 00:00,387.5,396.95,386.7,394.1,46565,182.64,2824,19058.0,40.93
