datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,366.1,368.0,360.0,364.65,6473908,23522.7,35309,3648506.0,56.36
24-06-2026 00:00,362.15,365.35,360.55,363.65,5365537,19482.92,50043,3017855.0,56.25
23-06-2026 00:00,371.0,371.3,361.15,361.9,5760725,20967.62,47753,3833954.0,66.55
22-06-2026 00:00,355.35,370.75,355.35,369.85,9413420,34538.2,76971,4254529.0,45.2
19-06-2026 00:00,355.2,357.95,352.8,355.35,2926136,10402.1,31497,1696305.0,57.97
18-06-2026 00:00,359.8,364.85,353.75,358.7,4640982,16661.5,38356,2118002.0,45.64
17-06-2026 00:00,357.5,360.0,354.3,358.75,2690056,9617.35,42510,1427615.0,53.07
16-06-2026 00:00,353.0,358.75,352.4,356.55,3407173,12126.29,32282,1733319.0,50.87
15-06-2026 00:00,353.7,354.45,350.5,351.85,3911854,13803.57,40795,2247205.0,57.45
12-06-2026 00:00,341.25,348.75,339.9,348.05,2634728,9077.29,31393,1210307.0,45.94
11-06-2026 00:00,348.5,349.55,335.7,336.85,5830091,19815.73,64331,2620879.0,44.95
10-06-2026 00:00,352.0,354.8,347.8,348.8,4341800,15234.02,41693,2256696.0,51.98
09-06-2026 00:00,344.25,352.8,343.45,352.1,6850589,23962.52,48681,3839331.0,56.04
08-06-2026 00:00,340.0,346.4,338.45,343.4,11062037,37996.6,58109,6914298.0,62.5
05-06-2026 00:00,336.8,346.8,336.2,343.9,11008792,37727.01,79823,4829507.0,43.87
04-06-2026 00:00,325.65,336.2,325.1,335.2,8844070,29415.78,53791,4803274.0,54.31
03-06-2026 00:00,325.8,327.5,322.6,325.65,4526029,14709.64,40505,1945242.0,42.98
02-06-2026 00:00,329.95,330.4,321.0,325.05,6501043,21096.55,76846,3697996.0,56.88
01-06-2026 00:00,339.65,339.85,331.0,331.4,4076940,13635.92,45429,2022525.0,49.61
29-05-2026 00:00,342.5,343.65,335.0,337.65,10274190,34766.84,74019,6288491.0,61.21
27-05-2026 00:00,337.0,340.65,336.6,339.7,3232759,10945.43,30258,1798328.0,55.63
26-05-2026 00:00,344.0,344.45,336.3,337.6,3913330,13296.1,44743,2073901.0,53.0
25-05-2026 00:00,340.0,345.0,340.0,342.2,3489013,11940.18,31723,1660160.0,47.58
22-05-2026 00:00,335.5,338.0,332.4,336.95,4613260,15504.66,41185,2924434.0,63.39
21-05-2026 00:00,336.4,338.8,333.0,333.7,4807537,16134.51,44209,2730479.0,56.8
20-05-2026 00:00,333.4,335.0,328.15,333.0,3723835,12331.69,43411,1624515.0,43.62
19-05-2026 00:00,333.7,337.15,332.8,334.25,2521354,8446.53,38221,1076463.0,42.69
18-05-2026 00:00,345.0,345.0,331.65,333.7,6159707,20596.39,76119,2823682.0,45.84
15-05-2026 00:00,349.5,350.25,344.2,345.85,3222539,11194.86,48283,1353077.0,41.99
14-05-2026 00:00,349.0,350.55,341.7,348.3,5287354,18318.53,78070,2160577.0,40.86
13-05-2026 00:00,345.45,351.1,342.0,346.55,4765260,16492.28,54735,2132402.0,44.75
12-05-2026 00:00,350.15,353.65,343.55,344.35,5222169,18141.52,66194,2395605.0,45.87
11-05-2026 00:00,358.0,358.8,350.5,351.55,4773107,16847.26,56434,2160827.0,45.27
08-05-2026 00:00,359.75,363.6,356.15,359.4,5059153,18211.52,45187,2186130.0,43.21
07-05-2026 00:00,360.0,367.3,357.6,359.75,7776265,28161.78,60870,3741109.0,48.11
06-05-2026 00:00,358.9,361.1,351.85,359.1,9798302,34809.29,73728,4976679.0,50.79
05-05-2026 00:00,353.5,357.8,351.15,356.4,6734583,23905.26,69723,3397656.0,50.45
04-05-2026 00:00,356.0,361.15,351.4,353.5,5034010,17896.85,54613,2364602.0,46.97
30-04-2026 00:00,361.1,361.1,352.75,354.3,9031675,32103.06,74337,4126875.0,45.69
29-04-2026 00:00,368.05,372.45,358.1,363.55,16891422,61356.12,154635,5916807.0,35.03
28-04-2026 00:00,377.0,383.5,371.5,375.8,10991705,41513.37,121710,5648087.0,51.38
27-04-2026 00:00,376.0,381.95,376.0,378.05,4948268,18731.53,58690,2457634.0,49.67
24-04-2026 00:00,377.0,378.75,369.05,374.0,4834153,18033.61,35815,2148862.0,44.45
23-04-2026 00:00,381.85,386.1,375.85,376.45,6915475,26207.41,56405,4014285.0,58.05
22-04-2026 00:00,380.0,386.25,379.0,383.35,5284649,20282.02,46579,2646505.0,50.08
21-04-2026 00:00,382.7,387.45,380.0,383.35,8374408,32089.75,85300,3941860.0,47.07
20-04-2026 00:00,373.35,384.55,366.45,382.7,12043689,45722.38,79705,5611587.0,46.59
17-04-2026 00:00,364.15,377.7,362.7,373.3,14949943,55710.42,98686,7497158.0,50.15
16-04-2026 00:00,355.0,372.6,354.0,364.2,21771221,79561.35,132768,9002941.0,41.35
15-04-2026 00:00,350.6,356.25,350.15,352.65,5663934,20026.2,46815,3012009.0,53.18
13-04-2026 00:00,341.15,347.85,337.75,347.0,5524253,19019.54,47739,2284440.0,41.35
10-04-2026 00:00,349.0,354.3,345.9,349.8,6438338,22495.68,49052,2915980.0,45.29
09-04-2026 00:00,342.65,349.85,338.7,346.8,6287331,21758.35,51992,2168030.0,34.48
08-04-2026 00:00,344.85,344.85,337.6,342.65,6840941,23325.62,58278,3144238.0,45.96
07-04-2026 00:00,325.9,330.6,325.0,329.35,8232651,27030.18,57426,4077811.0,49.53
06-04-2026 00:00,323.55,328.25,320.2,327.55,6505082,21094.39,48175,3018858.0,46.41
02-04-2026 00:00,317.55,325.95,311.25,324.8,8100516,25777.69,76054,3693065.0,45.59
