datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,2455.0,2518.9,2400.1,2488.3,953580,23641.98,76712,448716.0,47.06
24-06-2026 00:00,2359.1,2450.0,2352.3,2438.0,632548,15265.26,53514,324817.0,51.35
23-06-2026 00:00,2369.0,2427.5,2352.0,2368.2,733775,17486.94,45395,389989.0,53.15
22-06-2026 00:00,2332.8,2374.0,2324.1,2353.3,686792,16133.06,48535,331452.0,48.26
19-06-2026 00:00,2273.8,2329.0,2261.1,2321.1,732638,16836.23,47141,290118.0,39.6
18-06-2026 00:00,2236.0,2365.0,2230.0,2296.2,1681174,38936.39,90059,407605.0,24.25
17-06-2026 00:00,2204.4,2283.5,2195.0,2209.8,753169,16842.72,39219,311719.0,41.39
16-06-2026 00:00,2210.0,2277.7,2178.0,2201.1,1037972,23225.02,70352,284219.0,27.38
15-06-2026 00:00,2209.0,2228.4,2177.0,2187.4,287659,6332.9,23203,127100.0,44.18
12-06-2026 00:00,2155.0,2216.7,2142.1,2168.2,467495,10167.01,30053,209066.0,44.72
11-06-2026 00:00,2168.0,2171.9,2063.9,2128.1,591539,12543.06,49537,321295.0,54.32
10-06-2026 00:00,2177.0,2207.4,2125.1,2167.5,391527,8474.39,35830,188949.0,48.26
09-06-2026 00:00,2149.8,2208.0,2129.9,2177.0,368490,7981.47,30990,144966.0,39.34
08-06-2026 00:00,2179.0,2216.4,2116.0,2154.6,378782,8284.48,34630,204673.0,54.03
05-06-2026 00:00,2234.0,2239.8,2182.1,2223.4,564015,12511.19,40108,278650.0,49.4
04-06-2026 00:00,2166.0,2239.6,2116.1,2223.0,1089810,23943.79,63566,482587.0,44.28
03-06-2026 00:00,2025.0,2169.0,2020.1,2155.9,1528524,32390.36,83308,496037.0,32.45
02-06-2026 00:00,2025.0,2039.0,1964.3,2023.8,412951,8268.01,25362,154482.0,37.41
01-06-2026 00:00,2095.0,2130.0,2015.0,2027.9,911596,18988.97,55964,277279.0,30.42
29-05-2026 00:00,1968.0,2117.0,1961.4,2056.3,1682862,34693.24,89612,513737.0,30.53
27-05-2026 00:00,1988.0,2036.0,1929.9,1951.0,854759,16952.29,43317,266141.0,31.14
26-05-2026 00:00,2005.0,2024.0,1971.0,1977.4,676749,13542.08,28970,243664.0,36.01
25-05-2026 00:00,1979.0,2007.9,1955.1,1989.1,730185,14502.0,34529,271916.0,37.24
22-05-2026 00:00,1950.6,1958.9,1912.1,1947.6,207646,4030.22,13224,78992.0,38.04
21-05-2026 00:00,1987.0,2008.0,1926.0,1945.2,698573,13851.27,33847,322906.0,46.22
20-05-2026 00:00,1914.0,1974.8,1900.0,1962.4,477800,9325.13,21748,196669.0,41.16
19-05-2026 00:00,1956.1,1966.0,1902.9,1918.9,206876,4014.5,17062,90346.0,43.67
18-05-2026 00:00,1919.3,1977.0,1898.1,1947.9,540298,10473.69,44119,207887.0,38.48
15-05-2026 00:00,2045.0,2048.3,1941.3,1953.8,511797,10066.28,33899,181025.0,35.37
14-05-2026 00:00,1984.9,2049.0,1919.0,2037.3,1279108,25624.52,87579,403924.0,31.58
13-05-2026 00:00,1940.0,1982.8,1923.5,1957.3,481539,9419.12,33763,191167.0,39.7
12-05-2026 00:00,1928.0,1996.9,1915.0,1938.8,995583,19541.66,53795,294732.0,29.6
11-05-2026 00:00,1942.3,1980.4,1885.7,1922.0,519865,10013.59,31833,201182.0,38.7
08-05-2026 00:00,1933.9,1984.0,1907.0,1942.4,681938,13209.19,34997,311634.0,45.7
07-05-2026 00:00,1812.1,1960.0,1806.3,1927.0,1321100,24882.69,65906,476591.0,36.08
06-05-2026 00:00,1800.0,1805.0,1768.0,1797.2,339818,6069.56,24747,156338.0,46.01
05-05-2026 00:00,1770.0,1835.0,1752.1,1785.4,1269929,22763.63,63696,288953.0,22.75
04-05-2026 00:00,1610.0,1799.0,1602.3,1775.2,5778040,100415.09,237805,1106828.0,19.16
30-04-2026 00:00,1618.1,1648.0,1525.0,1571.0,1259192,19930.75,68262,294442.0,23.38
29-04-2026 00:00,1616.2,1647.8,1592.0,1626.6,1064165,17257.83,48834,424636.0,39.9
28-04-2026 00:00,1514.9,1620.0,1504.6,1609.0,1843005,29299.08,90730,559558.0,30.36
27-04-2026 00:00,1460.0,1515.9,1451.8,1508.5,276399,4136.96,17185,138554.0,50.13
24-04-2026 00:00,1423.0,1447.9,1400.0,1442.4,243234,3461.38,14308,133857.0,55.03
23-04-2026 00:00,1431.0,1446.7,1407.5,1432.0,495322,7079.31,29816,268223.0,54.15
22-04-2026 00:00,1458.8,1487.7,1445.6,1463.3,263074,3857.01,17521,179373.0,68.18
21-04-2026 00:00,1475.7,1489.0,1453.2,1457.6,254219,3719.54,22082,154134.0,60.63
20-04-2026 00:00,1476.0,1514.0,1460.9,1469.2,362825,5398.59,21688,195651.0,53.92
17-04-2026 00:00,1455.0,1520.0,1454.9,1475.6,513942,7658.76,28574,207227.0,40.32
16-04-2026 00:00,1402.0,1464.4,1382.5,1455.0,439393,6214.17,28012,222744.0,50.69
15-04-2026 00:00,1390.0,1407.0,1378.1,1392.0,296075,4127.42,23787,138620.0,46.82
13-04-2026 00:00,1371.1,1395.7,1346.5,1369.8,178690,2455.07,17912,80844.0,45.24
10-04-2026 00:00,1405.0,1425.3,1390.0,1396.6,132190,1854.3,10515,68103.0,51.52
09-04-2026 00:00,1399.8,1425.0,1371.9,1386.2,144108,2005.57,15601,61758.0,42.86
08-04-2026 00:00,1359.9,1408.9,1330.1,1399.8,272067,3740.79,19879,100576.0,36.97
07-04-2026 00:00,1331.8,1335.0,1312.4,1321.8,62104,823.63,6805,26620.0,42.86
06-04-2026 00:00,1339.9,1341.1,1300.1,1331.8,83805,1106.52,10065,29036.0,34.65
02-04-2026 00:00,1320.2,1335.8,1281.3,1333.6,73602,966.8,8189,28646.0,38.92
01-04-2026 00:00,1340.0,1348.9,1312.8,1333.3,86164,1146.94,8586,30067.0,34.9
30-03-2026 00:00,1300.0,1325.0,1283.6,1293.4,101529,1317.2,16914,49318.0,48.58
27-03-2026 00:00,1342.7,1347.9,1306.0,1314.6,116097,1538.86,14819,59524.0,51.27
25-03-2026 00:00,1370.0,1386.8,1343.0,1346.7,141754,1928.03,11051,68887.0,48.6
24-03-2026 00:00,1364.2,1364.2,1311.6,1350.4,107529,1441.16,11504,45803.0,42.6
23-03-2026 00:00,1379.8,1380.0,1311.1,1316.1,132378,1760.26,12523,56464.0,42.65
20-03-2026 00:00,1405.0,1414.8,1373.3,1391.4,143841,2009.2,14279,74340.0,51.68
19-03-2026 00:00,1425.0,1426.2,1390.6,1396.0,74165,1044.72,8796,30078.0,40.56
18-03-2026 00:00,1399.0,1446.9,1388.5,1438.2,117569,1673.44,9807,47397.0,40.31
17-03-2026 00:00,1371.0,1397.4,1365.7,1393.1,137175,1896.25,13110,54147.0,39.47
16-03-2026 00:00,1339.1,1377.7,1315.0,1369.7,212320,2877.25,19487,68233.0,32.14
13-03-2026 00:00,1420.0,1423.8,1336.3,1343.1,186142,2546.35,14941,79953.0,42.95
12-03-2026 00:00,1412.1,1446.3,1385.8,1433.8,131183,1857.42,14823,54092.0,41.23
11-03-2026 00:00,1461.0,1472.5,1414.7,1424.6,375744,5396.07,31719,188097.0,50.06
10-03-2026 00:00,1519.0,1534.0,1446.9,1455.6,263991,3890.11,19369,106709.0,40.42
09-03-2026 00:00,1500.0,1510.0,1470.0,1491.6,418294,6256.61,27416,270702.0,64.72
06-03-2026 00:00,1499.0,1554.0,1491.3,1528.5,303981,4664.56,27859,131384.0,43.22
05-03-2026 00:00,1492.0,1509.1,1431.1,1500.3,330981,4870.77,32201,128844.0,38.93
04-03-2026 00:00,1510.0,1529.7,1466.0,1487.8,263078,3944.85,23239,117341.0,44.6
02-03-2026 00:00,1525.0,1573.1,1510.0,1531.8,343736,5301.81,23070,127499.0,37.09
27-02-2026 00:00,1539.0,1578.2,1520.8,1562.6,1280544,19982.05,65241,444748.0,34.73
26-02-2026 00:00,1515.5,1555.0,1500.0,1519.2,351133,5359.86,29076,116912.0,33.3
25-02-2026 00:00,1519.0,1540.0,1493.1,1508.2,319627,4860.38,25560,131787.0,41.23
24-02-2026 00:00,1443.2,1513.3,1443.2,1502.0,810875,12065.81,51094,292143.0,36.03
23-02-2026 00:00,1449.0,1475.0,1430.0,1450.7,190802,2764.76,15565,77921.0,40.84
