datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,240.96,245.38,240.05,240.85,8000208,19475.93,53174,1829891.0,22.87
24-06-2026 00:00,239.0,241.25,235.44,239.94,6070613,14494.08,47962,1340464.0,22.08
23-06-2026 00:00,246.19,246.29,239.01,240.13,5117559,12396.42,44263,1834874.0,35.85
22-06-2026 00:00,249.0,250.9,245.0,246.19,12856293,31903.93,70168,3065351.0,23.84
19-06-2026 00:00,246.5,246.5,242.29,243.99,5474304,13368.23,46101,1609843.0,29.41
18-06-2026 00:00,251.02,251.38,245.29,247.58,17276217,42763.63,93411,4349349.0,25.18
17-06-2026 00:00,242.2,246.48,240.06,245.14,7044376,17163.49,54080,1957900.0,27.79
16-06-2026 00:00,241.8,243.59,239.65,241.14,3985588,9623.63,36661,1238793.0,31.08
15-06-2026 00:00,242.0,243.4,239.0,239.7,9213758,22256.96,71614,3379729.0,36.68
12-06-2026 00:00,228.5,234.0,225.1,233.26,7558813,17300.7,60037,2217785.0,29.34
11-06-2026 00:00,226.99,226.99,221.55,222.19,5624143,12577.7,64590,1656716.0,29.46
10-06-2026 00:00,234.5,235.6,227.56,228.17,5304890,12241.13,47900,1651439.0,31.13
09-06-2026 00:00,232.0,236.4,231.25,233.89,11229522,26235.22,78898,2018721.0,17.98
08-06-2026 00:00,231.99,233.89,227.01,228.23,8058747,18593.45,65427,3564966.0,44.24
05-06-2026 00:00,237.02,238.61,233.8,235.61,11139995,26320.62,70705,4649490.0,41.74
04-06-2026 00:00,237.0,240.67,235.85,236.46,12057009,28721.15,70519,4444712.0,36.86
03-06-2026 00:00,241.4,241.52,233.05,239.02,13120281,31052.01,87235,4450161.0,33.92
02-06-2026 00:00,240.0,241.75,232.73,240.75,15130810,35820.82,102327,5148586.0,34.03
01-06-2026 00:00,248.1,249.81,240.8,241.56,9432010,23139.85,81427,3147068.0,33.37
29-05-2026 00:00,251.8,255.2,243.0,245.45,62620879,154105.81,195581,39771417.0,63.51
27-05-2026 00:00,259.75,259.75,251.3,252.3,14271574,36283.84,121543,5835547.0,40.89
26-05-2026 00:00,263.95,266.9,259.0,259.75,21022452,55309.71,128508,6814489.0,32.42
25-05-2026 00:00,274.15,275.85,272.0,272.45,7242974,19792.63,42166,3092206.0,42.69
22-05-2026 00:00,271.5,273.95,267.7,271.1,7245031,19657.79,47094,3000726.0,41.42
21-05-2026 00:00,273.5,275.0,269.35,270.75,5924922,16098.64,51781,2105010.0,35.53
20-05-2026 00:00,270.1,270.65,264.55,269.6,6452689,17285.84,49242,2068797.0,32.06
19-05-2026 00:00,276.85,278.3,270.35,271.55,5336823,14618.78,48820,2044460.0,38.31
18-05-2026 00:00,280.0,280.45,271.1,276.8,5295517,14578.46,51352,1254318.0,23.69
15-05-2026 00:00,287.9,288.5,281.5,283.0,3490324,9887.55,37224,842765.0,24.15
14-05-2026 00:00,287.15,291.35,281.1,287.2,5258586,15058.4,44702,975404.0,18.55
13-05-2026 00:00,283.7,291.35,283.7,285.0,6906724,19824.82,73033,2189747.0,31.7
12-05-2026 00:00,294.0,296.55,282.3,283.3,4640229,13390.19,52736,1447251.0,31.19
11-05-2026 00:00,303.45,303.45,294.25,295.4,4174262,12428.56,45034,1589775.0,38.09
08-05-2026 00:00,308.4,309.35,303.5,305.0,5172774,15822.15,41725,1754713.0,33.92
07-05-2026 00:00,306.5,310.0,303.4,308.7,7369135,22660.54,48993,2157829.0,29.28
06-05-2026 00:00,303.0,306.2,299.3,305.1,5508025,16693.87,36387,1490725.0,27.06
05-05-2026 00:00,296.0,304.6,295.45,300.45,7031295,21143.81,54113,1174743.0,16.71
04-05-2026 00:00,299.4,303.4,292.6,296.65,5166839,15398.21,42883,1083952.0,20.98
30-04-2026 00:00,300.2,301.0,294.0,297.65,5939952,17654.97,48071,1774167.0,29.87
29-04-2026 00:00,310.01,311.45,301.1,302.3,6890706,21045.55,45453,2457022.0,35.66
28-04-2026 00:00,306.0,311.0,305.2,308.63,5498448,16934.84,37812,1678821.0,30.53
27-04-2026 00:00,305.25,310.2,305.01,305.95,6622709,20404.51,48068,1625870.0,24.55
24-04-2026 00:00,308.65,309.88,301.0,303.44,7153014,21781.84,56684,2056169.0,28.75
23-04-2026 00:00,306.5,311.3,304.79,307.21,12434990,38339.61,72600,2341398.0,18.83
