datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,170.72,172.18,169.43,170.79,11464399,19574.21,66490,5135882.0,44.8
24-06-2026 00:00,168.51,174.32,165.36,171.42,15287405,25970.95,83321,3993544.0,26.12
23-06-2026 00:00,174.4,174.4,167.84,169.18,19652451,33586.56,126850,8813312.0,44.85
22-06-2026 00:00,180.1,180.79,172.35,174.85,26161924,45990.9,215513,11597791.0,44.33
19-06-2026 00:00,181.4,183.86,178.33,180.05,20204155,36496.97,86006,9151588.0,45.3
18-06-2026 00:00,179.9,184.0,179.47,182.16,11869764,21603.44,57947,5118085.0,43.12
17-06-2026 00:00,181.79,182.7,177.67,179.58,15721175,28366.8,75105,7187460.0,45.72
16-06-2026 00:00,182.5,183.41,179.12,180.99,20743356,37567.63,67430,11940607.0,57.56
15-06-2026 00:00,185.95,187.87,181.96,182.51,15561828,28673.26,65384,7774337.0,49.96
12-06-2026 00:00,184.9,185.82,180.35,184.09,10126753,18543.37,59309,4313510.0,42.6
11-06-2026 00:00,179.97,183.04,178.71,181.36,14061909,25440.37,63719,5267453.0,37.46
10-06-2026 00:00,186.0,186.77,180.89,181.72,10702500,19597.51,57246,4290542.0,40.09
09-06-2026 00:00,186.0,187.45,184.31,185.99,18783847,34926.77,75954,9417480.0,50.14
08-06-2026 00:00,187.37,187.96,182.51,183.78,25903021,47754.47,98527,10372972.0,40.05
05-06-2026 00:00,197.5,198.2,188.25,190.56,20088924,38560.22,95124,7374343.0,36.71
04-06-2026 00:00,203.4,205.5,195.77,197.31,38406537,76598.4,113437,16715377.0,43.52
03-06-2026 00:00,206.69,206.9,200.71,203.87,10280547,20932.63,61337,3879448.0,37.74
02-06-2026 00:00,203.41,206.6,202.62,205.85,16404349,33678.26,61561,8176544.0,49.84
01-06-2026 00:00,205.2,206.25,202.25,203.69,18107952,36943.68,78124,8113235.0,44.8
29-05-2026 00:00,206.3,207.5,203.17,204.37,19770515,40478.41,64112,11541244.0,58.38
27-05-2026 00:00,205.99,208.45,203.82,206.06,35333674,72746.41,130050,16660294.0,47.15
26-05-2026 00:00,198.35,205.0,198.35,203.84,35728025,72572.16,110129,13302876.0,37.23
25-05-2026 00:00,202.4,203.32,196.11,198.32,22355175,44397.13,94414,10098585.0,45.17
22-05-2026 00:00,197.0,202.16,195.6,201.21,26032718,51944.28,114759,11237889.0,43.17
21-05-2026 00:00,200.06,202.0,195.55,196.53,22316399,44290.9,126344,8390957.0,37.6
20-05-2026 00:00,197.0,199.8,194.3,199.04,21709606,42774.27,137242,9330844.0,42.98
19-05-2026 00:00,192.0,200.29,191.25,199.05,43235882,85088.03,144651,17361574.0,40.16
18-05-2026 00:00,192.0,195.0,188.21,192.73,44414796,85051.65,163314,15132513.0,34.07
15-05-2026 00:00,199.99,200.24,191.55,192.4,24155534,47382.69,116462,8168858.0,33.82
