datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,3416.1,3421.0,3341.0,3355.6,21831,736.53,4599,11143.0,51.04
24-06-2026 00:00,3419.2,3430.0,3377.0,3399.2,35008,1191.01,8194,17494.0,49.97
23-06-2026 00:00,3349.0,3425.0,3342.3,3410.2,34239,1163.12,7824,18603.0,54.33
22-06-2026 00:00,3355.0,3393.0,3330.0,3343.2,16040,537.83,3795,8818.0,54.98
19-06-2026 00:00,3372.5,3385.9,3332.0,3341.0,17691,593.04,3811,9210.0,52.06
18-06-2026 00:00,3330.0,3390.0,3300.0,3370.5,29137,975.4,5447,15350.0,52.68
17-06-2026 00:00,3325.0,3346.0,3290.0,3304.2,22374,741.45,4792,11025.0,49.28
16-06-2026 00:00,3260.7,3339.9,3245.0,3303.7,38621,1272.57,8310,18730.0,48.5
15-06-2026 00:00,3187.0,3309.5,3182.0,3240.7,52649,1714.91,9603,20795.0,39.5
12-06-2026 00:00,3184.0,3184.0,3085.2,3120.9,24030,749.11,4627,13281.0,55.27
11-06-2026 00:00,3170.5,3174.6,3140.0,3145.5,8084,254.98,2169,4589.0,56.77
10-06-2026 00:00,3175.0,3232.3,3166.9,3176.6,14498,463.36,3738,7034.0,48.52
09-06-2026 00:00,3180.0,3199.9,3140.1,3151.8,14000,443.15,4411,8065.0,57.61
08-06-2026 00:00,3189.9,3215.9,3140.0,3163.0,18571,590.0,5379,6966.0,37.51
05-06-2026 00:00,3190.0,3221.9,3172.5,3186.4,9320,297.41,2999,4754.0,51.01
04-06-2026 00:00,3210.0,3221.0,3170.0,3179.5,20575,656.28,4557,11321.0,55.02
03-06-2026 00:00,3178.0,3230.0,3145.3,3212.9,22359,714.35,5739,12786.0,57.19
02-06-2026 00:00,3117.6,3179.5,3090.0,3169.2,25806,811.84,5094,15416.0,59.74
01-06-2026 00:00,3120.0,3183.3,3097.1,3117.6,30591,959.08,6907,16180.0,52.89
29-05-2026 00:00,3223.4,3250.0,3054.0,3097.1,76925,2410.55,14105,49107.0,63.84
27-05-2026 00:00,3207.0,3236.7,3175.0,3223.4,28558,916.3,7812,15778.0,55.25
26-05-2026 00:00,3182.1,3222.1,3182.1,3197.5,18654,597.4,4292,12248.0,65.66
25-05-2026 00:00,3180.0,3199.5,3151.6,3181.9,51527,1634.96,8286,25205.0,48.92
22-05-2026 00:00,3193.0,3218.5,3157.0,3163.2,53541,1701.68,9424,34589.0,64.6
21-05-2026 00:00,3190.0,3215.3,3180.1,3191.0,18215,581.68,2945,9427.0,51.75
20-05-2026 00:00,3230.9,3230.9,3184.6,3190.0,19538,624.5,3845,12904.0,66.05
19-05-2026 00:00,3227.0,3280.0,3208.2,3230.9,18247,591.82,4381,7584.0,41.56
18-05-2026 00:00,3217.9,3230.2,3170.0,3196.9,40454,1290.75,6033,26490.0,65.48
15-05-2026 00:00,3249.0,3285.0,3212.0,3217.9,27319,886.1,4082,16646.0,60.93
14-05-2026 00:00,3255.0,3287.2,3220.0,3240.2,20133,652.27,4155,8442.0,41.93
13-05-2026 00:00,3235.8,3287.6,3235.8,3251.4,20284,662.36,4232,8940.0,44.07
12-05-2026 00:00,3250.0,3278.0,3225.0,3235.8,23698,769.33,5928,13624.0,57.49
11-05-2026 00:00,3330.6,3330.6,3258.0,3267.1,38433,1265.5,7125,19024.0,49.5
08-05-2026 00:00,3393.5,3400.8,3323.0,3330.6,35014,1171.53,5745,22563.0,64.44
07-05-2026 00:00,3419.0,3438.0,3385.1,3390.6,24082,820.42,4165,14157.0,58.79
06-05-2026 00:00,3423.0,3424.0,3392.0,3398.7,55720,1895.58,7507,41967.0,75.32
05-05-2026 00:00,3400.0,3415.0,3390.6,3403.8,12251,416.41,3199,8280.0,67.59
