datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,1040.0,1055.4,1038.55,1045.4,16002360,167844.22,268790,8608658.0,53.8
24-06-2026 00:00,1024.0,1044.5,1020.5,1034.6,11724076,121411.08,161067,6130453.0,52.29
23-06-2026 00:00,1041.0,1045.5,1022.35,1024.2,10411004,107334.4,162889,4751867.0,45.64
22-06-2026 00:00,1038.0,1043.0,1033.6,1040.75,6209440,64453.81,139617,3514102.0,56.59
19-06-2026 00:00,1042.0,1042.0,1029.3,1035.1,9099878,94149.0,116893,5638770.0,61.97
18-06-2026 00:00,1027.9,1045.7,1024.45,1042.7,11048009,114721.86,181508,4757877.0,43.07
17-06-2026 00:00,1017.0,1028.1,1013.45,1026.5,8190062,83623.76,149867,4627035.0,56.5
16-06-2026 00:00,1023.8,1026.55,1007.4,1015.3,9693677,98295.56,190586,4962421.0,51.19
15-06-2026 00:00,1034.0,1034.0,1018.5,1020.85,12463437,127841.9,230802,7322784.0,58.75
12-06-2026 00:00,1018.0,1018.7,1004.35,1017.15,11081119,112150.18,193711,5804492.0,52.38
11-06-2026 00:00,998.1,1009.4,993.0,1000.7,13773978,138204.95,195579,8102967.0,58.83
10-06-2026 00:00,1002.7,1012.4,999.5,1003.25,19122317,192483.43,215158,13087660.0,68.44
09-06-2026 00:00,985.0,1009.0,983.0,1002.7,22142480,220986.42,270891,12680438.0,57.27
08-06-2026 00:00,966.0,988.65,965.15,981.95,12895416,126546.06,452384,6656604.0,51.62
05-06-2026 00:00,980.0,992.6,970.6,977.7,20955539,205733.52,288991,9146984.0,43.65
04-06-2026 00:00,969.9,985.8,961.1,979.25,18875883,184596.46,341904,9702135.0,51.4
03-06-2026 00:00,953.75,974.0,937.2,970.45,27947005,265095.99,251452,14338937.0,51.31
02-06-2026 00:00,950.95,961.3,939.9,956.65,15911760,151353.7,254830,6762630.0,42.5
01-06-2026 00:00,966.25,970.25,950.1,954.1,11118975,106658.83,170313,5101558.0,45.88
29-05-2026 00:00,967.8,973.7,960.3,964.4,22292535,215233.52,258939,15418901.0,69.17
27-05-2026 00:00,969.8,975.9,966.6,967.8,8111259,78673.78,187071,3174652.0,39.14
26-05-2026 00:00,969.9,978.8,962.1,968.5,16269800,157909.49,171204,8470161.0,52.06
25-05-2026 00:00,959.9,972.5,957.5,969.6,10934747,105336.29,182636,6186621.0,56.58
