datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,216.0,227.95,214.49,223.36,187505,420.09,2993,132969.0,70.91
24-06-2026 00:00,218.9,220.42,209.96,213.86,115009,245.43,4555,73593.0,63.99
23-06-2026 00:00,224.99,226.99,217.25,218.08,57993,128.02,2061,37662.0,64.94
22-06-2026 00:00,228.5,228.5,219.59,223.78,88444,196.46,2366,48825.0,55.2
19-06-2026 00:00,220.4,232.36,219.1,225.76,47803,107.89,1794,19869.0,41.56
18-06-2026 00:00,224.82,224.82,218.3,220.71,93255,206.16,1916,57778.0,61.96
17-06-2026 00:00,223.9,228.3,219.0,222.96,79970,177.78,2017,38221.0,47.79
16-06-2026 00:00,228.9,228.9,219.0,221.04,101591,226.43,2104,50147.0,49.36
15-06-2026 00:00,232.9,233.98,226.0,226.53,45099,103.25,835,26040.0,57.74
12-06-2026 00:00,229.9,229.9,226.21,227.81,7611,17.3,282,5321.0,69.91
11-06-2026 00:00,227.41,228.88,224.11,225.05,13855,31.3,543,8220.0,59.33
10-06-2026 00:00,229.65,234.3,226.1,227.32,14693,33.61,303,10621.0,72.29
09-06-2026 00:00,230.0,236.96,228.01,229.89,9802,22.5,404,4592.0,46.85
08-06-2026 00:00,231.9,233.26,226.03,228.77,21131,48.61,434,14036.0,66.42
05-06-2026 00:00,228.02,233.07,227.39,231.16,29286,67.26,755,17616.0,60.15
04-06-2026 00:00,229.8,231.95,226.44,227.39,17035,38.87,493,11200.0,65.75
03-06-2026 00:00,235.0,235.0,226.02,229.37,24808,57.04,1087,14257.0,57.47
02-06-2026 00:00,239.86,239.86,230.62,232.48,17848,41.65,448,11448.0,64.14
01-06-2026 00:00,234.0,241.79,233.1,234.89,24235,57.49,524,9085.0,37.49
29-05-2026 00:00,237.1,240.0,230.95,233.85,11399,26.81,343,8501.0,74.58
27-05-2026 00:00,235.65,240.0,233.05,237.15,13759,32.5,481,8900.0,64.68
26-05-2026 00:00,236.1,237.75,231.6,232.85,11456,26.81,419,9045.0,78.95
25-05-2026 00:00,236.0,239.0,231.3,235.9,21287,49.88,604,11892.0,55.87
22-05-2026 00:00,234.65,237.75,230.55,232.5,12534,29.25,478,8126.0,64.83
21-05-2026 00:00,236.9,237.8,231.0,235.85,12414,29.02,689,6488.0,52.26
20-05-2026 00:00,232.9,233.95,231.1,232.75,16324,37.98,444,10694.0,65.51
19-05-2026 00:00,232.95,241.45,230.7,235.05,39335,92.77,974,20446.0,51.98
18-05-2026 00:00,237.0,237.0,223.0,229.95,41625,94.72,1211,22045.0,52.96
15-05-2026 00:00,238.0,240.0,229.5,231.75,29388,68.68,843,16894.0,57.49
14-05-2026 00:00,239.3,246.3,228.65,235.15,48895,114.81,1893,24190.0,49.47
13-05-2026 00:00,252.9,255.3,237.0,238.65,70462,170.92,2576,39831.0,56.53
12-05-2026 00:00,267.2,274.6,250.0,254.15,67197,174.37,1412,22164.0,32.98
11-05-2026 00:00,266.0,266.95,259.1,264.3,18978,49.68,734,11463.0,60.4
08-05-2026 00:00,273.7,274.65,264.15,265.05,18940,50.65,990,14034.0,74.1
07-05-2026 00:00,272.0,274.0,267.4,272.6,10746,29.11,544,6761.0,62.92
06-05-2026 00:00,268.1,270.95,264.2,268.5,9265,24.74,521,5824.0,62.86
05-05-2026 00:00,273.3,273.5,265.3,266.85,14765,39.51,358,10525.0,71.28
04-05-2026 00:00,274.0,275.45,267.0,271.2,17250,46.73,762,7876.0,45.66
