datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,446.0,455.85,433.0,435.4,604756,2677.81,19025,173407.0,28.67
24-06-2026 00:00,442.0,480.95,431.5,441.5,8866092,40704.74,185752,879067.0,9.91
23-06-2026 00:00,431.4,434.55,426.3,429.15,104863,451.49,8247,70035.0,66.79
22-06-2026 00:00,429.75,437.4,428.0,433.0,69655,302.15,5391,32726.0,46.98
19-06-2026 00:00,426.7,441.0,422.1,429.75,221039,955.32,10914,110822.0,50.14
18-06-2026 00:00,428.4,430.9,422.35,424.2,35661,151.86,3527,20568.0,57.68
17-06-2026 00:00,423.4,433.65,423.2,426.4,74781,320.21,5277,41500.0,55.5
16-06-2026 00:00,425.95,437.5,420.1,423.4,121562,520.07,8696,73663.0,60.6
15-06-2026 00:00,421.0,432.5,418.8,427.75,100650,429.91,7799,44764.0,44.47
12-06-2026 00:00,432.0,437.2,418.4,421.15,154289,654.6,12296,83805.0,54.32
11-06-2026 00:00,419.25,444.3,415.45,428.65,376563,1623.83,31209,148932.0,39.55
10-06-2026 00:00,421.2,428.0,409.2,415.45,119493,502.73,9455,73642.0,61.63
09-06-2026 00:00,410.0,427.45,408.5,421.2,123712,522.2,10242,52961.0,42.81
08-06-2026 00:00,407.7,409.7,397.05,406.5,151622,615.91,13906,95485.0,62.98
05-06-2026 00:00,430.0,439.65,409.9,417.05,493627,2108.9,25917,212902.0,43.13
04-06-2026 00:00,422.0,430.85,412.55,424.0,279699,1190.67,14121,146281.0,52.3
03-06-2026 00:00,413.0,425.45,399.2,419.4,428422,1797.55,19360,219701.0,51.28
02-06-2026 00:00,403.75,418.95,397.6,412.5,55768,226.64,4631,27723.0,49.71
01-06-2026 00:00,406.0,423.9,396.05,407.6,427620,1762.04,20178,207837.0,48.6
29-05-2026 00:00,391.25,412.8,391.25,402.8,100522,407.18,6718,41816.0,41.6
27-05-2026 00:00,398.4,405.8,391.0,394.9,38917,154.41,3668,21660.0,55.66
26-05-2026 00:00,389.4,407.0,385.7,398.4,68243,273.29,5265,34735.0,50.9
25-05-2026 00:00,392.55,398.5,384.5,389.65,56512,219.57,3052,39654.0,70.17
22-05-2026 00:00,391.8,395.0,384.95,392.55,30363,118.53,3006,15500.0,51.05
21-05-2026 00:00,394.1,399.5,388.3,391.8,54536,215.12,5146,30626.0,56.16
20-05-2026 00:00,400.0,407.2,393.2,395.0,43612,173.99,3806,19604.0,44.95
19-05-2026 00:00,390.0,409.5,390.0,404.25,110059,444.15,7644,61446.0,55.83
18-05-2026 00:00,384.4,398.0,377.35,394.6,135295,529.52,6784,74364.0,54.96
15-05-2026 00:00,387.4,398.0,385.85,390.25,69089,270.57,5876,33526.0,48.53
14-05-2026 00:00,377.9,390.0,373.05,385.45,50789,193.91,4154,31102.0,61.24
13-05-2026 00:00,373.45,380.0,371.0,373.95,44452,166.36,3551,25360.0,57.05
12-05-2026 00:00,382.1,386.35,368.4,373.45,53823,203.51,6122,31658.0,58.82
11-05-2026 00:00,390.25,397.0,378.2,384.85,68552,264.21,6932,40229.0,58.68
08-05-2026 00:00,400.4,409.25,386.0,390.25,127757,508.23,6240,61456.0,48.1
07-05-2026 00:00,397.45,403.0,395.25,398.15,68500,273.25,5536,35046.0,51.16
06-05-2026 00:00,402.05,402.05,387.75,391.5,107222,421.32,6014,60909.0,56.81
05-05-2026 00:00,400.5,406.2,394.55,402.1,312024,1249.52,11662,104251.0,33.41
04-05-2026 00:00,369.9,418.85,367.0,400.5,3632313,14724.2,66685,571920.0,15.75
30-04-2026 00:00,361.35,369.0,352.0,355.45,63012,227.93,3693,34649.0,54.99
29-04-2026 00:00,351.0,369.9,347.05,366.85,77956,283.91,4124,50751.0,65.1
28-04-2026 00:00,339.95,359.2,339.0,355.95,72711,255.23,4496,39807.0,54.75
27-04-2026 00:00,337.0,343.25,335.7,342.15,19513,66.38,2791,14292.0,73.24
24-04-2026 00:00,329.6,338.0,327.3,335.7,47314,157.88,4316,30943.0,65.4
23-04-2026 00:00,338.0,342.95,328.4,329.6,37388,124.92,2923,27360.0,73.18
22-04-2026 00:00,337.0,344.0,333.75,337.45,53068,180.05,5728,32848.0,61.9
21-04-2026 00:00,322.7,340.75,322.7,337.0,106139,356.42,6808,64010.0,60.31
20-04-2026 00:00,320.0,332.4,316.2,326.35,37169,120.24,2604,20696.0,55.68
17-04-2026 00:00,324.0,325.8,320.05,323.4,18565,60.04,1740,11294.0,60.83
16-04-2026 00:00,322.9,330.0,318.3,319.6,50199,163.03,2908,27392.0,54.57
15-04-2026 00:00,307.95,320.0,306.6,318.3,55946,176.13,4086,37129.0,66.37
13-04-2026 00:00,302.0,308.95,299.0,304.65,23057,70.4,2408,14827.0,64.31
10-04-2026 00:00,306.0,306.0,300.65,302.75,26992,81.61,2532,18496.0,68.52
09-04-2026 00:00,294.05,304.95,294.05,301.35,35963,108.18,3028,21086.0,58.63
08-04-2026 00:00,297.0,302.5,290.05,293.8,20962,61.48,1987,13070.0,62.35
07-04-2026 00:00,286.0,290.75,285.35,288.2,12154,35.06,1726,8072.0,66.41
06-04-2026 00:00,292.15,293.45,279.9,289.05,61833,177.32,3299,33272.0,53.81
02-04-2026 00:00,284.05,289.1,280.05,287.85,32406,92.81,1907,18021.0,55.61
01-04-2026 00:00,295.0,295.0,284.05,287.4,42228,122.34,3163,24131.0,57.14
30-03-2026 00:00,285.05,288.1,279.5,280.3,87545,248.59,5116,50534.0,57.72
27-03-2026 00:00,280.0,296.7,275.9,288.65,157313,452.31,7864,99159.0,63.03
25-03-2026 00:00,278.0,288.05,278.0,285.9,79095,223.48,4189,47557.0,60.13
24-03-2026 00:00,267.9,285.0,262.5,281.05,116585,319.98,6260,63587.0,54.54
23-03-2026 00:00,271.15,273.75,257.05,263.75,184063,484.59,7779,116095.0,63.07
20-03-2026 00:00,278.0,278.0,272.05,273.65,47405,130.39,4373,32970.0,69.55
19-03-2026 00:00,276.3,280.0,272.6,278.05,87445,242.19,5062,68713.0,78.58
18-03-2026 00:00,272.25,281.0,272.25,279.55,43652,121.57,2403,30033.0,68.8
17-03-2026 00:00,277.8,278.7,271.55,272.1,33075,90.86,2949,24853.0,75.14
16-03-2026 00:00,279.95,281.25,275.1,277.25,29318,81.35,2644,13978.0,47.68
13-03-2026 00:00,289.0,289.0,278.0,279.4,91192,256.78,5270,66780.0,73.23
12-03-2026 00:00,289.0,293.35,284.0,288.0,93350,269.57,4992,70125.0,75.12
11-03-2026 00:00,290.25,295.0,288.0,291.5,53043,154.64,3516,39181.0,73.87
