datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,4605.0,4660.0,4530.5,4627.1,101340,4679.57,18901,61877.0,61.06
24-06-2026 00:00,4493.7,4610.0,4493.7,4600.3,60301,2764.34,16227,37810.0,62.7
23-06-2026 00:00,4539.2,4604.9,4455.9,4493.7,44608,2021.07,8715,23795.0,53.34
22-06-2026 00:00,4500.0,4592.0,4497.1,4539.2,47309,2148.67,9382,25762.0,54.45
19-06-2026 00:00,4400.0,4512.0,4395.2,4475.5,114567,5120.74,19568,62246.0,54.33
18-06-2026 00:00,4456.4,4465.0,4375.3,4409.6,69459,3063.23,13545,38144.0,54.92
17-06-2026 00:00,4467.7,4524.7,4412.1,4475.5,64683,2888.57,14366,39775.0,61.49
16-06-2026 00:00,4476.9,4526.4,4432.3,4467.7,44215,1978.1,10238,21916.0,49.57
15-06-2026 00:00,4275.0,4528.3,4251.3,4466.9,255346,11399.18,37417,74214.0,29.06
12-06-2026 00:00,4139.9,4215.0,4115.0,4159.0,66707,2772.03,8584,37706.0,56.52
11-06-2026 00:00,4175.0,4193.9,4100.0,4112.3,90548,3741.13,19868,57084.0,63.04
10-06-2026 00:00,4199.0,4302.0,4140.0,4203.2,188882,8044.45,22440,143248.0,75.84
09-06-2026 00:00,4081.0,4199.9,4081.0,4178.6,66447,2772.41,15771,37929.0,57.08
08-06-2026 00:00,4090.0,4135.0,4000.0,4069.1,80137,3266.1,20406,41279.0,51.51
05-06-2026 00:00,4109.0,4200.0,4089.9,4105.4,131572,5446.96,26064,74427.0,56.57
04-06-2026 00:00,4169.5,4218.9,4090.0,4103.1,105514,4341.92,25528,57986.0,54.96
03-06-2026 00:00,4245.0,4250.0,4115.0,4169.5,83380,3482.72,16733,48276.0,57.9
02-06-2026 00:00,4210.0,4305.0,4170.2,4250.2,97366,4143.86,15645,52839.0,54.27
01-06-2026 00:00,4226.1,4287.5,4150.0,4212.8,88619,3749.15,16464,50836.0,57.36
29-05-2026 00:00,4392.9,4392.9,4115.0,4188.9,425370,17874.51,37544,288367.0,67.79
27-05-2026 00:00,4326.5,4363.9,4272.5,4354.6,60624,2622.22,12388,31879.0,52.58
26-05-2026 00:00,4429.6,4507.0,4302.0,4312.8,147704,6473.86,19971,90363.0,61.18
25-05-2026 00:00,4523.0,4533.9,4363.7,4385.2,112023,4953.15,21880,63009.0,56.25
22-05-2026 00:00,4485.0,4529.9,4425.0,4493.5,44437,1988.36,8514,26448.0,59.52
21-05-2026 00:00,4525.0,4543.0,4466.1,4483.4,21206,954.14,4708,10070.0,47.49
20-05-2026 00:00,4536.0,4536.0,4431.0,4480.6,82753,3691.37,12214,54795.0,66.22
19-05-2026 00:00,4668.0,4668.0,4525.0,4558.6,65407,2988.99,14091,36410.0,55.67
18-05-2026 00:00,4575.0,4684.5,4500.0,4658.4,43032,1986.7,11611,26268.0,61.04
15-05-2026 00:00,4625.0,4659.5,4582.0,4608.1,18202,841.08,6753,9186.0,50.47
14-05-2026 00:00,4563.5,4681.6,4534.3,4628.0,37996,1760.25,11365,20098.0,52.9
13-05-2026 00:00,4560.0,4618.3,4510.0,4534.3,50495,2298.05,9265,27935.0,55.32
12-05-2026 00:00,4725.0,4747.7,4547.3,4599.2,57548,2665.03,12930,33855.0,58.83
11-05-2026 00:00,4747.9,4766.0,4651.4,4709.8,52941,2494.45,11692,31311.0,59.14
08-05-2026 00:00,4738.0,4790.0,4693.3,4746.4,59526,2824.27,9520,32963.0,55.38
07-05-2026 00:00,4740.0,4781.8,4671.3,4739.0,46128,2185.65,8652,27827.0,60.33
06-05-2026 00:00,4648.0,4750.0,4602.5,4699.7,47013,2203.03,9352,23312.0,49.59
05-05-2026 00:00,4548.0,4640.0,4464.6,4593.8,53125,2427.26,12405,20847.0,39.24
04-05-2026 00:00,4589.8,4663.4,4511.0,4557.7,64969,2976.57,15574,32119.0,49.44
30-04-2026 00:00,4626.0,4638.9,4497.0,4534.8,95500,4329.91,16964,53559.0,56.08
29-04-2026 00:00,4585.0,4653.0,4563.6,4631.2,46245,2136.61,10036,25939.0,56.09
28-04-2026 00:00,4670.1,4712.6,4555.0,4574.6,70565,3253.83,15604,39399.0,55.83
27-04-2026 00:00,4765.0,4775.5,4660.1,4670.1,82517,3875.47,15294,50539.0,61.25
24-04-2026 00:00,4820.0,4889.9,4721.0,4754.9,42686,2047.02,8360,21603.0,50.61
23-04-2026 00:00,4891.0,4916.9,4811.3,4864.4,25629,1245.41,6194,11713.0,45.7
22-04-2026 00:00,4956.0,4984.4,4883.0,4902.1,37800,1859.53,8324,18061.0,47.78
21-04-2026 00:00,5014.0,5036.7,4942.5,4974.9,48437,2416.9,8704,26724.0,55.17
20-04-2026 00:00,5000.0,5038.8,4953.9,5015.0,48047,2405.19,8782,28380.0,59.07
17-04-2026 00:00,4993.3,5036.0,4940.0,5028.8,35744,1791.22,8095,20941.0,58.59
16-04-2026 00:00,4926.0,5050.0,4914.0,4993.3,65001,3244.88,13374,28464.0,43.79
15-04-2026 00:00,4900.0,4932.4,4802.1,4914.8,56749,2761.57,12045,24292.0,42.81
13-04-2026 00:00,4850.0,4899.8,4775.0,4803.5,58588,2818.69,15266,33039.0,56.39
10-04-2026 00:00,4925.8,4991.9,4851.0,4932.5,145908,7173.35,16723,103365.0,70.84
09-04-2026 00:00,4910.3,4959.7,4780.1,4895.2,90005,4398.49,19368,47600.0,52.89
08-04-2026 00:00,4751.1,4979.5,4705.0,4900.0,92630,4528.68,20514,50787.0,54.83
07-04-2026 00:00,4510.5,4690.3,4510.5,4673.4,59239,2738.84,14624,30307.0,51.16
06-04-2026 00:00,4538.0,4649.5,4460.9,4598.0,68484,3121.37,18148,28839.0,42.11
02-04-2026 00:00,4511.3,4579.0,4387.1,4538.0,76163,3424.89,15614,40647.0,53.37
01-04-2026 00:00,4485.0,4620.5,4413.2,4593.4,95738,4352.48,18636,49922.0,52.14
30-03-2026 00:00,4500.0,4525.0,4317.0,4375.5,166789,7337.72,22262,50666.0,30.38
27-03-2026 00:00,4767.0,4767.0,4521.0,4581.5,83768,3858.13,23369,41027.0,48.98
25-03-2026 00:00,4678.5,4817.0,4632.0,4767.0,33899,1614.93,10714,14991.0,44.22
24-03-2026 00:00,4570.5,4712.5,4547.0,4649.5,55428,2579.89,14634,21736.0,39.21
23-03-2026 00:00,4615.0,4646.0,4505.0,4527.0,87263,3969.06,19868,44131.0,50.57
20-03-2026 00:00,4826.5,4889.5,4648.0,4678.0,165943,7775.63,34671,93216.0,56.17
19-03-2026 00:00,4950.0,4988.5,4771.0,4808.5,54147,2635.57,16323,24729.0,45.67
18-03-2026 00:00,5005.0,5050.0,4879.0,5000.0,119539,5928.53,26358,57049.0,47.72
17-03-2026 00:00,5094.0,5094.0,4906.5,5015.5,90431,4507.23,19442,47107.0,52.09
16-03-2026 00:00,5052.5,5199.0,5015.0,5081.5,64194,3263.27,19022,32431.0,50.52
13-03-2026 00:00,5347.5,5347.5,5051.5,5138.5,42323,2196.89,12849,21062.0,49.76
12-03-2026 00:00,5251.0,5365.0,5160.5,5347.5,55261,2930.99,13485,27155.0,49.14
11-03-2026 00:00,5460.0,5496.5,5285.0,5324.5,35073,1879.23,11703,16894.0,48.17
10-03-2026 00:00,5436.5,5561.0,5350.5,5457.0,62867,3443.94,18242,27873.0,44.34
09-03-2026 00:00,5241.0,5533.5,5168.0,5413.5,89328,4737.4,19765,40417.0,45.25
06-03-2026 00:00,5568.5,5620.0,5320.0,5356.0,53270,2899.17,14761,28409.0,53.33
05-03-2026 00:00,5411.5,5620.0,5372.0,5581.5,97949,5405.81,21227,46737.0,47.72
04-03-2026 00:00,5230.0,5642.0,5094.5,5440.0,170935,9300.63,39606,55178.0,32.28
02-03-2026 00:00,5295.0,5421.5,5160.0,5301.0,88451,4669.5,20804,40892.0,46.23
27-02-2026 00:00,5470.5,5599.5,5391.5,5509.5,201800,11136.16,30569,129638.0,64.24
26-02-2026 00:00,5519.0,5535.5,5394.0,5493.5,64488,3535.65,16583,30473.0,47.25
25-02-2026 00:00,5401.0,5555.0,5320.0,5496.0,85758,4653.77,21580,41682.0,48.6
24-02-2026 00:00,5309.0,5525.0,5200.0,5467.0,65026,3488.07,18631,32457.0,49.91
