datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,525.0,532.95,519.0,520.05,285390,1496.4,10201,110224.0,38.62
24-06-2026 00:00,519.75,527.95,518.2,521.35,263445,1377.46,9636,106782.0,40.53
23-06-2026 00:00,523.5,529.9,517.3,519.75,217099,1134.01,9085,100869.0,46.46
22-06-2026 00:00,524.9,530.9,519.8,522.0,213639,1121.47,8401,82543.0,38.64
19-06-2026 00:00,516.95,524.5,509.25,521.35,406502,2104.68,11849,101013.0,24.85
18-06-2026 00:00,533.0,533.0,520.95,525.5,270777,1426.85,7583,100601.0,37.15
17-06-2026 00:00,533.0,542.9,526.0,528.95,317494,1695.0,10134,130715.0,41.17
16-06-2026 00:00,523.7,532.95,521.7,529.75,367222,1936.71,11565,148428.0,40.42
15-06-2026 00:00,521.5,529.9,519.1,521.7,347779,1822.96,11027,146629.0,42.16
12-06-2026 00:00,505.55,516.0,503.35,513.7,260622,1329.53,10423,106076.0,40.7
11-06-2026 00:00,507.8,516.4,499.0,500.65,243887,1236.42,9496,94240.0,38.64
10-06-2026 00:00,518.0,529.45,507.1,510.6,374076,1942.01,13900,133377.0,35.66
09-06-2026 00:00,508.4,520.95,503.8,518.45,249786,1279.86,9966,89166.0,35.7
08-06-2026 00:00,511.0,514.15,501.0,502.6,372813,1892.95,9616,223801.0,60.03
05-06-2026 00:00,523.65,529.95,514.3,517.15,328686,1715.94,10969,110362.0,33.58
04-06-2026 00:00,525.7,525.7,515.15,517.75,507720,2635.52,16770,213356.0,42.02
03-06-2026 00:00,542.7,542.7,518.55,528.3,625073,3285.87,19466,264259.0,42.28
02-06-2026 00:00,513.4,546.9,512.5,543.05,1048296,5643.64,28276,329975.0,31.48
01-06-2026 00:00,527.4,543.45,512.0,517.45,776430,4129.86,27160,231138.0,29.77
29-05-2026 00:00,522.85,535.0,518.2,525.4,444397,2343.63,18242,197579.0,44.46
27-05-2026 00:00,533.7,533.7,521.05,522.85,171859,902.88,6687,93960.0,54.67
26-05-2026 00:00,521.0,543.5,518.15,529.8,538836,2879.2,15348,173766.0,32.25
25-05-2026 00:00,520.0,531.85,517.8,521.2,298342,1562.6,10299,117665.0,39.44
22-05-2026 00:00,516.05,524.3,511.7,518.6,306591,1587.89,11743,116860.0,38.12
21-05-2026 00:00,523.35,528.8,514.25,516.05,311280,1621.75,11869,120567.0,38.73
