datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,755.0,775.0,724.7,746.2,7573572,57169.72,143664,1136782.0,15.01
24-06-2026 00:00,728.0,732.95,724.2,728.35,246340,1791.0,8411,115656.0,46.95
23-06-2026 00:00,732.7,739.5,725.2,730.65,370899,2717.33,12633,139450.0,37.6
22-06-2026 00:00,734.95,735.1,723.65,733.45,667935,4880.57,18329,317199.0,47.49
19-06-2026 00:00,732.0,743.6,723.3,729.15,449003,3265.18,14025,216818.0,48.29
18-06-2026 00:00,732.0,735.25,725.5,732.65,352506,2572.93,13433,139821.0,39.66
17-06-2026 00:00,731.0,739.8,727.0,729.0,595366,4368.68,12202,320579.0,53.85
16-06-2026 00:00,735.7,738.8,724.45,729.45,716690,5228.01,21804,284685.0,39.72
15-06-2026 00:00,752.3,754.0,730.15,735.1,696660,5158.98,17536,391627.0,56.21
12-06-2026 00:00,755.0,762.9,741.9,745.95,949724,7131.33,26883,272774.0,28.72
11-06-2026 00:00,720.4,762.35,715.15,741.2,2660072,19749.15,60047,773099.0,29.06
10-06-2026 00:00,717.1,755.9,715.05,720.4,1797412,13292.92,52588,565288.0,31.45
09-06-2026 00:00,719.1,734.0,712.5,726.45,548435,3954.42,17896,251054.0,45.78
08-06-2026 00:00,717.1,739.95,708.0,718.0,767264,5566.96,25617,242734.0,31.64
05-06-2026 00:00,725.0,728.75,709.2,719.3,439098,3157.37,15397,134724.0,30.68
04-06-2026 00:00,719.05,727.8,716.3,720.5,262176,1894.44,11450,116386.0,44.39
03-06-2026 00:00,738.1,740.0,715.0,719.75,461010,3328.96,16283,192327.0,41.72
02-06-2026 00:00,733.65,740.1,727.0,738.1,354589,2609.28,11606,132988.0,37.5
01-06-2026 00:00,758.0,764.85,731.5,734.0,433800,3242.69,18321,143835.0,33.16
29-05-2026 00:00,771.3,775.3,755.0,758.0,447541,3423.97,16422,206326.0,46.1
