datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,1104.9,1135.3,1099.8,1131.3,2959240,33185.22,92145,1663324.0,56.21
24-06-2026 00:00,1105.0,1109.1,1092.0,1098.1,1405228,15445.31,47761,803399.0,57.17
23-06-2026 00:00,1118.0,1126.7,1101.1,1103.8,1416080,15729.11,66589,918037.0,64.83
22-06-2026 00:00,1111.5,1117.5,1105.2,1112.9,889468,9880.42,37446,516200.0,58.03
19-06-2026 00:00,1105.0,1118.5,1103.2,1111.5,1309050,14543.55,32381,664482.0,50.76
18-06-2026 00:00,1124.6,1132.0,1106.1,1111.4,871582,9713.39,34470,521706.0,59.86
17-06-2026 00:00,1126.0,1134.2,1117.9,1124.5,931423,10480.4,41149,486416.0,52.22
16-06-2026 00:00,1111.2,1135.8,1107.6,1130.9,2602426,29343.96,57252,985540.0,37.87
15-06-2026 00:00,1109.7,1117.0,1097.5,1100.4,1264668,13962.07,34182,714074.0,56.46
12-06-2026 00:00,1120.8,1120.8,1096.7,1100.7,1455068,16040.39,40058,854953.0,58.76
11-06-2026 00:00,1108.0,1119.0,1105.0,1108.6,737748,8195.2,30408,351962.0,47.71
10-06-2026 00:00,1103.9,1134.3,1101.0,1108.0,2202915,24592.17,54586,912641.0,41.43
09-06-2026 00:00,1117.0,1117.0,1093.6,1106.5,757420,8356.29,44717,328695.0,43.4
08-06-2026 00:00,1115.0,1124.6,1103.3,1107.0,762825,8493.78,35439,419069.0,54.94
05-06-2026 00:00,1149.8,1156.0,1129.0,1130.9,998276,11368.29,40775,465241.0,46.6
04-06-2026 00:00,1135.0,1163.4,1135.0,1149.3,1711734,19717.24,50485,910253.0,53.18
03-06-2026 00:00,1160.0,1163.9,1140.5,1144.0,1872463,21530.79,42292,988676.0,52.8
02-06-2026 00:00,1126.5,1164.1,1124.2,1154.7,2873292,32924.73,86971,1608590.0,55.98
01-06-2026 00:00,1178.4,1182.5,1140.4,1143.3,2075188,23913.81,50879,1394820.0,67.21
29-05-2026 00:00,1204.6,1211.0,1168.4,1178.4,9836874,116333.77,95459,7236380.0,73.56
27-05-2026 00:00,1190.0,1208.0,1184.7,1204.6,1608027,19297.04,40994,977438.0,60.78
26-05-2026 00:00,1191.7,1200.2,1174.5,1187.6,1766780,21008.47,43572,981969.0,55.58
25-05-2026 00:00,1191.0,1198.6,1181.5,1187.2,1811755,21515.51,36815,1124121.0,62.05
22-05-2026 00:00,1198.0,1204.0,1189.1,1191.8,1808205,21620.26,56794,1224676.0,67.73
21-05-2026 00:00,1211.2,1217.4,1192.0,1194.9,1443629,17307.65,43022,910699.0,63.08
20-05-2026 00:00,1207.1,1216.6,1194.2,1208.7,1718132,20751.89,37637,1134270.0,66.02
19-05-2026 00:00,1231.0,1236.6,1206.4,1210.9,2163846,26375.76,51049,1403572.0,64.86
18-05-2026 00:00,1230.7,1233.4,1215.1,1231.0,1494098,18314.12,40702,829816.0,55.54
15-05-2026 00:00,1228.8,1255.1,1225.8,1234.0,2755516,34111.03,55344,1727068.0,62.68
14-05-2026 00:00,1241.0,1250.0,1224.3,1228.3,1390903,17163.66,40336,788473.0,56.69
13-05-2026 00:00,1249.1,1277.9,1233.0,1235.0,2412317,30103.8,70580,1412991.0,58.57
12-05-2026 00:00,1269.7,1282.7,1250.4,1253.0,3357918,42458.99,117126,1532566.0,45.64
11-05-2026 00:00,1202.2,1279.4,1200.0,1271.0,19203071,238587.94,367928,6556466.0,34.14
08-05-2026 00:00,1155.0,1194.0,1155.0,1176.2,3672201,43170.03,89892,1763552.0,48.02
07-05-2026 00:00,1152.2,1162.2,1135.6,1151.7,1465163,16826.96,48978,827395.0,56.47
06-05-2026 00:00,1160.0,1166.9,1138.9,1152.2,1566762,18031.76,49270,996631.0,63.61
05-05-2026 00:00,1161.2,1166.8,1149.0,1153.5,1065572,12294.31,53775,610074.0,57.25
04-05-2026 00:00,1149.7,1174.4,1149.7,1160.4,1313831,15285.71,95921,684654.0,52.11
30-04-2026 00:00,1170.0,1170.0,1139.4,1144.6,1433160,16436.45,40219,891519.0,62.21
29-04-2026 00:00,1147.7,1171.2,1147.7,1168.0,1346355,15678.61,40918,821435.0,61.01
28-04-2026 00:00,1150.2,1159.8,1144.0,1147.7,1646292,18949.68,58261,1049150.0,63.73
27-04-2026 00:00,1168.0,1183.9,1155.0,1160.5,1019797,11898.31,49611,553660.0,54.29
24-04-2026 00:00,1185.0,1197.0,1162.0,1174.0,1235448,14568.62,42358,481234.0,38.95
23-04-2026 00:00,1178.0,1188.9,1160.1,1184.4,1581113,18675.82,36323,895961.0,56.67
22-04-2026 00:00,1144.0,1194.9,1139.8,1178.6,4284220,50430.16,87488,2525446.0,58.95
21-04-2026 00:00,1125.0,1145.6,1120.5,1142.0,1072221,12168.86,58948,535933.0,49.98
20-04-2026 00:00,1113.2,1129.5,1106.7,1120.4,1132404,12702.45,51559,667224.0,58.92
17-04-2026 00:00,1098.4,1126.4,1091.1,1113.2,1287668,14358.54,40483,556834.0,43.24
16-04-2026 00:00,1098.0,1105.1,1081.7,1102.6,1439626,15780.54,43112,793489.0,55.12
15-04-2026 00:00,1098.2,1108.3,1091.7,1094.2,1384602,15239.21,67096,947018.0,68.4
