datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,2133.6,2148.5,2088.0,2094.7,4738903,100357.15,177569,1948725.0,41.12
24-06-2026 00:00,2061.0,2120.7,2061.0,2109.0,4747277,99389.58,180127,1909118.0,40.22
23-06-2026 00:00,2111.0,2114.0,2055.0,2059.6,6392736,132548.06,280238,3473372.0,54.33
22-06-2026 00:00,2132.2,2157.0,2121.0,2127.8,4566101,97522.29,148495,2499593.0,54.74
19-06-2026 00:00,2105.0,2138.0,2059.9,2125.0,13286502,277580.43,481812,6880131.0,51.78
18-06-2026 00:00,2209.0,2214.0,2182.0,2203.3,3735188,82070.25,141783,1951368.0,52.24
17-06-2026 00:00,2209.0,2231.0,2200.7,2223.0,2865010,63614.71,107237,1538998.0,53.72
16-06-2026 00:00,2167.0,2209.0,2160.6,2199.0,3079898,67448.9,120376,1314406.0,42.68
15-06-2026 00:00,2192.0,2192.0,2159.3,2162.0,3337083,72423.75,113160,2004587.0,60.07
12-06-2026 00:00,2150.0,2168.0,2138.0,2161.4,2124656,45746.95,98414,910656.0,42.86
11-06-2026 00:00,2127.0,2154.6,2110.0,2135.6,3079815,65662.44,146700,956732.0,31.06
10-06-2026 00:00,2151.3,2180.8,2144.8,2153.9,2848650,61599.64,109866,1374325.0,48.24
09-06-2026 00:00,2174.0,2174.0,2132.8,2151.0,4148655,89143.99,137800,1893020.0,45.63
08-06-2026 00:00,2170.0,2177.0,2143.3,2151.4,6536734,141082.37,197493,3583697.0,54.82
05-06-2026 00:00,2262.9,2271.8,2192.0,2198.9,5019717,111431.27,226269,2337405.0,46.56
04-06-2026 00:00,2241.7,2253.1,2216.6,2241.0,4867263,108854.13,156136,2046859.0,42.05
03-06-2026 00:00,2393.0,2393.0,2224.8,2241.7,15660062,355136.38,502630,6971192.0,44.52
02-06-2026 00:00,2320.0,2457.4,2316.2,2446.9,11306127,273504.74,366391,5881072.0,52.02
01-06-2026 00:00,2284.0,2335.0,2280.0,2297.4,7505095,172677.98,154067,4805276.0,64.03
29-05-2026 00:00,2291.0,2334.0,2235.0,2258.9,16331582,371046.3,231376,11346245.0,69.47
27-05-2026 00:00,2275.0,2295.6,2260.9,2284.2,2653950,60416.28,123480,1289140.0,48.57
26-05-2026 00:00,2308.2,2327.9,2272.4,2276.2,3587597,82155.34,130719,1810291.0,50.46
25-05-2026 00:00,2325.0,2326.1,2293.0,2308.2,3298364,76202.24,75809,2096906.0,63.57
22-05-2026 00:00,2331.1,2340.0,2308.1,2317.3,2617262,60813.46,87846,1441496.0,55.08
21-05-2026 00:00,2331.0,2335.9,2314.0,2327.2,3299087,76679.13,106203,1524694.0,46.22
20-05-2026 00:00,2323.9,2342.0,2317.8,2327.4,2537422,59188.03,98920,1419151.0,55.93
19-05-2026 00:00,2300.0,2377.6,2297.1,2327.1,10394707,243998.67,236124,5521832.0,53.12
18-05-2026 00:00,2264.0,2292.9,2252.2,2283.2,3773336,85923.32,118965,1929481.0,51.13
15-05-2026 00:00,2252.0,2304.9,2252.0,2264.0,3410637,77764.7,135890,1487406.0,43.61
14-05-2026 00:00,2265.0,2265.0,2206.4,2246.0,5633313,126007.36,241132,2256075.0,40.05
13-05-2026 00:00,2306.0,2309.2,2269.0,2272.8,3171843,72480.98,169055,1557378.0,49.1
12-05-2026 00:00,2375.0,2375.0,2283.0,2300.3,6347884,146147.17,358785,3108189.0,48.96
11-05-2026 00:00,2371.0,2415.0,2371.0,2392.9,1975188,47357.75,116550,938571.0,47.52
08-05-2026 00:00,2398.0,2407.0,2375.1,2394.4,3792199,90548.24,184241,2153814.0,56.8
07-05-2026 00:00,2438.2,2439.7,2398.0,2401.4,5829594,140402.49,167098,3669201.0,62.94
06-05-2026 00:00,2441.9,2471.0,2406.5,2435.4,3147628,76607.43,130239,1632690.0,51.87
05-05-2026 00:00,2430.0,2460.4,2412.2,2427.3,3385720,82354.53,134489,1321644.0,39.04
04-05-2026 00:00,2494.0,2498.3,2425.0,2431.3,2632358,64337.89,145629,1361452.0,51.72
30-04-2026 00:00,2479.0,2491.0,2438.0,2473.9,3970446,98088.81,175405,1866712.0,47.02
29-04-2026 00:00,2451.0,2487.9,2447.6,2474.7,2835961,70154.69,145414,1545412.0,54.49
28-04-2026 00:00,2444.0,2487.0,2427.4,2444.7,4508363,110584.22,202414,2766449.0,61.36
27-04-2026 00:00,2396.9,2459.0,2396.9,2447.6,5853425,142798.02,226406,4094096.0,69.94
24-04-2026 00:00,2488.0,2505.0,2388.8,2396.9,5107719,123918.1,300607,2843963.0,55.68
23-04-2026 00:00,2529.0,2559.5,2516.3,2521.8,2509050,63680.42,116013,1171845.0,46.7
22-04-2026 00:00,2580.0,2580.0,2503.6,2538.5,5232045,133089.12,234440,2856832.0,54.6
21-04-2026 00:00,2560.0,2614.0,2560.0,2610.5,2719959,70622.46,126132,1265960.0,46.54
20-04-2026 00:00,2587.1,2594.0,2561.2,2579.6,2288558,59069.41,124006,1139385.0,49.79
17-04-2026 00:00,2570.0,2589.0,2555.9,2581.5,2718206,70074.73,131272,1679683.0,61.79
16-04-2026 00:00,2572.0,2594.0,2558.0,2576.9,3905403,100574.27,174580,1580219.0,40.46
15-04-2026 00:00,2501.9,2559.0,2493.4,2554.9,5261384,133745.54,186444,2740311.0,52.08
13-04-2026 00:00,2489.9,2504.9,2470.0,2472.6,3739587,92756.89,152183,1463604.0,39.14
10-04-2026 00:00,2565.8,2565.8,2501.1,2524.3,10480239,264382.19,373922,4380270.0,41.8
09-04-2026 00:00,2554.0,2605.0,2531.1,2589.0,5628261,145087.58,218190,2013800.0,35.78
08-04-2026 00:00,2572.0,2580.3,2540.1,2559.2,4769337,121958.05,236001,2166392.0,45.42
07-04-2026 00:00,2461.0,2543.9,2448.0,2539.8,4516550,113939.81,219120,2300163.0,50.93
06-04-2026 00:00,2474.0,2482.0,2448.2,2473.9,2572417,63421.92,118175,1158875.0,45.05
02-04-2026 00:00,2386.0,2469.9,2375.7,2450.7,5378361,130621.62,253292,2810101.0,52.25
01-04-2026 00:00,2429.0,2472.0,2397.9,2408.2,4132661,100576.38,147044,1975037.0,47.79
30-03-2026 00:00,2375.1,2398.0,2346.2,2358.9,6804756,161335.43,186938,3520605.0,51.74
27-03-2026 00:00,2403.9,2422.1,2385.0,2389.8,4979411,119686.99,204594,2429797.0,48.8
25-03-2026 00:00,2400.9,2421.6,2369.8,2377.4,5843778,140092.57,216118,3697949.0,63.28
24-03-2026 00:00,2404.1,2435.4,2379.1,2398.8,3420182,82277.06,174467,1773798.0,51.86
23-03-2026 00:00,2365.0,2406.8,2348.0,2383.8,3860515,92232.43,214767,1719448.0,44.54
20-03-2026 00:00,2386.0,2407.8,2364.2,2390.6,4206320,100305.76,186293,2435470.0,57.9
19-03-2026 00:00,2417.0,2424.0,2350.2,2356.0,2757060,65584.46,171760,1412111.0,51.22
18-03-2026 00:00,2410.0,2482.9,2410.0,2440.8,3082388,75741.4,149271,1209087.0,39.23
17-03-2026 00:00,2420.0,2420.0,2360.0,2391.7,2993367,71458.04,207239,1419384.0,47.42
16-03-2026 00:00,2410.0,2425.0,2366.1,2409.2,3807907,91168.14,169215,1714733.0,45.03
13-03-2026 00:00,2437.0,2445.9,2397.0,2410.5,2466488,59641.2,180674,1262517.0,51.19
12-03-2026 00:00,2459.8,2472.9,2436.0,2442.4,2752075,67452.53,165970,1319312.0,47.94
11-03-2026 00:00,2508.1,2521.0,2460.1,2464.9,2720664,67552.05,192326,1433802.0,52.7
10-03-2026 00:00,2541.0,2545.2,2490.1,2513.1,4323710,108406.45,214008,2372694.0,54.88
09-03-2026 00:00,2530.0,2560.0,2505.0,2527.4,3653428,92261.04,191560,1897338.0,51.93
06-03-2026 00:00,2572.0,2619.2,2553.6,2557.6,3998643,103226.56,143599,2597729.0,64.97
05-03-2026 00:00,2600.0,2609.5,2546.4,2578.8,2960636,76027.67,186527,1090558.0,36.84
04-03-2026 00:00,2625.0,2635.0,2580.4,2587.8,3446434,89544.59,193409,1905680.0,55.29
02-03-2026 00:00,2592.0,2623.8,2580.3,2613.5,3374385,87948.98,227265,1608755.0,47.68
27-02-2026 00:00,2681.6,2688.6,2626.1,2637.4,5083717,134459.34,166737,3300124.0,64.92
26-02-2026 00:00,2650.0,2671.0,2635.0,2647.7,3464267,91781.08,148371,1582112.0,45.67
25-02-2026 00:00,2596.0,2654.2,2595.0,2629.3,3621285,95317.85,170312,1584614.0,43.76
24-02-2026 00:00,2641.0,2647.5,2561.3,2573.7,7798833,201755.19,424406,4812488.0,61.71
23-02-2026 00:00,2686.0,2704.0,2660.2,2676.3,4699596,125760.74,171914,3214650.0,68.4
20-02-2026 00:00,2667.0,2702.6,2647.5,2686.2,2293482,61566.33,98725,966093.0,42.12
19-02-2026 00:00,2708.0,2748.7,2666.6,2677.9,3238849,87750.99,137884,1301446.0,40.18
18-02-2026 00:00,2730.0,2730.0,2657.3,2694.9,2950820,79312.64,140494,1336904.0,45.31
17-02-2026 00:00,2716.0,2760.0,2695.2,2717.4,4209118,115144.53,163505,1524494.0,36.22
16-02-2026 00:00,2700.0,2719.8,2671.0,2706.6,2918730,78578.75,134363,1261501.0,43.22
13-02-2026 00:00,2585.0,2713.0,2585.0,2692.2,11168735,295906.0,415060,4653582.0,41.67
12-02-2026 00:00,2869.8,2880.0,2740.0,2750.1,10612156,294823.36,660406,6190643.0,58.34
11-02-2026 00:00,2980.0,2998.0,2904.2,2909.8,3363513,98833.23,237669,2200770.0,65.43
10-02-2026 00:00,2949.8,3011.6,2943.5,2984.6,3547763,105911.46,220699,2015776.0,56.82
09-02-2026 00:00,2959.1,2977.0,2937.5,2948.2,2380318,70199.76,141131,1557664.0,65.44
06-02-2026 00:00,2976.6,2985.0,2916.0,2941.6,4687389,137532.36,347514,2849084.0,60.78
05-02-2026 00:00,2990.0,3029.7,2972.3,2991.5,3521545,105650.02,178696,1752189.0,49.76
04-02-2026 00:00,3120.0,3120.0,2986.0,2999.1,10852595,327809.48,503705,6586991.0,60.7
03-02-2026 00:00,3350.0,3350.0,3186.3,3225.3,4366060,141079.06,204924,2537328.0,58.11
02-02-2026 00:00,3198.0,3198.0,3134.0,3169.6,2636272,83429.86,108170,1585558.0,60.14
01-02-2026 00:00,3123.8,3234.0,3105.2,3186.9,3012937,95886.09,145412,1220232.0,40.5
30-01-2026 00:00,3141.0,3141.0,3092.0,3123.9,3022068,94338.21,80949,2101964.0,69.55
29-01-2026 00:00,3200.1,3200.1,3125.6,3144.4,2457641,77265.27,120763,1424483.0,57.96
28-01-2026 00:00,3176.0,3205.2,3170.6,3200.1,2751234,87796.8,151790,2076924.0,75.49
27-01-2026 00:00,3175.0,3175.0,3130.0,3158.0,4279874,134681.14,149619,2999663.0,70.09
23-01-2026 00:00,3190.3,3194.5,3152.0,3162.5,2068857,65719.05,89144,1218491.0,58.9
22-01-2026 00:00,3150.0,3160.0,3122.3,3150.4,2269827,71336.63,91528,1234423.0,54.38
21-01-2026 00:00,3100.0,3138.5,3082.0,3122.6,2015150,62725.1,138565,1047132.0,51.96
20-01-2026 00:00,3151.6,3160.0,3091.1,3102.3,4499273,140708.03,152322,2937139.0,65.28
19-01-2026 00:00,3188.0,3220.0,3152.1,3163.6,3387562,107346.71,177858,2279253.0,67.28
16-01-2026 00:00,3219.4,3221.9,3171.0,3206.7,4293470,137417.76,149121,2649992.0,61.72
14-01-2026 00:00,3260.0,3260.0,3183.0,3192.5,3539511,113463.86,146477,2236476.0,63.19
13-01-2026 00:00,3245.0,3280.0,3210.5,3268.0,5645341,183554.98,198353,2928026.0,51.87
12-01-2026 00:00,3203.0,3252.0,3174.3,3239.6,2228342,71577.54,126371,1179907.0,52.95
09-01-2026 00:00,3191.0,3229.7,3191.0,3207.8,1938673,62220.6,134640,1163231.0,60.0
08-01-2026 00:00,3286.9,3286.9,3182.0,3203.9,4159336,133576.36,191554,2332774.0,56.09
07-01-2026 00:00,3242.9,3300.6,3223.2,3295.6,1989442,65345.92,87338,1187319.0,59.68
06-01-2026 00:00,3210.0,3263.2,3205.0,3255.8,2912325,94429.29,163408,2176224.0,74.72
05-01-2026 00:00,3240.5,3247.0,3191.0,3216.1,2341703,75407.84,115281,1488966.0,63.58
02-01-2026 00:00,3234.0,3254.3,3219.5,3250.7,1184324,38385.17,63356,743388.0,62.77
01-01-2026 00:00,3215.0,3234.1,3198.2,3227.4,1255735,40434.25,56642,497590.0,39.63
31-12-2025 00:00,3240.0,3246.0,3198.5,3206.2,3362634,108145.03,145683,2428193.0,72.21
30-12-2025 00:00,3250.0,3267.5,3239.5,3246.8,2807593,91264.74,184541,1939014.0,69.06
29-12-2025 00:00,3280.0,3288.0,3242.9,3251.5,2079473,67686.51,117390,1403152.0,67.48
26-12-2025 00:00,3313.1,3320.0,3271.8,3280.0,1176664,38687.6,89363,738341.0,62.75
24-12-2025 00:00,3304.1,3327.1,3296.1,3319.0,1367708,45304.14,84873,753755.0,55.11
