datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,1465.0,1476.0,1435.1,1437.1,2553830,36915.03,70643,1582478.0,61.96
24-06-2026 00:00,1420.0,1466.5,1420.0,1461.6,3451553,50215.62,91380,1229406.0,35.62
23-06-2026 00:00,1427.2,1433.3,1400.5,1415.6,2402816,33955.92,93331,1263356.0,52.58
22-06-2026 00:00,1414.0,1444.0,1414.0,1435.2,2165308,31006.69,73137,924269.0,42.69
19-06-2026 00:00,1350.0,1417.2,1344.0,1409.6,5864187,81150.25,262136,2416073.0,41.2
18-06-2026 00:00,1454.0,1460.0,1435.5,1447.7,2273483,32853.8,59957,1042546.0,45.86
17-06-2026 00:00,1455.0,1476.8,1454.0,1462.4,2126833,31183.55,63723,882002.0,41.47
16-06-2026 00:00,1435.1,1455.7,1422.9,1446.8,1987359,28607.93,55570,926951.0,46.64
15-06-2026 00:00,1441.2,1454.7,1423.6,1425.6,1926338,27584.44,62029,950056.0,49.32
12-06-2026 00:00,1477.0,1478.6,1425.0,1429.2,2460369,35341.0,80528,1200503.0,48.79
11-06-2026 00:00,1456.8,1481.9,1437.7,1465.1,2088978,30534.14,108572,869892.0,41.64
10-06-2026 00:00,1480.0,1496.3,1471.2,1478.9,1082678,16053.9,62431,576528.0,53.25
09-06-2026 00:00,1516.5,1518.4,1473.2,1483.8,1330108,19744.85,78898,625220.0,47.01
08-06-2026 00:00,1469.1,1511.1,1459.0,1503.4,2467960,36940.94,89577,1034239.0,41.91
05-06-2026 00:00,1508.7,1524.0,1467.9,1483.5,2201977,32789.29,85980,806588.0,36.63
04-06-2026 00:00,1460.0,1499.7,1453.1,1487.3,2061503,30624.57,71914,1020553.0,49.51
03-06-2026 00:00,1549.1,1554.7,1467.6,1472.3,3493572,52160.99,120613,1506444.0,43.12
02-06-2026 00:00,1562.9,1589.0,1554.0,1571.4,4169279,65614.02,182234,1422246.0,34.11
01-06-2026 00:00,1495.2,1562.5,1495.2,1543.2,5243443,80976.39,132544,2006035.0,38.26
29-05-2026 00:00,1476.9,1496.6,1460.1,1483.9,3955137,58682.65,91447,2392589.0,60.49
27-05-2026 00:00,1460.1,1479.0,1451.1,1455.6,1825192,26741.43,60526,1047301.0,57.38
26-05-2026 00:00,1433.6,1465.8,1429.9,1458.7,1725570,25045.82,59248,978294.0,56.69
25-05-2026 00:00,1429.4,1445.0,1421.2,1435.5,887430,12741.17,34000,281336.0,31.7
22-05-2026 00:00,1425.0,1429.3,1406.1,1422.2,654078,9282.89,39851,243815.0,37.28
21-05-2026 00:00,1445.1,1450.0,1416.3,1420.0,999422,14269.37,46285,419899.0,42.01
20-05-2026 00:00,1453.6,1476.5,1434.7,1439.0,2216454,32262.55,73204,1012534.0,45.68
19-05-2026 00:00,1446.3,1506.8,1445.6,1467.1,6697277,99356.5,144080,3547166.0,52.96
18-05-2026 00:00,1363.7,1437.7,1363.7,1430.0,6204623,86735.98,110537,3634930.0,58.58
15-05-2026 00:00,1350.0,1387.7,1350.0,1370.5,5306932,72838.21,83738,3268149.0,61.58
14-05-2026 00:00,1370.0,1374.0,1327.3,1343.4,2337353,31432.23,119400,1150668.0,49.23
13-05-2026 00:00,1392.9,1399.9,1371.6,1375.0,2142904,29591.8,95312,1194198.0,55.73
12-05-2026 00:00,1447.0,1447.0,1388.9,1392.9,1474910,20696.51,86416,626350.0,42.47
11-05-2026 00:00,1460.0,1475.4,1451.8,1457.4,1348443,19728.52,80484,742222.0,55.04
08-05-2026 00:00,1453.5,1469.8,1448.4,1463.0,1360644,19916.14,65285,681153.0,50.06
07-05-2026 00:00,1467.0,1475.9,1444.0,1448.2,1147147,16671.17,62654,625013.0,54.48
06-05-2026 00:00,1467.9,1480.6,1455.4,1466.7,877900,12882.73,47897,389174.0,44.33
05-05-2026 00:00,1465.0,1483.8,1447.1,1452.2,711081,10362.07,47248,247235.0,34.77
04-05-2026 00:00,1484.0,1492.4,1455.2,1471.6,1483759,21802.26,66785,736597.0,49.64
30-04-2026 00:00,1459.7,1482.0,1445.6,1473.5,2635309,38697.88,84169,1161767.0,44.08
29-04-2026 00:00,1414.0,1464.0,1405.2,1459.8,3334783,48507.84,92470,1798862.0,53.94
28-04-2026 00:00,1392.5,1413.0,1383.6,1408.1,2009200,28200.94,76680,1214288.0,60.44
27-04-2026 00:00,1362.9,1400.5,1360.2,1396.1,1834277,25462.22,117677,893678.0,48.72
24-04-2026 00:00,1407.1,1426.7,1347.4,1358.5,3693260,50500.11,114149,1665494.0,45.1
