datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,926.8,926.8,884.1,888.45,899236,8127.75,34553,341865.0,38.02
24-06-2026 00:00,908.0,926.0,895.8,922.15,813378,7424.56,30877,301723.0,37.1
23-06-2026 00:00,920.6,933.0,903.25,907.95,733030,6717.26,25032,229185.0,31.27
22-06-2026 00:00,925.75,932.0,914.55,920.6,610809,5637.24,22173,218960.0,35.85
19-06-2026 00:00,930.0,944.0,908.0,922.45,922105,8553.65,37250,374762.0,40.64
18-06-2026 00:00,934.0,971.0,925.0,932.6,3362059,31842.45,98034,848428.0,25.24
17-06-2026 00:00,898.6,922.8,884.5,920.4,2177474,19772.99,63009,856408.0,39.33
16-06-2026 00:00,865.0,899.8,859.35,894.45,1740176,15412.48,47586,696435.0,40.02
15-06-2026 00:00,880.0,890.65,852.1,860.3,1027385,8980.56,38636,425436.0,41.41
12-06-2026 00:00,833.5,861.1,831.1,858.65,994625,8446.31,27877,429071.0,43.14
11-06-2026 00:00,825.5,843.5,814.15,822.7,597124,4949.13,27714,233225.0,39.06
10-06-2026 00:00,847.0,850.45,830.1,833.75,449387,3764.43,18408,192432.0,42.82
09-06-2026 00:00,854.0,854.0,839.1,846.2,417969,3532.02,16415,119376.0,28.56
08-06-2026 00:00,827.0,866.0,820.45,838.15,1461570,12393.64,40106,438261.0,29.99
05-06-2026 00:00,865.0,866.2,835.0,837.9,698650,5913.96,25734,230633.0,33.01
04-06-2026 00:00,855.25,877.5,847.8,864.0,1593786,13806.51,43385,568024.0,35.64
03-06-2026 00:00,837.0,857.1,837.0,853.35,1497714,12716.4,49834,455884.0,30.44
02-06-2026 00:00,797.0,840.0,790.0,834.4,995607,8211.71,38316,260164.0,26.13
01-06-2026 00:00,823.25,839.0,798.65,801.45,749262,6084.35,28386,243126.0,32.45
29-05-2026 00:00,851.8,860.0,815.5,826.15,1171755,9921.07,40503,444268.0,37.91
27-05-2026 00:00,816.55,850.7,811.25,847.2,1514080,12697.18,38037,566103.0,37.39
26-05-2026 00:00,836.0,837.6,815.15,816.55,1253576,10376.85,36076,311274.0,24.83
25-05-2026 00:00,770.95,840.0,767.0,832.1,8038325,65874.12,169220,1040882.0,12.95
22-05-2026 00:00,752.0,767.45,751.95,757.3,363409,2765.73,16027,91632.0,25.21
21-05-2026 00:00,755.05,767.4,751.0,752.9,463328,3515.41,16409,114912.0,24.8
20-05-2026 00:00,735.0,756.1,721.2,746.95,707138,5243.27,25812,134915.0,19.08
19-05-2026 00:00,753.15,753.15,735.05,739.6,413515,3081.43,22658,150741.0,36.45
18-05-2026 00:00,753.0,756.5,728.0,753.15,834082,6184.04,34032,291271.0,34.92
15-05-2026 00:00,774.0,778.75,762.0,763.3,404641,3108.14,17682,125456.0,31.0
14-05-2026 00:00,780.0,792.8,760.5,771.9,696544,5396.56,27874,166044.0,23.84
13-05-2026 00:00,774.2,794.0,770.0,773.85,647835,5057.63,24926,167813.0,25.9
12-05-2026 00:00,815.0,818.0,770.3,774.2,897391,7074.47,32479,372038.0,41.46
