datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,565.8,572.5,561.05,570.55,71826,407.96,5640,44391.0,61.8
24-06-2026 00:00,555.35,569.9,550.0,565.8,50298,282.52,4638,30534.0,60.71
23-06-2026 00:00,566.9,567.25,549.55,555.35,53178,295.55,5531,30306.0,56.99
22-06-2026 00:00,541.3,568.4,541.3,563.9,151916,852.16,9023,71432.0,47.02
19-06-2026 00:00,538.0,549.0,531.1,541.3,81663,440.57,9144,47532.0,58.21
18-06-2026 00:00,544.6,545.0,535.0,537.3,28583,153.77,2612,12777.0,44.7
17-06-2026 00:00,545.0,549.7,536.55,544.6,56578,307.25,3033,22185.0,39.21
16-06-2026 00:00,534.9,548.95,533.0,541.15,68672,372.6,4439,37085.0,54.0
15-06-2026 00:00,540.4,543.7,530.1,534.45,42605,228.25,2915,22418.0,52.62
12-06-2026 00:00,531.0,542.0,527.95,537.1,40262,215.63,2618,15791.0,39.22
11-06-2026 00:00,544.7,544.7,527.35,532.05,29554,158.11,2563,11388.0,38.53
10-06-2026 00:00,541.35,554.7,540.2,544.7,62854,343.69,2869,25801.0,41.05
09-06-2026 00:00,521.95,548.5,521.95,544.05,112402,608.71,5401,50173.0,44.64
08-06-2026 00:00,533.65,537.95,515.0,518.5,33065,174.31,2588,12755.0,38.58
05-06-2026 00:00,544.6,546.8,530.1,533.65,25565,137.77,1887,9475.0,37.06
04-06-2026 00:00,544.0,552.8,536.2,544.6,92504,504.64,4951,42955.0,46.44
03-06-2026 00:00,540.0,551.2,533.0,544.25,69052,375.17,3529,18153.0,26.29
02-06-2026 00:00,540.05,550.0,526.85,539.2,85275,461.13,6719,28907.0,33.9
01-06-2026 00:00,539.95,553.0,531.25,541.1,89103,482.92,6990,29302.0,32.89
29-05-2026 00:00,528.05,550.2,527.3,539.5,164825,891.3,9322,66702.0,40.47
27-05-2026 00:00,515.35,549.8,515.35,531.15,337844,1810.93,17214,68641.0,20.32
26-05-2026 00:00,523.8,524.95,511.0,512.8,83060,429.13,5387,34400.0,41.42
25-05-2026 00:00,527.5,534.8,520.5,523.2,151761,797.43,8766,46888.0,30.9
22-05-2026 00:00,544.45,579.5,525.3,538.9,1212867,6741.85,44338,137882.0,11.37
21-05-2026 00:00,543.0,548.8,536.0,541.75,102714,556.39,5379,33393.0,32.51
20-05-2026 00:00,517.0,546.95,517.0,542.6,199041,1071.8,10038,62845.0,31.57
19-05-2026 00:00,515.3,531.7,513.6,522.4,87033,456.08,6033,28899.0,33.2
18-05-2026 00:00,523.5,523.5,507.0,515.3,68272,350.44,4705,21828.0,31.97
15-05-2026 00:00,520.0,543.7,512.8,526.05,155454,819.16,10550,26090.0,16.78
14-05-2026 00:00,534.95,536.0,514.75,518.15,221833,1155.15,9037,46562.0,20.99
13-05-2026 00:00,539.25,552.4,522.0,531.1,1218848,6511.39,32534,167675.0,13.76
12-05-2026 00:00,522.9,597.55,517.05,528.7,14367833,80606.51,252070,614620.0,4.28
11-05-2026 00:00,520.0,535.5,510.4,518.4,44045,228.95,2721,16686.0,37.88
08-05-2026 00:00,533.0,534.35,517.45,518.85,43789,229.23,2895,23265.0,53.13
07-05-2026 00:00,534.55,545.0,532.0,533.7,33834,181.58,2486,17269.0,51.04
06-05-2026 00:00,529.8,541.0,529.8,532.05,57477,306.3,3228,32225.0,56.07
05-05-2026 00:00,536.35,536.7,526.75,534.3,45393,241.69,3047,23896.0,52.64
04-05-2026 00:00,501.0,549.85,498.3,536.35,285382,1522.65,12120,87183.0,30.55
30-04-2026 00:00,514.0,515.55,499.65,504.9,35772,180.62,2799,20069.0,56.1
29-04-2026 00:00,514.05,519.0,511.7,516.35,40254,207.74,3603,25328.0,62.92
