datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,1340.5,1342.4,1322.0,1328.8,47916,637.98,5373,20234.0,42.23
24-06-2026 00:00,1338.9,1344.0,1326.1,1336.5,61260,817.28,7148,35139.0,57.36
23-06-2026 00:00,1340.0,1350.9,1323.8,1344.1,78365,1049.08,8391,39143.0,49.95
22-06-2026 00:00,1353.0,1355.9,1333.0,1339.7,75926,1016.76,7628,36178.0,47.65
19-06-2026 00:00,1348.0,1364.6,1323.0,1341.9,430193,5782.16,30173,201558.0,46.85
18-06-2026 00:00,1347.3,1358.0,1336.1,1341.3,116759,1572.47,13630,45816.0,39.24
17-06-2026 00:00,1348.0,1348.0,1330.7,1335.0,57841,773.04,8063,25838.0,44.67
16-06-2026 00:00,1345.0,1350.0,1324.0,1335.7,96868,1292.16,12947,45309.0,46.77
15-06-2026 00:00,1365.0,1373.0,1342.1,1349.4,65564,890.73,9145,32503.0,49.57
12-06-2026 00:00,1332.3,1358.0,1323.6,1353.3,67883,914.65,10234,33785.0,49.77
11-06-2026 00:00,1328.9,1345.2,1315.8,1320.7,52418,697.93,6117,22963.0,43.81
10-06-2026 00:00,1327.2,1351.5,1320.0,1327.3,150222,2001.57,7283,103745.0,69.06
09-06-2026 00:00,1315.0,1338.0,1315.0,1329.0,40958,544.92,5476,20225.0,49.38
08-06-2026 00:00,1325.0,1325.0,1303.0,1314.3,65282,858.74,8150,28534.0,43.71
05-06-2026 00:00,1350.7,1358.0,1320.5,1324.0,63633,847.48,9487,32746.0,51.46
04-06-2026 00:00,1325.5,1362.0,1325.5,1350.7,111120,1497.95,10391,62353.0,56.11
03-06-2026 00:00,1325.0,1344.9,1313.7,1340.0,217313,2893.61,19840,104871.0,48.26
02-06-2026 00:00,1286.0,1324.7,1276.0,1318.8,301876,3901.28,11642,215838.0,71.5
01-06-2026 00:00,1329.0,1329.0,1281.0,1286.0,166261,2156.55,13951,85091.0,51.18
29-05-2026 00:00,1353.0,1353.0,1310.0,1320.0,112585,1495.74,9561,53823.0,47.81
27-05-2026 00:00,1353.7,1365.3,1337.0,1339.8,137002,1844.48,15408,73299.0,53.5
26-05-2026 00:00,1325.0,1359.0,1318.5,1343.7,531437,7075.36,19373,407952.0,76.76
25-05-2026 00:00,1320.0,1328.2,1317.4,1323.5,310005,4104.86,17834,244462.0,78.86
22-05-2026 00:00,1345.7,1345.7,1312.7,1315.2,152050,2007.94,11082,86288.0,56.75
21-05-2026 00:00,1360.0,1365.0,1326.0,1331.0,137791,1839.24,13210,69114.0,50.16
20-05-2026 00:00,1348.3,1351.7,1332.1,1348.8,62482,839.48,6616,26262.0,42.03
19-05-2026 00:00,1353.0,1366.3,1340.4,1348.3,133509,1805.07,13838,57183.0,42.83
18-05-2026 00:00,1367.5,1367.5,1337.8,1354.5,215653,2915.89,22988,127270.0,59.02
15-05-2026 00:00,1389.3,1394.4,1360.0,1367.8,219090,3020.87,19011,107393.0,49.02
14-05-2026 00:00,1394.8,1395.5,1370.5,1389.2,200565,2774.43,24536,94688.0,47.21
13-05-2026 00:00,1414.0,1415.4,1362.0,1381.2,494802,6857.86,37882,267631.0,54.09
12-05-2026 00:00,1412.5,1420.1,1391.5,1410.5,181359,2557.03,17782,85813.0,47.32
11-05-2026 00:00,1420.0,1423.9,1395.0,1412.2,330658,4662.35,29879,211793.0,64.05
08-05-2026 00:00,1429.0,1441.9,1415.5,1419.8,353212,5033.26,11784,275257.0,77.93
07-05-2026 00:00,1425.5,1451.0,1416.0,1428.2,702191,10047.77,32250,493381.0,70.26
06-05-2026 00:00,1428.3,1428.3,1382.0,1412.8,1074920,15098.89,54970,509676.0,47.42
05-05-2026 00:00,1466.4,1469.8,1441.0,1453.8,155802,2267.27,9706,91559.0,58.77
04-05-2026 00:00,1464.7,1473.2,1451.0,1463.1,147731,2164.42,16490,72447.0,49.04
30-04-2026 00:00,1468.8,1473.6,1445.5,1458.6,136904,1998.37,9933,89084.0,65.07
29-04-2026 00:00,1480.0,1494.9,1468.0,1469.6,76190,1126.85,7691,37498.0,49.22
28-04-2026 00:00,1485.0,1498.7,1472.0,1477.2,150698,2237.49,10427,42672.0,28.32
27-04-2026 00:00,1475.0,1500.0,1467.9,1479.2,161449,2396.75,15201,67336.0,41.71
24-04-2026 00:00,1497.9,1498.9,1465.0,1477.1,70231,1038.29,7830,35061.0,49.92
23-04-2026 00:00,1500.0,1506.3,1478.6,1483.2,218956,3257.16,10988,153159.0,69.95
22-04-2026 00:00,1509.0,1534.2,1492.3,1500.0,233328,3519.3,19752,116287.0,49.84
21-04-2026 00:00,1530.1,1534.4,1488.0,1498.4,293131,4413.12,18256,150070.0,51.2
20-04-2026 00:00,1493.6,1543.6,1476.2,1522.3,464632,7087.39,27967,205154.0,44.15
17-04-2026 00:00,1465.2,1515.0,1455.4,1493.6,344331,5129.26,23372,173439.0,50.37
16-04-2026 00:00,1480.5,1480.5,1447.1,1459.2,337363,4911.08,14447,255785.0,75.82
15-04-2026 00:00,1471.5,1498.3,1456.7,1470.7,185039,2732.29,16698,92718.0,50.11
13-04-2026 00:00,1440.0,1467.5,1425.0,1461.7,176555,2571.25,11925,122924.0,69.62
10-04-2026 00:00,1474.6,1474.7,1446.7,1454.2,142575,2074.47,14993,73585.0,51.61
09-04-2026 00:00,1496.0,1496.0,1453.1,1467.2,324392,4757.5,31976,181537.0,55.96
08-04-2026 00:00,1493.9,1518.4,1480.1,1496.5,214866,3225.09,9675,153613.0,71.49
07-04-2026 00:00,1493.7,1498.7,1459.0,1467.1,97466,1442.38,7406,23764.0,24.38
06-04-2026 00:00,1485.0,1495.0,1441.1,1481.7,98455,1442.11,15023,25592.0,25.99
02-04-2026 00:00,1565.0,1565.0,1478.0,1485.1,216613,3229.31,20188,95770.0,44.21
01-04-2026 00:00,1580.0,1599.0,1547.3,1584.2,49620,783.32,8331,22333.0,45.01
30-03-2026 00:00,1558.7,1565.8,1524.0,1540.0,336787,5197.78,30860,276762.0,82.18
27-03-2026 00:00,1610.9,1611.4,1546.1,1559.0,89205,1407.27,12128,49169.0,55.12
25-03-2026 00:00,1599.0,1631.7,1599.0,1606.4,171041,2771.87,8013,119804.0,70.04
24-03-2026 00:00,1569.5,1595.9,1545.0,1583.9,1818591,28557.87,21204,1721708.0,94.67
23-03-2026 00:00,1569.5,1572.7,1537.0,1557.9,89814,1393.21,10100,50156.0,55.84
20-03-2026 00:00,1579.0,1606.5,1554.4,1568.9,282618,4462.44,24089,168861.0,59.75
19-03-2026 00:00,1609.9,1609.9,1560.0,1569.2,69154,1091.36,7228,41084.0,59.41
18-03-2026 00:00,1617.4,1623.6,1600.1,1618.0,59189,957.25,9621,32029.0,54.11
17-03-2026 00:00,1620.8,1655.0,1605.8,1617.4,42955,700.36,6098,16366.0,38.1
16-03-2026 00:00,1642.7,1648.0,1585.1,1616.7,67953,1092.83,10801,25093.0,36.93
13-03-2026 00:00,1645.5,1675.4,1605.4,1642.7,79039,1284.41,8290,46244.0,58.51
12-03-2026 00:00,1649.0,1682.8,1612.0,1645.5,69375,1140.69,8777,28125.0,40.54
11-03-2026 00:00,1697.6,1699.0,1642.5,1653.3,76801,1288.72,6583,48112.0,62.65
10-03-2026 00:00,1721.5,1740.0,1680.2,1697.6,164800,2812.99,18093,80510.0,48.85
09-03-2026 00:00,1723.1,1728.5,1670.0,1721.5,96507,1648.63,12105,34240.0,35.48
06-03-2026 00:00,1640.7,1779.1,1627.8,1758.2,866202,14949.89,51257,249696.0,28.83
05-03-2026 00:00,1637.8,1661.4,1608.3,1650.1,91242,1496.28,9388,40147.0,44.0
04-03-2026 00:00,1558.4,1646.2,1556.7,1629.8,126108,2022.06,16970,52049.0,41.27
02-03-2026 00:00,1570.0,1592.4,1570.0,1589.9,40176,636.51,6776,19973.0,49.71
27-02-2026 00:00,1594.2,1615.6,1586.6,1605.0,34657,554.59,4634,18724.0,54.03
26-02-2026 00:00,1587.4,1598.4,1579.9,1594.2,39908,634.15,5519,16330.0,40.92
25-02-2026 00:00,1588.0,1598.7,1574.2,1587.4,238007,3777.72,15243,185639.0,78.0
24-02-2026 00:00,1627.0,1627.0,1592.3,1599.4,88296,1413.89,6094,65991.0,74.74
23-02-2026 00:00,1607.5,1636.0,1603.1,1633.4,52406,851.66,5440,29479.0,56.25
20-02-2026 00:00,1607.6,1620.0,1600.0,1602.6,32199,517.89,3931,16223.0,50.38
19-02-2026 00:00,1622.5,1624.5,1600.0,1607.6,34633,556.31,4994,17337.0,50.06
18-02-2026 00:00,1598.5,1624.0,1594.0,1614.6,35821,578.24,5298,12991.0,36.27
17-02-2026 00:00,1605.0,1606.0,1592.2,1598.8,59641,954.13,5957,33510.0,56.19
16-02-2026 00:00,1622.1,1622.1,1584.5,1612.1,54794,878.94,6463,26975.0,49.23
13-02-2026 00:00,1615.7,1649.0,1569.3,1628.8,121184,1961.96,13935,47057.0,38.83
12-02-2026 00:00,1630.4,1630.5,1612.1,1621.2,51970,842.79,6188,26266.0,50.54
11-02-2026 00:00,1655.0,1657.9,1610.5,1627.4,347405,5655.67,25025,94984.0,27.34
10-02-2026 00:00,1546.0,1630.5,1530.2,1619.7,158265,2517.69,16957,63027.0,39.82
09-02-2026 00:00,1540.0,1540.0,1492.7,1533.6,160151,2433.0,13449,84872.0,52.99
06-02-2026 00:00,1480.0,1544.9,1473.7,1524.8,183243,2788.37,18784,81332.0,44.38
