datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,27.09,27.33,27.0,27.16,5972740,1623.07,12029,2202497.0,36.88
24-06-2026 00:00,26.86,27.58,26.65,27.11,7233661,1965.62,17102,1677989.0,23.2
23-06-2026 00:00,27.6,27.75,26.73,26.85,6843422,1855.25,17341,3057858.0,44.68
22-06-2026 00:00,27.78,27.94,27.46,27.57,8184209,2264.51,18631,2532879.0,30.95
19-06-2026 00:00,27.92,27.92,27.45,27.58,10035499,2767.79,19965,3041589.0,30.31
18-06-2026 00:00,28.5,28.67,27.78,27.99,18663218,5244.86,37924,5679609.0,30.43
17-06-2026 00:00,26.45,30.04,26.35,28.2,157521699,45220.01,174326,17840688.0,11.33
16-06-2026 00:00,26.28,26.55,26.15,26.33,3775060,994.83,10840,1309090.0,34.68
15-06-2026 00:00,26.55,26.69,26.1,26.18,5542729,1464.85,14909,2636204.0,47.56
12-06-2026 00:00,25.27,26.04,25.27,25.99,5924272,1525.99,12830,2764348.0,46.66
11-06-2026 00:00,25.6,25.63,25.01,25.12,4664380,1179.7,13201,2053017.0,44.01
10-06-2026 00:00,26.24,26.34,25.55,25.75,8100647,2110.96,20563,3093807.0,38.19
09-06-2026 00:00,25.01,26.1,25.01,26.04,9143165,2349.57,19980,4602613.0,50.34
08-06-2026 00:00,25.02,25.53,24.89,25.03,4115477,1036.86,14952,1400761.0,34.04
05-06-2026 00:00,25.05,25.49,25.05,25.26,4810187,1216.41,13608,1889261.0,39.28
04-06-2026 00:00,25.18,25.24,24.91,25.07,2019197,506.74,9542,838497.0,41.53
03-06-2026 00:00,24.89,25.19,24.5,25.1,3868584,960.33,10711,1102643.0,28.5
02-06-2026 00:00,24.5,25.04,24.16,24.83,4323831,1069.7,13074,1660040.0,38.39
01-06-2026 00:00,25.29,25.35,24.8,24.89,3691893,924.63,13739,1668227.0,45.19
29-05-2026 00:00,25.5,25.78,25.1,25.21,3517568,896.81,11932,1542570.0,43.85
27-05-2026 00:00,25.31,25.69,25.3,25.54,3747300,955.58,10258,1397904.0,37.3
