datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,57.7,58.09,55.81,56.14,6261660,3557.8,31824,3080552.0,49.2
24-06-2026 00:00,56.13,57.57,55.41,57.22,9456136,5354.68,37882,4849617.0,51.29
23-06-2026 00:00,56.7,56.98,55.83,56.07,6036030,3395.94,24056,3254633.0,53.92
22-06-2026 00:00,57.3,57.76,56.49,56.7,6072723,3464.31,46312,3172229.0,52.24
19-06-2026 00:00,58.52,58.84,57.02,57.27,6884920,3972.48,26317,3357672.0,48.77
18-06-2026 00:00,56.8,59.5,56.75,58.62,13476179,7811.61,37840,7903790.0,58.65
17-06-2026 00:00,57.39,57.39,56.57,56.75,4356583,2481.22,23749,2465681.0,56.6
16-06-2026 00:00,56.95,57.85,56.48,57.39,8280013,4729.35,39764,4256876.0,51.41
15-06-2026 00:00,56.0,57.2,55.42,56.95,11313700,6386.94,43789,5554242.0,49.09
12-06-2026 00:00,54.0,55.0,53.72,54.76,14098314,7668.49,46947,8614435.0,61.1
11-06-2026 00:00,52.71,53.61,52.51,53.26,5875125,3121.48,42130,3319135.0,56.49
10-06-2026 00:00,54.09,54.09,52.81,52.94,7379543,3949.69,28612,4068861.0,55.14
09-06-2026 00:00,52.49,54.6,52.49,53.95,12798913,6906.13,43537,7462278.0,58.3
08-06-2026 00:00,52.81,53.84,52.03,52.33,9727152,5135.6,39922,4437483.0,45.62
05-06-2026 00:00,53.36,54.0,53.02,53.56,14754102,7905.32,33106,8323532.0,56.42
04-06-2026 00:00,53.7,54.5,52.9,53.09,10367574,5547.72,27174,5414700.0,52.23
03-06-2026 00:00,53.0,54.13,52.34,53.79,14910937,7932.56,41173,8177838.0,54.84
02-06-2026 00:00,53.48,54.03,52.51,53.18,8545234,4544.8,49638,3838325.0,44.92
01-06-2026 00:00,54.39,54.84,52.72,53.87,9839852,5278.38,34620,4486319.0,45.59
29-05-2026 00:00,54.49,55.38,54.12,54.39,4153688,2273.98,26397,1776757.0,42.78
27-05-2026 00:00,55.34,56.25,54.06,54.49,5274663,2905.89,20806,2136813.0,40.51
26-05-2026 00:00,54.87,55.89,54.5,55.41,8154076,4509.07,34212,3116528.0,38.22
25-05-2026 00:00,53.5,55.11,52.0,54.87,15455722,8295.3,46099,7891577.0,51.06
22-05-2026 00:00,53.02,53.25,52.31,52.49,7266437,3836.44,26349,3567734.0,49.1
21-05-2026 00:00,54.49,55.35,52.75,52.9,12976398,7003.12,62916,5918351.0,45.61
20-05-2026 00:00,53.85,53.94,53.02,53.53,10669828,5695.75,40923,5627692.0,52.74
19-05-2026 00:00,54.5,55.02,53.91,54.13,8359771,4547.77,27831,4054519.0,48.5
18-05-2026 00:00,55.46,55.46,53.83,54.15,14053978,7614.18,53676,8080224.0,57.49
15-05-2026 00:00,56.55,56.99,55.66,55.83,7843521,4414.1,40398,3656639.0,46.62
14-05-2026 00:00,56.84,57.13,55.15,56.48,12393284,6962.16,43570,5017040.0,40.48
13-05-2026 00:00,56.9,58.42,56.5,56.77,17861004,10224.99,61765,8422936.0,47.16
12-05-2026 00:00,58.75,58.98,56.8,57.25,15257779,8823.28,75137,8047325.0,52.74
11-05-2026 00:00,61.5,61.5,57.12,59.08,42831935,25176.92,124004,19853225.0,46.35
08-05-2026 00:00,62.99,65.46,62.0,62.4,51422213,32715.4,145420,14439446.0,28.08
07-05-2026 00:00,62.9,63.6,62.02,62.67,8548639,5383.68,50649,4114137.0,48.13
06-05-2026 00:00,62.3,63.85,61.48,62.7,10587474,6635.78,54710,4644407.0,43.87
05-05-2026 00:00,61.4,62.2,60.77,61.75,11813879,7266.88,43025,4330481.0,36.66
04-05-2026 00:00,57.5,61.76,57.5,61.37,31233815,18911.87,134677,16466824.0,52.72
30-04-2026 00:00,56.75,57.6,55.85,56.88,30333189,17262.44,57092,19126272.0,63.05
