datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,1367.0,1395.9,1366.0,1384.9,1774172,24561.99,57237,912685.0,51.44
24-06-2026 00:00,1336.1,1362.7,1320.2,1359.1,1388539,18659.8,66377,911877.0,65.67
23-06-2026 00:00,1343.1,1350.0,1334.0,1337.7,604501,8099.75,28315,389762.0,64.48
22-06-2026 00:00,1320.5,1346.4,1314.0,1343.1,747124,9992.45,38915,397303.0,53.18
19-06-2026 00:00,1348.0,1348.4,1312.0,1320.5,784253,10384.01,27183,429472.0,54.76
18-06-2026 00:00,1329.0,1367.6,1325.3,1350.3,2744272,37037.23,83376,920579.0,33.55
17-06-2026 00:00,1304.0,1309.9,1286.3,1308.0,321861,4182.31,17727,158471.0,49.24
16-06-2026 00:00,1275.8,1302.0,1268.1,1299.0,1039955,13402.9,27897,473425.0,45.52
15-06-2026 00:00,1285.0,1289.0,1266.1,1271.5,781530,9959.86,31682,451625.0,57.79
12-06-2026 00:00,1270.9,1277.0,1261.2,1272.4,497161,6306.86,17119,325164.0,65.4
11-06-2026 00:00,1259.9,1275.6,1252.5,1257.8,638516,8064.17,31796,405605.0,63.52
10-06-2026 00:00,1260.5,1275.9,1253.2,1259.9,902528,11436.08,27377,522560.0,57.9
09-06-2026 00:00,1239.9,1262.5,1239.1,1257.2,555079,6953.17,16194,345749.0,62.29
08-06-2026 00:00,1242.8,1247.0,1229.2,1238.5,488904,6060.89,23192,259005.0,52.98
05-06-2026 00:00,1249.6,1256.8,1241.5,1246.7,271036,3383.82,25007,128323.0,47.35
04-06-2026 00:00,1262.9,1268.2,1248.0,1249.7,611875,7690.11,20908,350313.0,57.25
03-06-2026 00:00,1280.0,1280.0,1250.5,1262.9,600804,7592.31,19504,364929.0,60.74
02-06-2026 00:00,1250.1,1277.5,1242.8,1275.0,997132,12596.48,34606,584683.0,58.64
01-06-2026 00:00,1276.9,1282.2,1245.1,1248.8,509716,6424.35,22904,296420.0,58.15
29-05-2026 00:00,1305.9,1308.9,1260.5,1270.0,2164859,27647.29,89605,1390644.0,64.24
27-05-2026 00:00,1295.0,1310.3,1290.6,1302.5,443996,5778.95,19222,259526.0,58.45
26-05-2026 00:00,1284.1,1297.0,1276.3,1293.4,1103951,14268.11,36339,709956.0,64.31
25-05-2026 00:00,1290.0,1302.0,1279.0,1284.1,739366,9521.07,27170,483669.0,65.42
22-05-2026 00:00,1275.2,1286.9,1259.0,1282.1,842545,10776.69,32244,574328.0,68.17
21-05-2026 00:00,1293.0,1294.4,1270.1,1272.6,946896,12123.82,27944,599549.0,63.32
20-05-2026 00:00,1300.0,1305.5,1282.0,1284.6,988906,12749.55,24992,679545.0,68.72
19-05-2026 00:00,1309.1,1328.0,1300.4,1304.9,707901,9281.44,34530,354710.0,50.11
18-05-2026 00:00,1320.3,1320.3,1271.3,1315.7,837730,10874.42,33149,310664.0,37.08
15-05-2026 00:00,1289.0,1342.1,1286.1,1320.7,3849617,50999.25,118791,1093120.0,28.4
14-05-2026 00:00,1266.9,1278.4,1252.4,1272.5,585021,7430.41,21397,343158.0,58.66
13-05-2026 00:00,1256.4,1263.0,1236.0,1256.4,711715,8925.74,26798,436895.0,61.39
12-05-2026 00:00,1266.1,1273.6,1244.3,1247.5,529790,6635.86,40771,271549.0,51.26
11-05-2026 00:00,1280.0,1280.0,1263.6,1266.1,437790,5566.99,21830,189497.0,43.28
08-05-2026 00:00,1285.0,1291.9,1273.9,1280.8,1284584,16476.5,49671,690742.0,53.77
07-05-2026 00:00,1296.7,1301.2,1277.5,1279.8,995377,12780.72,39328,607287.0,61.01
06-05-2026 00:00,1328.8,1328.8,1269.4,1290.3,2800460,35912.65,77090,1565875.0,55.91
05-05-2026 00:00,1330.0,1334.2,1307.4,1315.6,656051,8624.01,27583,385050.0,58.69
04-05-2026 00:00,1334.7,1339.6,1312.6,1321.7,778722,10310.62,35890,501394.0,64.39
30-04-2026 00:00,1350.0,1350.0,1322.0,1325.6,1077576,14327.62,36478,715897.0,66.44
29-04-2026 00:00,1379.9,1391.1,1360.7,1363.4,769004,10545.94,25998,532279.0,69.22
28-04-2026 00:00,1397.0,1398.0,1370.2,1374.4,582625,8034.46,35566,316321.0,54.29
27-04-2026 00:00,1393.0,1414.4,1382.0,1391.6,821321,11453.95,26610,423461.0,51.56
24-04-2026 00:00,1383.0,1398.5,1370.1,1391.9,967932,13412.76,37035,322666.0,33.34
23-04-2026 00:00,1390.1,1394.6,1375.2,1382.3,1008437,13977.0,34734,583838.0,57.9
22-04-2026 00:00,1376.6,1400.8,1354.6,1392.8,1841125,25505.07,52461,1086299.0,59.0
21-04-2026 00:00,1315.0,1367.3,1310.2,1363.0,2334336,31422.1,57363,1283857.0,55.0
20-04-2026 00:00,1309.0,1318.5,1294.0,1307.7,1189368,15557.44,46865,592539.0,49.82
17-04-2026 00:00,1258.0,1306.9,1254.9,1302.9,2825738,36536.99,94076,1521838.0,53.86
