datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,508.75,514.6,505.45,507.65,4139647,21066.5,38329,2377369.0,57.43
24-06-2026 00:00,507.4,514.55,504.3,506.7,6476790,32858.87,93433,3260803.0,50.35
23-06-2026 00:00,512.05,517.0,502.95,504.3,6358283,32348.22,103832,3618069.0,56.9
22-06-2026 00:00,528.0,530.0,504.1,512.95,11556735,59270.49,110551,5409562.0,46.81
19-06-2026 00:00,535.9,538.7,526.35,529.5,9495702,50517.46,75724,5418026.0,57.06
18-06-2026 00:00,547.7,551.7,529.9,531.55,8122763,44071.28,92684,4456947.0,54.87
17-06-2026 00:00,541.2,555.8,540.1,544.05,7532315,41357.18,105262,3002309.0,39.86
16-06-2026 00:00,543.35,543.35,536.1,541.05,3831572,20679.63,56635,2504235.0,65.36
15-06-2026 00:00,529.0,543.35,527.2,541.0,7594901,40890.02,79343,4705894.0,61.96
12-06-2026 00:00,526.0,530.0,517.5,522.2,2335737,12190.54,35146,1317192.0,56.39
11-06-2026 00:00,521.1,532.3,518.5,519.9,2704464,14173.19,51503,1397491.0,51.67
10-06-2026 00:00,530.0,538.6,524.35,526.25,3150329,16791.86,58733,1283725.0,40.75
09-06-2026 00:00,524.0,531.25,523.85,529.75,4547800,24001.59,59017,3024777.0,66.51
08-06-2026 00:00,518.3,531.0,511.5,522.15,5396987,28344.4,78184,3170541.0,58.75
05-06-2026 00:00,527.5,527.9,518.3,523.3,3217921,16846.29,41625,1495169.0,46.46
04-06-2026 00:00,533.0,535.8,527.15,528.4,2968198,15739.26,50341,1532771.0,51.64
03-06-2026 00:00,538.95,539.65,528.5,533.4,4501572,24046.01,56581,2690397.0,59.77
02-06-2026 00:00,518.0,538.0,515.15,537.0,8512936,45296.26,71371,5118643.0,60.13
01-06-2026 00:00,529.0,532.3,522.0,525.5,3454028,18223.08,55773,1724099.0,49.92
29-05-2026 00:00,539.0,544.4,525.45,528.0,13582024,72387.24,103559,8805389.0,64.83
27-05-2026 00:00,532.7,540.0,530.4,534.5,4232992,22649.13,44976,2489120.0,58.8
26-05-2026 00:00,529.15,535.0,526.55,531.3,4811410,25548.14,72575,2190654.0,45.53
25-05-2026 00:00,542.95,543.95,526.2,530.7,8578018,45890.92,94521,5245478.0,61.15
22-05-2026 00:00,532.0,541.4,526.6,539.45,18510994,98998.77,264713,6804941.0,36.76
21-05-2026 00:00,515.0,525.9,514.15,519.85,6850797,35729.58,120084,3987406.0,58.2
20-05-2026 00:00,507.5,516.7,506.95,514.0,5735895,29451.87,69385,3920333.0,68.35
19-05-2026 00:00,511.9,518.85,509.3,514.8,5130324,26470.65,59792,3392283.0,66.12
18-05-2026 00:00,503.8,514.7,494.3,511.5,4593884,23260.39,72044,2448541.0,53.3
15-05-2026 00:00,507.0,510.0,501.15,503.8,3728317,18834.56,59878,1975732.0,52.99
14-05-2026 00:00,491.4,506.9,489.45,505.15,4345986,21776.9,49524,2490716.0,57.31
13-05-2026 00:00,485.0,498.8,484.65,489.15,3933073,19356.36,55686,2112475.0,53.71
12-05-2026 00:00,499.0,505.65,486.6,488.35,3884745,19204.64,72348,2097292.0,53.99
11-05-2026 00:00,506.0,507.45,499.5,501.3,2707721,13622.82,39335,1223017.0,45.17
08-05-2026 00:00,511.0,514.5,506.6,508.85,1878374,9569.27,37781,901999.0,48.02
07-05-2026 00:00,508.95,515.0,507.05,510.6,3542867,18117.35,47709,2113390.0,59.65
06-05-2026 00:00,515.0,516.55,501.7,508.95,4518907,22878.57,48843,2241918.0,49.61
05-05-2026 00:00,503.95,513.0,499.8,511.7,4854705,24542.89,58011,2550425.0,52.54
04-05-2026 00:00,513.7,521.35,505.0,506.75,5234719,26786.65,79902,2897945.0,55.36
30-04-2026 00:00,523.1,523.9,509.25,513.7,7127837,36616.39,73109,4210589.0,59.07
29-04-2026 00:00,520.9,534.7,519.45,523.1,9973200,52519.92,137348,5405102.0,54.2
28-04-2026 00:00,521.5,529.4,515.05,518.55,14074482,73412.29,146823,5554304.0,39.46
27-04-2026 00:00,494.9,521.7,479.85,518.85,36094833,181728.83,383126,12542839.0,34.75
24-04-2026 00:00,484.4,492.9,481.3,490.45,13173088,64116.6,116638,7824538.0,59.4
23-04-2026 00:00,490.0,490.85,476.4,484.25,10692659,51877.7,86299,5641275.0,52.76
22-04-2026 00:00,486.95,498.7,484.35,494.95,11943145,58963.09,99876,7185955.0,60.17
21-04-2026 00:00,466.55,487.05,466.55,485.1,7932444,38228.65,133852,2687470.0,33.88
20-04-2026 00:00,476.4,476.95,464.3,466.55,6027104,28331.8,70750,3590870.0,59.58
17-04-2026 00:00,453.3,475.2,453.3,473.9,11968336,56384.55,231259,6410692.0,53.56
16-04-2026 00:00,446.55,466.0,446.0,460.4,7114657,32326.22,73740,3517577.0,49.44
15-04-2026 00:00,437.0,451.7,436.1,445.55,7797798,34791.14,113352,4410933.0,56.57
13-04-2026 00:00,418.0,433.2,417.15,430.6,5357143,22956.29,61214,2447372.0,45.68
10-04-2026 00:00,425.8,434.0,425.05,431.6,5731496,24698.53,57631,3133865.0,54.68
09-04-2026 00:00,421.4,429.5,414.7,422.9,5743167,24278.71,48760,2724670.0,47.44
08-04-2026 00:00,412.9,424.0,411.05,421.9,6926186,29016.22,73650,3342783.0,48.26
07-04-2026 00:00,400.0,402.25,395.3,400.85,3214980,12837.36,42688,1532415.0,47.66
06-04-2026 00:00,405.0,407.65,399.8,401.0,4363829,17515.0,46510,2393559.0,54.85
02-04-2026 00:00,397.6,405.0,390.6,403.7,3620669,14475.91,41433,1522532.0,42.05
01-04-2026 00:00,397.3,404.25,389.05,401.8,6465240,25711.46,79798,3061155.0,47.35
30-03-2026 00:00,386.0,391.55,381.5,384.1,10212880,39337.58,96874,3730097.0,36.52
27-03-2026 00:00,400.0,400.9,388.0,389.3,8968617,35156.04,126818,5690393.0,63.45
25-03-2026 00:00,394.9,407.4,391.1,401.45,9134065,36734.79,115312,5658011.0,61.94
24-03-2026 00:00,391.9,394.15,382.25,388.35,6998465,27208.67,63491,4110691.0,58.74
23-03-2026 00:00,398.0,398.7,381.0,382.2,10454299,40441.1,196474,6433804.0,61.54
20-03-2026 00:00,406.0,409.65,400.0,401.45,5524922,22311.65,63712,3225074.0,58.37
19-03-2026 00:00,410.25,410.45,403.3,404.65,5644420,22974.84,66038,3223607.0,57.11
18-03-2026 00:00,410.0,418.0,408.3,415.1,6377212,26403.67,74192,3195209.0,50.1
17-03-2026 00:00,410.75,411.1,402.5,406.35,4489728,18241.88,93550,2407502.0,53.62
16-03-2026 00:00,401.6,416.4,401.1,407.15,8027378,32767.44,110462,3300957.0,41.12
13-03-2026 00:00,410.0,418.55,400.45,401.3,7664431,31308.26,125568,3575835.0,46.65
12-03-2026 00:00,432.0,432.0,410.0,411.05,12325188,51180.13,182072,6849377.0,55.57
11-03-2026 00:00,437.9,441.8,430.0,431.25,7599571,33158.24,61670,5063886.0,66.63
10-03-2026 00:00,444.7,444.7,434.1,436.5,3317809,14549.55,46698,1829036.0,55.13
09-03-2026 00:00,444.0,444.0,433.35,437.75,3862525,16888.67,95826,2036050.0,52.71
06-03-2026 00:00,444.4,455.75,441.8,447.65,4616931,20746.3,56069,2829094.0,61.28
05-03-2026 00:00,435.9,448.5,432.6,445.75,6468494,28502.02,96955,3795371.0,58.67
04-03-2026 00:00,432.0,435.9,426.0,429.75,8357859,35937.35,131364,4953853.0,59.27
02-03-2026 00:00,434.95,451.1,433.05,445.3,5183683,23145.33,78299,2888748.0,55.73
27-02-2026 00:00,461.95,464.35,449.55,451.4,4555709,20673.77,56033,3244624.0,71.22
26-02-2026 00:00,456.35,462.7,454.7,460.45,2077636,9524.42,32503,1221049.0,58.77
25-02-2026 00:00,460.1,462.0,454.55,455.85,2400024,10955.66,27556,1451223.0,60.47
24-02-2026 00:00,455.0,463.9,451.1,459.1,4586271,20957.08,41796,2933914.0,63.97
23-02-2026 00:00,457.55,459.15,454.55,457.3,2298607,10489.87,26753,1489036.0,64.78
20-02-2026 00:00,450.85,456.6,449.3,453.85,2521212,11436.76,35243,1531143.0,60.73
19-02-2026 00:00,463.65,464.0,451.05,453.5,1889084,8630.11,29910,982353.0,52.0
18-02-2026 00:00,458.05,464.4,455.2,463.65,2991343,13773.26,33805,1589232.0,53.13
17-02-2026 00:00,455.0,459.4,454.35,458.05,2033633,9306.5,35543,1110309.0,54.6
16-02-2026 00:00,447.0,458.85,444.3,455.85,2459060,11174.89,33868,1195606.0,48.62
13-02-2026 00:00,452.5,453.75,445.6,449.3,3080721,13855.24,70244,1596319.0,51.82
12-02-2026 00:00,457.0,458.2,451.0,455.7,3401594,15448.52,33332,1605761.0,47.21
11-02-2026 00:00,456.5,458.95,453.15,456.9,2466686,11244.45,29115,1331363.0,53.97
10-02-2026 00:00,460.0,462.7,454.7,456.5,5289731,24276.71,53790,2853025.0,53.94
09-02-2026 00:00,443.45,459.0,439.1,457.35,7503533,33963.89,75536,3951625.0,52.66
06-02-2026 00:00,437.1,444.8,432.2,439.05,6623250,29019.41,79018,3152640.0,47.6
05-02-2026 00:00,447.45,448.9,436.6,437.1,9354103,41105.82,96626,6097883.0,65.19
04-02-2026 00:00,454.0,454.0,438.05,444.9,13262771,58772.4,152417,5532077.0,41.71
03-02-2026 00:00,479.0,492.15,440.6,451.1,28666048,132293.35,241538,10151494.0,35.41
02-02-2026 00:00,468.0,480.95,457.25,466.3,5718949,26772.0,77156,2361082.0,41.29
01-02-2026 00:00,470.0,474.75,462.5,469.1,2463402,11572.51,28790,1254144.0,50.91
30-01-2026 00:00,463.1,475.0,462.8,471.25,6589147,30942.76,58682,3802453.0,57.71
29-01-2026 00:00,469.0,470.55,451.45,467.05,7732682,35599.67,66417,4206065.0,54.39
28-01-2026 00:00,472.15,473.45,461.0,468.4,7554323,35197.49,68198,5177144.0,68.53
27-01-2026 00:00,472.9,478.5,465.1,471.65,3880383,18320.49,62786,1700225.0,43.82
23-01-2026 00:00,488.0,489.85,471.15,474.1,3352354,16083.52,41319,1971354.0,58.81
22-01-2026 00:00,482.0,489.5,480.0,487.1,4471094,21712.23,64065,2676137.0,59.85
21-01-2026 00:00,481.35,488.15,472.65,478.0,5819986,27913.7,65476,3144324.0,54.03
20-01-2026 00:00,493.7,499.75,486.55,489.1,3568142,17605.74,54676,1832355.0,51.35
19-01-2026 00:00,494.7,500.35,489.4,496.0,4726501,23463.1,53324,2320932.0,49.1
16-01-2026 00:00,498.5,505.8,496.6,500.4,4442688,22276.52,76989,2776274.0,62.49
14-01-2026 00:00,500.4,508.85,497.85,502.4,3400938,17161.44,43242,1714266.0,50.41
13-01-2026 00:00,493.8,502.1,489.3,501.2,4787423,23832.12,42664,3152300.0,65.85
12-01-2026 00:00,486.6,498.8,485.4,493.8,4793134,23581.17,52296,2071942.0,43.23
09-01-2026 00:00,496.0,504.4,488.0,489.0,3997698,19781.07,43814,1866315.0,46.68
08-01-2026 00:00,510.25,511.65,497.8,500.9,3510812,17652.23,43611,1783807.0,50.81
07-01-2026 00:00,500.0,511.5,497.85,509.7,5740556,28988.99,70271,2738794.0,47.71
06-01-2026 00:00,486.55,502.0,483.7,498.85,8149788,40047.32,64267,4363923.0,53.55
05-01-2026 00:00,492.0,493.8,485.65,488.7,4736202,23134.94,44839,2537258.0,53.57
02-01-2026 00:00,492.45,496.95,487.0,493.8,4268299,21030.67,44580,2333341.0,54.67
01-01-2026 00:00,490.05,493.4,487.05,491.75,1882033,9239.15,25500,809823.0,43.03
31-12-2025 00:00,485.85,491.45,483.55,489.85,5050001,24688.17,55379,3042769.0,60.25
30-12-2025 00:00,483.0,487.0,480.2,484.45,5238532,25397.52,54974,3251132.0,62.06
