datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,313.55,320.4,310.65,312.45,187471,592.91,5181,73780.0,39.36
24-06-2026 00:00,311.45,314.9,309.4,312.3,154791,483.3,3306,84304.0,54.46
23-06-2026 00:00,315.05,316.9,310.2,311.95,185786,582.19,4065,103527.0,55.72
22-06-2026 00:00,317.5,320.85,312.4,314.85,141599,449.22,3462,74819.0,52.84
19-06-2026 00:00,317.95,325.0,315.35,317.5,191361,613.25,4528,93515.0,48.87
18-06-2026 00:00,323.9,325.75,315.6,318.2,291795,931.48,6532,158509.0,54.32
17-06-2026 00:00,323.85,327.0,321.8,323.25,116226,377.68,3127,57492.0,49.47
16-06-2026 00:00,322.9,326.35,320.0,323.65,233611,756.36,5088,106542.0,45.61
15-06-2026 00:00,320.45,326.3,320.0,322.25,303108,980.39,5789,148763.0,49.08
12-06-2026 00:00,301.5,318.95,301.5,314.95,581330,1816.43,14486,160489.0,27.61
11-06-2026 00:00,307.0,311.15,296.65,297.95,319329,964.11,6572,159343.0,49.9
10-06-2026 00:00,316.8,318.3,306.3,308.95,149149,464.81,4113,63359.0,42.48
09-06-2026 00:00,319.0,321.3,314.4,316.25,169829,538.87,4722,68104.0,40.1
08-06-2026 00:00,327.1,329.3,314.0,315.75,304056,979.88,7539,130126.0,42.8
05-06-2026 00:00,330.95,334.4,327.15,329.85,311310,1029.3,6704,93169.0,29.93
04-06-2026 00:00,331.0,342.6,326.85,330.8,906057,3041.38,15116,310224.0,34.24
03-06-2026 00:00,318.0,336.95,311.35,332.45,1705200,5551.96,25723,390473.0,22.9
02-06-2026 00:00,330.7,330.7,310.1,318.15,4081575,13005.56,53629,597680.0,14.64
01-06-2026 00:00,303.85,345.0,300.9,332.3,27461089,92143.06,217311,1582547.0,5.76
29-05-2026 00:00,296.35,303.95,292.6,299.4,2927910,8775.38,24228,2275125.0,77.7
27-05-2026 00:00,300.15,301.75,294.75,296.35,328674,977.71,6680,165474.0,50.35
26-05-2026 00:00,306.0,308.9,300.2,301.75,221467,674.51,10093,119003.0,53.73
25-05-2026 00:00,305.1,314.0,303.4,306.85,1064632,3308.14,8601,793911.0,74.57
22-05-2026 00:00,300.1,304.0,296.0,303.2,334421,1009.78,5988,196300.0,58.7
21-05-2026 00:00,300.45,302.95,296.35,300.05,312251,937.79,9811,163364.0,52.32
20-05-2026 00:00,294.8,301.1,286.35,300.05,368074,1087.18,7559,195691.0,53.17
19-05-2026 00:00,294.7,298.85,288.4,294.25,431384,1265.42,9305,166039.0,38.49
18-05-2026 00:00,288.0,297.8,278.25,292.45,1563344,4467.54,34306,595680.0,38.1
15-05-2026 00:00,292.3,305.55,290.0,302.55,611627,1839.93,12226,221136.0,36.16
14-05-2026 00:00,294.15,295.9,285.85,292.05,323899,940.45,7216,126027.0,38.91
13-05-2026 00:00,298.9,298.9,292.15,293.05,283333,832.77,9971,144164.0,50.88
12-05-2026 00:00,297.0,303.0,292.0,298.9,650276,1941.55,11367,258011.0,39.68
11-05-2026 00:00,307.55,307.55,296.0,297.05,432052,1290.55,8391,228922.0,52.98
08-05-2026 00:00,324.0,324.0,308.0,309.0,694876,2177.99,12622,384003.0,55.26
07-05-2026 00:00,303.0,332.5,303.0,322.8,2915914,9439.27,55661,1018410.0,34.93
06-05-2026 00:00,296.5,307.8,293.5,301.45,1664938,5017.95,17571,964030.0,57.9
