datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,1310.9,1330.6,1296.1,1302.4,618266,8119.82,22221,273984.0,44.31
24-06-2026 00:00,1325.0,1335.0,1302.1,1310.1,643567,8435.57,20716,176047.0,27.35
23-06-2026 00:00,1354.0,1357.8,1309.1,1327.4,1505199,19954.27,37837,530906.0,35.27
22-06-2026 00:00,1384.0,1411.9,1349.4,1354.0,3287595,45180.05,92420,1067970.0,32.48
19-06-2026 00:00,1357.6,1366.7,1332.6,1343.4,987277,13290.83,38621,454950.0,46.08
18-06-2026 00:00,1355.0,1370.4,1344.5,1357.6,1175325,15934.52,24599,684228.0,58.22
17-06-2026 00:00,1326.3,1381.8,1325.3,1352.9,1952284,26664.43,59688,772189.0,39.55
16-06-2026 00:00,1328.7,1342.8,1318.8,1327.6,907947,12079.5,23806,434107.0,47.81
15-06-2026 00:00,1310.0,1345.0,1301.0,1326.4,1855063,24651.9,45954,982327.0,52.95
12-06-2026 00:00,1285.0,1305.0,1273.1,1285.4,548090,7046.55,21831,232182.0,42.36
11-06-2026 00:00,1285.0,1297.0,1272.0,1277.3,550616,7076.36,20277,245953.0,44.67
10-06-2026 00:00,1300.5,1318.7,1285.0,1290.0,578749,7549.64,22342,145057.0,25.06
09-06-2026 00:00,1278.8,1312.0,1278.8,1304.4,883516,11498.31,22311,372280.0,42.14
08-06-2026 00:00,1280.0,1329.8,1266.0,1276.2,1530639,19923.68,52377,567135.0,37.05
05-06-2026 00:00,1290.7,1310.0,1288.3,1298.3,1415362,18407.23,44970,574567.0,40.6
04-06-2026 00:00,1224.0,1307.9,1218.0,1286.5,3317048,42672.72,97489,1144948.0,34.52
03-06-2026 00:00,1239.8,1241.4,1207.6,1235.0,562073,6888.34,21519,178766.0,31.8
02-06-2026 00:00,1220.0,1244.3,1204.0,1240.4,1010910,12404.46,56001,517088.0,51.15
01-06-2026 00:00,1255.0,1257.1,1224.0,1228.4,766252,9465.93,27555,318531.0,41.57
29-05-2026 00:00,1262.0,1300.0,1232.2,1245.7,2960575,36954.47,74706,1888500.0,63.79
27-05-2026 00:00,1272.0,1284.9,1248.6,1261.8,849420,10717.64,42035,389557.0,45.86
26-05-2026 00:00,1285.1,1288.9,1263.6,1271.4,592885,7560.31,20109,288604.0,48.68
25-05-2026 00:00,1281.0,1295.0,1276.3,1284.0,1052123,13539.28,28392,554607.0,52.71
22-05-2026 00:00,1274.9,1281.0,1262.6,1268.1,832401,10560.71,19882,429909.0,51.65
21-05-2026 00:00,1300.2,1311.5,1262.1,1273.5,1117551,14261.52,34991,405640.0,36.3
20-05-2026 00:00,1294.1,1304.3,1284.3,1295.8,499899,6466.32,17797,141151.0,28.24
19-05-2026 00:00,1252.8,1310.0,1251.0,1302.6,1272392,16458.38,43207,352360.0,27.69
18-05-2026 00:00,1205.7,1255.4,1198.6,1252.8,1502867,18500.38,49247,392599.0,26.12
15-05-2026 00:00,1280.2,1289.4,1224.6,1230.7,2400991,30119.35,65732,652431.0,27.17
14-05-2026 00:00,1262.9,1300.0,1245.6,1293.5,1154736,14800.44,34348,484761.0,41.98
13-05-2026 00:00,1269.6,1302.7,1255.0,1258.9,1049831,13404.61,34711,352404.0,33.57
12-05-2026 00:00,1316.0,1348.0,1265.6,1269.6,1087483,14145.15,43572,270309.0,24.86
11-05-2026 00:00,1315.6,1322.5,1299.0,1306.5,632667,8290.8,25912,183081.0,28.94
08-05-2026 00:00,1363.0,1363.0,1321.0,1324.8,1133112,15108.86,40594,396143.0,34.96
07-05-2026 00:00,1389.0,1389.0,1352.3,1363.9,957521,13074.17,32588,347876.0,36.33
06-05-2026 00:00,1380.0,1385.9,1361.5,1379.6,747279,10262.31,27842,201458.0,26.96
05-05-2026 00:00,1452.0,1453.0,1360.0,1375.9,2219827,30822.85,63507,979075.0,44.11
04-05-2026 00:00,1445.2,1463.7,1413.3,1454.2,506557,7310.74,22900,96357.0,19.02
30-04-2026 00:00,1470.0,1470.0,1418.2,1430.4,1259835,18038.87,62415,592676.0,47.04
29-04-2026 00:00,1524.0,1537.9,1465.0,1474.8,793781,11878.82,32106,265357.0,33.43
28-04-2026 00:00,1522.4,1533.7,1499.0,1511.1,1090853,16506.29,31679,473663.0,43.42
27-04-2026 00:00,1481.4,1529.9,1475.0,1515.0,1856047,28081.53,63982,820034.0,44.18
24-04-2026 00:00,1452.9,1470.0,1431.9,1464.0,715448,10375.66,25629,309056.0,43.2
23-04-2026 00:00,1476.0,1476.5,1429.6,1445.5,1043970,15097.67,36185,329967.0,31.61
22-04-2026 00:00,1459.9,1503.5,1455.0,1481.6,865864,12833.31,32431,321809.0,37.17
21-04-2026 00:00,1445.0,1468.6,1444.4,1457.2,1068169,15590.48,26486,656958.0,61.5
20-04-2026 00:00,1447.0,1476.5,1429.9,1438.0,1789507,26016.89,40665,811854.0,45.37
17-04-2026 00:00,1416.6,1447.8,1393.5,1440.1,1266294,18034.56,34545,714327.0,56.41
16-04-2026 00:00,1409.0,1432.1,1387.2,1408.8,1292882,18188.46,35600,547049.0,42.31
15-04-2026 00:00,1390.0,1412.8,1380.8,1402.2,1396462,19509.08,32727,555247.0,39.76
13-04-2026 00:00,1286.0,1368.0,1271.7,1361.6,2793680,37474.94,63779,861954.0,30.85
10-04-2026 00:00,1299.7,1319.0,1280.5,1315.6,1419604,18511.21,44128,487044.0,34.31
09-04-2026 00:00,1264.8,1291.7,1241.2,1283.9,2040449,25864.77,65524,1067776.0,52.33
08-04-2026 00:00,1250.0,1278.0,1246.4,1264.8,1548576,19621.53,52484,569556.0,36.78
07-04-2026 00:00,1235.3,1245.2,1213.0,1220.2,1023903,12522.7,35191,331734.0,32.4
06-04-2026 00:00,1225.0,1256.6,1204.1,1252.0,1213038,14948.26,39328,422714.0,34.85
02-04-2026 00:00,1239.2,1241.4,1186.8,1235.4,2452341,29609.59,56797,1152471.0,46.99
01-04-2026 00:00,1300.0,1310.4,1214.4,1249.7,2810600,35425.19,61030,1418084.0,50.45
30-03-2026 00:00,1291.0,1313.5,1253.1,1272.8,1622222,20789.6,53523,697997.0,43.03
27-03-2026 00:00,1350.0,1359.0,1317.9,1322.6,1254069,16676.48,46705,602953.0,48.08
25-03-2026 00:00,1317.7,1381.0,1317.7,1368.8,1350940,18388.44,29793,583774.0,43.21
24-03-2026 00:00,1283.4,1309.9,1246.4,1302.1,1335206,17114.32,43280,462162.0,34.61
23-03-2026 00:00,1305.0,1305.0,1223.0,1251.2,1982017,24774.36,74737,797300.0,40.23
20-03-2026 00:00,1353.0,1378.0,1318.4,1324.5,681533,9145.83,24308,258824.0,37.98
19-03-2026 00:00,1400.0,1401.9,1341.4,1347.2,1242317,16896.05,49158,473913.0,38.15
18-03-2026 00:00,1420.0,1448.0,1410.3,1422.6,441894,6309.94,24149,111950.0,25.33
17-03-2026 00:00,1419.0,1427.6,1396.5,1420.4,582855,8239.63,22683,218362.0,37.46
16-03-2026 00:00,1410.6,1421.6,1361.0,1406.4,814633,11339.3,32728,165701.0,20.34
13-03-2026 00:00,1440.0,1448.9,1385.2,1414.2,1524789,21485.75,58350,626260.0,41.07
12-03-2026 00:00,1469.0,1474.8,1420.0,1449.4,799532,11571.08,39893,238607.0,29.84
11-03-2026 00:00,1455.0,1509.8,1453.2,1471.4,1149992,17039.76,39204,370728.0,32.24
10-03-2026 00:00,1460.0,1472.0,1434.0,1448.9,415157,6014.56,19556,142268.0,34.27
09-03-2026 00:00,1462.0,1469.7,1413.0,1436.5,1094929,15743.68,40691,421299.0,38.48
06-03-2026 00:00,1480.0,1489.4,1460.2,1478.4,686869,10143.55,27439,280575.0,40.85
05-03-2026 00:00,1438.9,1498.0,1438.0,1485.3,821653,12079.28,36931,264715.0,32.22
04-03-2026 00:00,1470.1,1480.0,1430.0,1438.9,664840,9603.9,40150,245400.0,36.91
02-03-2026 00:00,1521.0,1539.0,1482.7,1499.1,1419196,21440.33,53942,425906.0,30.01
27-02-2026 00:00,1550.0,1582.5,1534.2,1561.3,1650861,25779.06,46957,753163.0,45.62
26-02-2026 00:00,1533.0,1559.0,1521.0,1544.5,1229111,18976.57,32770,615215.0,50.05
25-02-2026 00:00,1548.0,1566.4,1513.1,1522.4,1200666,18427.4,29948,581422.0,48.42
24-02-2026 00:00,1534.1,1555.0,1531.0,1538.0,927647,14291.87,38694,516391.0,55.67
23-02-2026 00:00,1548.1,1563.0,1529.7,1538.2,555656,8585.06,23948,178299.0,32.09
20-02-2026 00:00,1509.9,1550.9,1505.1,1546.9,935468,14407.31,21551,511599.0,54.69
19-02-2026 00:00,1551.0,1551.3,1504.0,1512.7,657967,10065.92,22009,124958.0,18.99
18-02-2026 00:00,1534.9,1552.8,1519.6,1543.4,1073285,16476.18,42407,410269.0,38.23
17-02-2026 00:00,1540.0,1540.0,1513.2,1529.7,444923,6786.8,23923,161103.0,36.21
16-02-2026 00:00,1530.0,1539.8,1517.4,1530.6,300771,4598.34,18606,116366.0,38.69
13-02-2026 00:00,1534.0,1534.0,1510.2,1525.4,534253,8135.6,22395,253888.0,47.52
12-02-2026 00:00,1502.3,1546.8,1488.6,1535.8,1343371,20416.05,41952,588419.0,43.8
11-02-2026 00:00,1482.8,1509.5,1472.3,1506.5,633002,9450.45,39762,259180.0,40.94
10-02-2026 00:00,1510.0,1530.0,1459.3,1475.6,1416129,21137.65,39500,764991.0,54.02
09-02-2026 00:00,1440.0,1506.0,1431.4,1502.9,769229,11439.87,36894,231926.0,30.15
06-02-2026 00:00,1420.0,1439.4,1404.1,1435.0,458866,6528.1,19519,187109.0,40.78
05-02-2026 00:00,1429.0,1434.2,1404.7,1426.8,392029,5579.44,18405,109966.0,28.05
04-02-2026 00:00,1368.4,1427.0,1360.2,1419.5,598049,8402.46,25262,131662.0,22.02
