datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,457.0,458.5,444.2,445.4,318982,1433.93,19437,186560.0,58.49
24-06-2026 00:00,445.65,455.7,444.05,453.2,563562,2541.51,21160,271885.0,48.24
23-06-2026 00:00,454.0,454.0,441.1,443.45,460273,2052.89,19617,259124.0,56.3
22-06-2026 00:00,454.0,457.7,445.9,450.15,810793,3650.09,30190,346419.0,42.73
19-06-2026 00:00,457.95,457.95,444.65,447.95,1084325,4862.59,20405,610591.0,56.31
18-06-2026 00:00,462.95,468.0,458.6,462.75,272650,1261.39,13709,117906.0,43.24
17-06-2026 00:00,467.15,473.65,459.8,461.5,865615,4022.11,19872,465925.0,53.83
16-06-2026 00:00,455.0,465.0,449.0,464.2,811138,3723.08,27683,305011.0,37.6
15-06-2026 00:00,460.0,466.6,448.0,450.9,601163,2752.88,23091,317184.0,52.76
12-06-2026 00:00,453.0,455.0,443.2,452.8,459316,2064.03,19691,188649.0,41.07
11-06-2026 00:00,457.0,457.0,438.4,442.8,929412,4123.05,38462,378953.0,40.77
10-06-2026 00:00,467.75,472.9,455.85,457.25,480774,2228.3,19671,243903.0,50.73
09-06-2026 00:00,475.0,479.8,459.55,464.15,807576,3767.52,30227,398714.0,49.37
08-06-2026 00:00,476.65,484.8,472.6,474.7,386846,1850.82,28970,178733.0,46.2
05-06-2026 00:00,484.0,488.1,481.15,484.85,457553,2219.71,14307,142525.0,31.15
04-06-2026 00:00,509.5,509.5,476.5,481.55,1867657,9086.18,46982,857952.0,45.94
03-06-2026 00:00,519.85,519.85,500.0,509.75,562118,2849.42,17945,179496.0,31.93
02-06-2026 00:00,496.0,529.4,495.4,519.95,4509402,23452.0,97979,1002677.0,22.24
01-06-2026 00:00,495.1,510.0,488.7,495.45,758138,3794.96,20758,150123.0,19.8
29-05-2026 00:00,495.3,509.8,492.0,494.15,610045,3067.8,24901,181673.0,29.78
27-05-2026 00:00,487.75,498.0,485.0,491.3,220218,1081.47,11667,74545.0,33.85
26-05-2026 00:00,493.05,499.0,486.0,487.75,273015,1343.25,12845,147964.0,54.2
25-05-2026 00:00,493.0,496.8,491.75,493.05,196446,970.01,11731,101864.0,51.85
22-05-2026 00:00,490.3,495.75,486.5,488.8,189018,927.6,11814,77725.0,41.12
21-05-2026 00:00,493.5,503.15,488.3,489.85,274982,1358.5,12904,123768.0,45.01
20-05-2026 00:00,493.95,495.4,488.45,490.35,227220,1117.29,10666,104305.0,45.9
19-05-2026 00:00,486.5,506.85,486.5,493.9,442942,2205.26,19538,177674.0,40.11
18-05-2026 00:00,484.0,490.55,470.1,486.25,490405,2351.23,18197,150458.0,30.68
15-05-2026 00:00,485.0,497.0,485.0,488.4,400930,1968.28,17312,139558.0,34.81
14-05-2026 00:00,497.95,497.95,481.2,484.95,445982,2166.28,16170,152766.0,34.25
13-05-2026 00:00,504.9,504.9,490.5,492.95,673080,3331.37,27164,284244.0,42.23
12-05-2026 00:00,523.6,524.0,502.8,508.65,893154,4534.33,24531,540912.0,60.56
11-05-2026 00:00,525.0,531.65,514.0,524.05,602016,3153.98,31372,294070.0,48.85
08-05-2026 00:00,520.95,537.0,520.55,525.4,808063,4275.65,31027,335182.0,41.48
07-05-2026 00:00,527.6,532.95,515.0,520.4,495666,2602.78,18227,254950.0,51.44
06-05-2026 00:00,522.6,529.3,517.8,525.0,451589,2364.37,19674,168011.0,37.2
05-05-2026 00:00,513.0,517.2,509.1,513.1,361151,1849.22,19641,141109.0,39.07
04-05-2026 00:00,518.0,521.1,509.15,509.95,507489,2602.07,25256,244502.0,48.18
30-04-2026 00:00,522.0,522.9,510.85,513.85,506100,2606.83,24732,237140.0,46.86
29-04-2026 00:00,532.45,532.45,520.0,521.2,642433,3376.05,24721,303196.0,47.19
28-04-2026 00:00,548.95,553.4,525.1,528.2,940232,5019.01,37867,523566.0,55.68
27-04-2026 00:00,538.35,554.2,538.35,548.25,546157,2988.18,26613,210288.0,38.5
24-04-2026 00:00,569.0,572.9,531.5,536.0,679974,3695.96,28892,285508.0,41.99
23-04-2026 00:00,579.85,583.0,564.4,566.15,291034,1670.6,17187,141997.0,48.79
22-04-2026 00:00,599.0,608.5,578.0,579.85,579793,3400.68,26487,283199.0,48.84
21-04-2026 00:00,594.55,611.0,591.1,602.55,348053,2096.6,19780,136703.0,39.28
20-04-2026 00:00,600.95,603.0,583.1,594.55,390136,2322.83,18882,164397.0,42.14
17-04-2026 00:00,592.9,605.0,592.0,602.65,532950,3194.3,24777,216986.0,40.71
16-04-2026 00:00,573.95,597.0,570.05,588.25,1028445,6019.02,46291,296494.0,28.83
15-04-2026 00:00,560.0,570.4,558.25,563.35,637884,3585.74,29139,399150.0,62.57
13-04-2026 00:00,551.0,564.15,540.6,549.7,335776,1854.58,13940,153796.0,45.8
10-04-2026 00:00,558.0,566.7,553.15,556.8,330082,1845.01,15491,132647.0,40.19
09-04-2026 00:00,553.8,556.0,544.0,554.1,473569,2614.14,21244,239678.0,50.61
08-04-2026 00:00,560.0,560.0,547.5,549.75,687150,3791.51,23751,446684.0,65.01
07-04-2026 00:00,552.7,560.7,546.3,547.9,653918,3621.75,27247,430697.0,65.86
06-04-2026 00:00,544.0,562.9,544.0,552.7,455252,2527.69,25152,186669.0,41.0
02-04-2026 00:00,527.0,549.45,519.25,543.7,404990,2166.84,24389,182145.0,44.98
01-04-2026 00:00,524.95,543.8,521.55,538.2,343314,1842.84,21952,159488.0,46.46
30-03-2026 00:00,512.05,525.0,511.25,514.55,342935,1778.28,21027,155901.0,45.46
27-03-2026 00:00,535.0,535.0,517.5,525.55,810267,4263.1,36753,382981.0,47.27
25-03-2026 00:00,545.0,555.4,533.0,535.15,578061,3139.56,25905,313363.0,54.21
24-03-2026 00:00,550.0,554.95,535.85,544.6,321740,1749.27,21264,132825.0,41.28
23-03-2026 00:00,562.95,562.95,537.3,545.2,268696,1470.61,20434,108928.0,40.54
20-03-2026 00:00,566.15,569.2,560.5,564.9,276140,1560.01,13852,148084.0,53.63
19-03-2026 00:00,574.1,574.1,557.1,558.4,218126,1224.16,14648,98727.0,45.26
18-03-2026 00:00,568.4,583.0,568.0,579.45,538387,3115.34,21163,221055.0,41.06
17-03-2026 00:00,557.2,569.4,541.55,566.4,304420,1701.8,19821,117008.0,38.44
16-03-2026 00:00,547.15,562.75,538.5,556.6,622598,3441.61,43246,243952.0,39.18
13-03-2026 00:00,560.0,563.2,550.55,552.85,265710,1474.71,26488,137743.0,51.84
12-03-2026 00:00,564.0,568.8,557.1,564.4,237658,1339.21,26760,113940.0,47.94
11-03-2026 00:00,561.35,571.8,561.0,564.5,215458,1218.85,20336,132739.0,61.61
10-03-2026 00:00,546.95,563.8,546.95,561.4,336739,1881.5,21784,169973.0,50.48
09-03-2026 00:00,552.05,557.95,537.5,544.35,311695,1692.64,22964,141907.0,45.53
06-03-2026 00:00,549.8,564.2,548.0,559.1,360218,2015.5,16443,174371.0,48.41
05-03-2026 00:00,561.1,561.1,542.8,548.6,525838,2891.79,29942,247879.0,47.14
04-03-2026 00:00,560.0,573.9,550.0,554.45,508500,2858.24,32564,170208.0,33.47
02-03-2026 00:00,528.25,574.65,528.25,568.4,994343,5620.01,35195,423346.0,42.58
27-02-2026 00:00,558.85,567.05,550.0,564.75,621112,3484.37,21269,233115.0,37.53
26-02-2026 00:00,545.25,568.9,542.2,554.15,1147432,6423.25,33555,354287.0,30.88
25-02-2026 00:00,541.7,557.25,539.05,542.8,450296,2456.38,25387,150185.0,33.35
24-02-2026 00:00,556.3,563.85,535.85,537.4,930275,5073.48,40297,327264.0,35.18
23-02-2026 00:00,565.7,572.0,556.6,570.05,392693,2224.18,17299,132501.0,33.74
20-02-2026 00:00,571.35,571.35,557.0,560.25,337404,1898.47,14154,178405.0,52.88
19-02-2026 00:00,582.0,589.4,566.0,569.2,331319,1913.55,17101,121638.0,36.71
18-02-2026 00:00,584.0,587.2,568.6,578.6,628450,3611.07,39409,276085.0,43.93
17-02-2026 00:00,580.15,596.55,574.35,583.9,627744,3692.11,28501,185442.0,29.54
16-02-2026 00:00,589.0,591.95,568.2,576.2,694888,4007.37,31907,327117.0,47.07
13-02-2026 00:00,571.35,607.45,558.3,588.35,2310507,13580.93,77100,708891.0,30.68
12-02-2026 00:00,602.0,607.15,572.65,576.85,780959,4597.74,36048,358671.0,45.93
11-02-2026 00:00,623.0,629.5,609.5,613.7,300971,1853.34,16495,159326.0,52.94
10-02-2026 00:00,628.1,635.8,620.8,622.85,243299,1526.7,12461,110402.0,45.38
09-02-2026 00:00,633.0,642.55,623.3,625.05,520770,3277.67,24918,278952.0,53.57
06-02-2026 00:00,641.2,644.0,628.35,629.6,302054,1918.01,18127,152342.0,50.44
05-02-2026 00:00,651.8,658.35,640.0,641.2,233553,1508.35,18445,121308.0,51.94
04-02-2026 00:00,668.95,668.95,642.05,651.8,1073284,6967.32,42202,539466.0,50.26
03-02-2026 00:00,691.0,696.7,670.3,672.6,716609,4903.76,23547,493295.0,68.84
02-02-2026 00:00,672.4,675.0,659.15,672.1,334574,2233.52,19917,141675.0,42.34
01-02-2026 00:00,654.3,682.0,649.1,667.0,702004,4721.52,32748,153590.0,21.88
30-01-2026 00:00,665.0,672.0,648.2,650.2,760552,5016.81,30106,494767.0,65.05
29-01-2026 00:00,693.0,694.0,662.0,668.55,311167,2088.93,17100,162136.0,52.11
28-01-2026 00:00,677.55,693.35,675.0,688.2,289574,1990.21,15939,106017.0,36.61
27-01-2026 00:00,705.0,706.35,672.1,675.0,1029681,7018.8,39007,654025.0,63.52
23-01-2026 00:00,731.35,739.5,697.55,704.75,565176,4046.78,28634,179156.0,31.7
22-01-2026 00:00,704.0,724.85,704.0,722.3,319570,2294.91,17986,154129.0,48.23
